split,method,proposal_kind,proposal_aliases,map_family,map_size,map,maze_seed,topology_seed,goal_variant,map_rows,slip,n_states,teacher_feasible,teacher_boundary,predicted_boundary,selected_states,predicted_extra_count,score_margin,boundary_jaccard,extra_jaccard,extra_precision,extra_recall,exact_boundary_match,count_match,teacher_top_set_size,top_set_hit,top_set_regret,graph_encoding_time_sec,gnn_forward_time_sec,student_selection_time_sec,teacher_selection_time_sec,selection_speedup_vs_teacher
train,constraint_candidate_learned_count,learned_count,"[""learned_count"", ""top1"", ""nearest_start""]",braid_maze,9,braid_maze_9_seed0_goal0,0,0,0,"[""#########"", ""#S..#...#"", ""###.#.#.#"", ""#.#.....#"", ""#...###.#"", ""#.#.....#"", ""#.#####.#"", ""#......G#"", ""#########""]",0.0,34,True,"[0, 1, 33]","[0, 1, 33]",[1],1,0.9777164459228516,1.0,1.0,1.0,1.0,True,True,2,True,0.0,0.00488720799330622,0.004838197957724333,0.009725405951030552,0.32390135095920414,33.30466127482133
train,constraint_candidate_top2,top2,"[""top2""]",braid_maze,9,braid_maze_9_seed0_goal0,0,0,0,"[""#########"", ""#S..#...#"", ""###.#.#.#"", ""#.#.....#"", ""#...###.#"", ""#.#.....#"", ""#.#####.#"", ""#......G#"", ""#########""]",0.0,34,True,"[0, 1, 33]","[0, 1, 2, 33]","[1, 2]",2,1.1243863105773926,0.75,0.5,0.5,1.0,False,False,2,True,0.0,0.00488720799330622,0.004838197957724333,0.009725405951030552,0.32390135095920414,33.30466127482133
train,constraint_candidate_top3,top3,"[""top3""]",braid_maze,9,braid_maze_9_seed0_goal0,0,0,0,"[""#########"", ""#S..#...#"", ""###.#.#.#"", ""#.#.....#"", ""#...###.#"", ""#.#.....#"", ""#.#####.#"", ""#......G#"", ""#########""]",0.0,34,True,"[0, 1, 33]","[0, 1, 2, 6, 33]","[1, 2, 6]",3,1.6253554821014404,0.6,0.3333333333333333,0.3333333333333333,1.0,False,False,2,True,0.0,0.00488720799330622,0.004838197957724333,0.009725405951030552,0.32390135095920414,33.30466127482133
train,constraint_candidate_learned_count,learned_count,"[""learned_count"", ""top1"", ""nearest_start""]",braid_maze,9,braid_maze_9_seed0_goal0,0,0,0,"[""#########"", ""#S..#...#"", ""###.#.#.#"", ""#.#.....#"", ""#...###.#"", ""#.#.....#"", ""#.#####.#"", ""#......G#"", ""#########""]",0.05,34,True,"[0, 1, 33]","[0, 1, 33]",[1],1,0.7123796939849854,1.0,1.0,1.0,1.0,True,True,2,True,0.0,0.006861201021820307,0.0037123189540579915,0.010573519975878298,0.5666436980245635,53.59082872281562
train,constraint_candidate_top2,top2,"[""top2""]",braid_maze,9,braid_maze_9_seed0_goal0,0,0,0,"[""#########"", ""#S..#...#"", ""###.#.#.#"", ""#.#.....#"", ""#...###.#"", ""#.#.....#"", ""#.#####.#"", ""#......G#"", ""#########""]",0.05,34,True,"[0, 1, 33]","[0, 1, 2, 33]","[1, 2]",2,0.9108791351318359,0.75,0.5,0.5,1.0,False,False,2,True,0.0,0.006861201021820307,0.0037123189540579915,0.010573519975878298,0.5666436980245635,53.59082872281562
train,constraint_candidate_top3,top3,"[""top3""]",braid_maze,9,braid_maze_9_seed0_goal0,0,0,0,"[""#########"", ""#S..#...#"", ""###.#.#.#"", ""#.#.....#"", ""#...###.#"", ""#.#.....#"", ""#.#####.#"", ""#......G#"", ""#########""]",0.05,34,True,"[0, 1, 33]","[0, 1, 2, 6, 33]","[1, 2, 6]",3,0.9737431406974792,0.6,0.3333333333333333,0.3333333333333333,1.0,False,False,2,True,0.0,0.006861201021820307,0.0037123189540579915,0.010573519975878298,0.5666436980245635,53.59082872281562
train,constraint_candidate_learned_count,learned_count,"[""learned_count"", ""top1"", ""nearest_start""]",braid_maze,9,braid_maze_9_seed0_goal0,0,0,0,"[""#########"", ""#S..#...#"", ""###.#.#.#"", ""#.#.....#"", ""#...###.#"", ""#.#.....#"", ""#.#####.#"", ""#......G#"", ""#########""]",0.1,34,True,"[0, 1, 33]","[0, 1, 33]",[1],1,0.7957284450531006,1.0,1.0,1.0,1.0,True,True,2,True,0.0,0.0061677920166403055,0.003013357985764742,0.009181150002405047,0.6710548930568621,73.09050531590007
train,constraint_candidate_top2,top2,"[""top2""]",braid_maze,9,braid_maze_9_seed0_goal0,0,0,0,"[""#########"", ""#S..#...#"", ""###.#.#.#"", ""#.#.....#"", ""#...###.#"", ""#.#.....#"", ""#.#####.#"", ""#......G#"", ""#########""]",0.1,34,True,"[0, 1, 33]","[0, 1, 2, 33]","[1, 2]",2,0.9734604358673096,0.75,0.5,0.5,1.0,False,False,2,True,0.0,0.0061677920166403055,0.003013357985764742,0.009181150002405047,0.6710548930568621,73.09050531590007
train,constraint_candidate_top3,top3,"[""top3""]",braid_maze,9,braid_maze_9_seed0_goal0,0,0,0,"[""#########"", ""#S..#...#"", ""###.#.#.#"", ""#.#.....#"", ""#...###.#"", ""#.#.....#"", ""#.#####.#"", ""#......G#"", ""#########""]",0.1,34,True,"[0, 1, 33]","[0, 1, 2, 6, 33]","[1, 2, 6]",3,0.4088371992111206,0.6,0.3333333333333333,0.3333333333333333,1.0,False,False,2,True,0.0,0.0061677920166403055,0.003013357985764742,0.009181150002405047,0.6710548930568621,73.09050531590007
train,constraint_candidate_learned_count,learned_count,"[""learned_count"", ""top1"", ""nearest_start""]",braid_maze,9,braid_maze_9_seed0_goal1,0,0,1,"[""#########"", ""#S..#...#"", ""###.#.#.#"", ""#.#.....#"", ""#...###.#"", ""#.#.....#"", ""#.#####.#"", ""#....G..#"", ""#########""]",0.0,34,True,"[0, 1, 31]","[0, 1, 31]",[1],1,1.0035271644592285,1.0,1.0,1.0,1.0,True,True,2,True,0.0,0.004600660060532391,0.005191470962017775,0.009792131022550166,0.34971107996534556,35.71348046303717
