map,slip,selector,option_set,gamma,n_states,n_boundary,n_options,compression_ratio,n_edges_all,n_edges_valid,kernel_entries_valid,bellman_error_max,value_gap_max,value_gap_mean,start_value_smdp,start_value_primitive,start_gap,start_best_option
corridor,0.0,all,directional,0.97,11,11,4,1.0,44,44,44,0.0,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,E
corridor,0.0,all,targeted,0.97,11,11,11,1.0,121,110,110,0.0,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,to_001
corridor,0.0,endpoints,directional,0.97,11,2,4,0.18181818181818182,8,8,8,1.7763568394002505e-15,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,E
corridor,0.0,endpoints,targeted,0.97,11,2,2,0.18181818181818182,4,2,2,1.7763568394002505e-15,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,to_001
corridor,0.0,junction,directional,0.97,11,2,4,0.18181818181818182,8,8,8,0.0,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,E
corridor,0.0,junction,targeted,0.97,11,2,2,0.18181818181818182,4,2,2,1.7763568394002505e-15,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,to_001
corridor,0.0,decision,directional,0.97,11,2,4,0.18181818181818182,8,8,8,0.0,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,E
corridor,0.0,decision,targeted,0.97,11,2,2,0.18181818181818182,4,2,2,1.7763568394002505e-15,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,to_001
corridor,0.0,spectral_25,directional,0.97,11,5,4,0.45454545454545453,20,20,20,4.440892098500626e-16,8.881784197001252e-16,4.440892098500626e-16,-8.75252910350239,-8.75252910350239,0.0,E
corridor,0.0,spectral_25,targeted,0.97,11,5,5,0.45454545454545453,25,20,20,4.440892098500626e-16,8.881784197001252e-16,4.440892098500626e-16,-8.75252910350239,-8.75252910350239,0.0,to_001
corridor,0.05,all,directional,0.97,11,11,4,1.0,124,124,124,0.0,7.105427357601002e-15,2.1316282072803005e-15,-9.25536386887652,-9.255363868876513,7.105427357601002e-15,E
corridor,0.05,all,targeted,0.97,11,11,11,1.0,321,310,310,0.0,7.105427357601002e-15,2.1316282072803005e-15,-9.25536386887652,-9.255363868876513,7.105427357601002e-15,to_001
corridor,0.05,endpoints,directional,0.97,11,2,4,0.18181818181818182,14,14,10,0.0,5.373479439185758e-12,5.373479439185758e-12,-9.255363868881886,-9.255363868876513,5.373479439185758e-12,E
