map,slip,selector,option_set,gamma,n_states,n_boundary,n_options,option_pair_count,compression_ratio,n_edges_all,n_edges_valid,kernel_entries_valid,duration_mean,duration_max,bypass_cost_mean,bypass_cost_total,nonlocal_cost,bellman_error_max,value_gap_max,value_gap_mean,start_value_smdp,start_value_primitive,start_gap,start_best_option,policy_tv_total,policy_regions_total,policy_tv_mean,policy_regions_mean,description_length_proxy
corridor,0.0,all,directional,0.97,11,11,4,44,1.0,44,44,44,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,E,0.0,4.0,0.0,1.0,23.2
corridor,0.0,all,targeted,0.97,11,11,11,110,1.0,121,110,110,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,to_001,40.0,31.0,3.6363636363636362,2.8181818181818183,61.0
corridor,0.0,all,local_targeted,0.97,11,11,11,104,1.0,121,104,104,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,to_001,40.0,31.0,3.6363636363636362,2.8181818181818183,60.154545454545456
corridor,0.0,endpoints,directional,0.97,11,2,4,8,0.18181818181818182,8,8,8,3.25,10.0,0.0,0.0,4.0,1.7763568394002505e-15,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,E,0.0,4.0,0.0,1.0,12.8
corridor,0.0,endpoints,targeted,0.97,11,2,2,2,0.18181818181818182,4,2,2,10.0,10.0,0.0,0.0,4.0,1.7763568394002505e-15,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,to_001,4.0,4.0,2.0,2.0,8.3
corridor,0.0,junction,directional,0.97,11,2,4,8,0.18181818181818182,8,8,8,3.25,10.0,0.0,0.0,4.0,1.7763568394002505e-15,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,E,0.0,4.0,0.0,1.0,12.8
corridor,0.0,junction,targeted,0.97,11,2,2,2,0.18181818181818182,4,2,2,10.0,10.0,0.0,0.0,4.0,8.881784197001252e-16,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,to_001,4.0,4.0,2.0,2.0,8.3
corridor,0.0,decision,directional,0.97,11,2,4,8,0.18181818181818182,8,8,8,3.25,10.0,0.0,0.0,4.0,1.7763568394002505e-15,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,E,0.0,4.0,0.0,1.0,12.8
corridor,0.0,decision,targeted,0.97,11,2,2,2,0.18181818181818182,4,2,2,10.0,10.0,0.0,0.0,4.0,1.7763568394002505e-15,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,to_001,4.0,4.0,2.0,2.0,8.3
corridor,0.0,spectral_25,directional,0.97,11,5,4,20,0.45454545454545453,20,20,20,1.6,4.0,0.0,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,4.440892098500626e-16,-8.75252910350239,-8.75252910350239,0.0,E,0.0,4.0,0.0,1.0,16.0
corridor,0.0,spectral_25,targeted,0.97,11,5,5,20,0.45454545454545453,25,20,20,2.5,4.0,0.0,0.0,0.0,8.881784197001252e-16,8.881784197001252e-16,4.440892098500626e-16,-8.75252910350239,-8.75252910350239,0.0,to_001,16.0,13.0,3.2,2.6,24.7
corridor,0.0,spectral_25,local_targeted,0.97,11,5,5,14,0.45454545454545453,25,14,14,2.7142857142857144,4.0,0.0,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,4.440892098500626e-16,-8.75252910350239,-8.75252910350239,0.0,to_001,16.0,13.0,3.2,2.6,23.2
corridor,0.05,all,directional,0.97,11,11,4,44,1.0,124,124,124,1.0,1.0,0.0,0.0,0.0,0.0,7.105427357601002e-15,2.1316282072803005e-15,-9.25536386887652,-9.255363868876513,7.105427357601002e-15,E,0.0,4.0,0.0,1.0,30.472727272727273
corridor,0.05,all,targeted,0.97,11,11,11,110,1.0,321,310,310,1.0,1.0,0.0,0.0,0.0,0.0,7.105427357601002e-15,2.1316282072803005e-15,-9.25536386887652,-9.255363868876513,7.105427357601002e-15,to_001,39.33333333333333,31.0,3.5757575757575752,2.8181818181818183,79.04848484848486
corridor,0.05,all,local_targeted,0.97,11,11,11,104,1.0,321,296,296,1.0,1.0,0.0,0.0,0.0,0.0,7.105427357601002e-15,2.1316282072803005e-15,-9.25536386887652,-9.255363868876513,7.105427357601002e-15,to_001,39.33333333333333,31.0,3.5757575757575752,2.8181818181818183,77.47575757575757
corridor,0.05,endpoints,directional,0.97,11,2,4,8,0.18181818181818182,14,14,10,5.500000000000014,9.982142857142849,0.0,0.0,3.7466666666666635,2.220446049250313e-16,5.373479439185758e-12,5.373479439185758e-12,-9.255363868881886,-9.255363868876513,5.373479439185758e-12,E,0.0,4.0,0.0,1.0,15.774666666666667
corridor,0.05,endpoints,targeted,0.97,11,2,2,2,0.18181818181818182,6,4,4,9.982142857142847,9.982142857142849,0.0,0.0,3.73333333333333,1.7763568394002505e-15,1.1512568676153023e-11,1.1512568676153023e-11,-9.255363868888026,-9.255363868876513,1.1512568676153023e-11,to_001,3.933333333333333,4.0,1.9666666666666666,2.0,9.26
corridor,0.05,junction,directional,0.97,11,2,4,8,0.18181818181818182,14,14,10,5.500000000000014,9.982142857142849,0.0,0.0,3.7466666666666635,3.552713678800501e-15,5.373479439185758e-12,5.373479439185758e-12,-9.255363868881886,-9.255363868876513,5.373479439185758e-12,E,0.0,4.0,0.0,1.0,15.774666666666667
corridor,0.05,junction,targeted,0.97,11,2,2,2,0.18181818181818182,6,4,4,9.982142857142847,9.982142857142849,0.0,0.0,3.73333333333333,1.7763568394002505e-15,1.1512568676153023e-11,1.1512568676153023e-11,-9.255363868888026,-9.255363868876513,1.1512568676153023e-11,to_001,3.933333333333333,4.0,1.9666666666666666,2.0,9.26
corridor,0.05,decision,directional,0.97,11,2,4,8,0.18181818181818182,14,14,10,5.500000000000014,9.982142857142849,0.0,0.0,3.7466666666666635,8.881784197001252e-16,5.373479439185758e-12,5.373479439185758e-12,-9.255363868881886,-9.255363868876513,5.373479439185758e-12,E,0.0,4.0,0.0,1.0,15.774666666666667
corridor,0.05,decision,targeted,0.97,11,2,2,2,0.18181818181818182,6,4,4,9.982142857142847,9.982142857142849,0.0,0.0,3.73333333333333,1.7763568394002505e-15,1.1512568676153023e-11,1.1512568676153023e-11,-9.255363868888026,-9.255363868876513,1.1512568676153023e-11,to_001,3.933333333333333,4.0,1.9666666666666666,2.0,9.26
corridor,0.05,spectral_25,directional,0.97,11,5,4,20,0.45454545454545453,48,48,48,2.2000000000000006,4.0000000000000036,0.0,0.0,0.0,8.881784197001252e-16,5.10702591327572e-12,1.7787993300544258e-12,-9.25536386888162,-9.255363868876513,5.10702591327572e-12,E,0.0,4.0,0.0,1.0,21.6
corridor,0.05,spectral_25,targeted,0.97,11,5,5,20,0.45454545454545453,51,46,46,2.4964286472148536,3.9999999999999996,0.0,0.0,0.0,8.881784197001252e-16,5.849543072145025e-12,1.9892976155233555e-12,-9.255363868882363,-9.255363868876513,5.849543072145025e-12,to_001,15.733333333333333,13.0,3.1466666666666665,2.6,29.846666666666664
corridor,0.05,spectral_25,local_targeted,0.97,11,5,5,14,0.45454545454545453,51,32,32,2.7117347480106098,3.9999999999999996,0.0,0.0,0.0,8.881784197001252e-16,5.849543072145025e-12,1.9892976155233555e-12,-9.255363868882363,-9.255363868876513,5.849543072145025e-12,to_001,15.733333333333333,13.0,3.1466666666666665,2.6,26.74666666666667
