mode,map,slip,fixed_method,adaptive_method,fixed_topk,adaptive_cap,fixed_top4_feasible,adaptive_topk_feasible,feasible_match,boundary_match,fixed_boundary,adaptive_boundary,adaptive_k_used_mean,adaptive_k_used_max,adaptive_cap_hits,adaptive_selected_ranks,adaptive_first_selected_rank,adaptive_decisions,fixed_selection_time_sec,adaptive_selection_time_sec,selection_speedup_fixed_over_adaptive,fixed_exact_refine_calls,adaptive_exact_refine_calls,fixed_group_total_violation,adaptive_group_total_violation,fixed_start_gap,adaptive_start_gap,lexicographic_regret_vs_fixed,group_total_violation_delta,start_gap_delta,fixed_stop_reason,adaptive_stop_reason
certified,four_rooms_11,0.0,surrogate_topk_certified_refine,adaptive_topk_certified_refine,4,4,True,True,True,True,"[0, 10, 103]","[0, 10, 103]",1.0,1.0,0,1,1,feasible,14.217460939951707,7.177191787981428,1.9809225334844147,6,3,0.0,0.0,3.552713678800501e-15,3.552713678800501e-15,0.0,0.0,0.0,feasible,feasible
certified,four_rooms_11,0.05,surrogate_topk_certified_refine,adaptive_topk_certified_refine,4,4,True,True,True,True,"[0, 10, 92, 102, 103]","[0, 10, 92, 102, 103]",3.0,4.0,2,1;1;1,1,cap;cap;feasible,63.509722420887556,49.165716712072026,1.2917481258906074,16,13,0.0,0.0,0.057678433786927386,0.057678433786927386,0.0,0.0,0.0,feasible,feasible
certified,four_rooms_11,0.1,surrogate_topk_certified_refine,adaptive_topk_certified_refine,4,4,False,False,True,True,"[0, 10, 11, 92, 102, 103]","[0, 10, 11, 92, 102, 103]",4.0,4.0,4,1;1;1;2,1,cap;cap;cap;cap,100.71890238381457,98.48068410204723,1.0227274851121877,21,21,128.17685001041116,128.17685001041116,0.12286804502913284,0.12286804502913284,0.0,0.0,0.0,budget_not_met,budget_not_met
certified,four_rooms_15,0.0,surrogate_topk_certified_refine,adaptive_topk_certified_refine,4,4,True,True,True,True,"[0, 85, 199]","[0, 85, 199]",1.0,1.0,0,1,1,feasible,35.425104143912904,17.26069303107215,2.0523569986524732,6,3,0.0,0.0,3.552713678800501e-15,3.552713678800501e-15,0.0,0.0,0.0,feasible,feasible
certified,four_rooms_15,0.05,surrogate_topk_certified_refine,adaptive_topk_certified_refine,4,4,False,False,True,True,"[0, 1, 184, 199]","[0, 1, 184, 199]",4.0,4.0,3,1;1,1,cap;cap;cap,145.01490148494486,139.38411828497192,1.0403975952874398,15,15,116.58945928855368,116.58945928855368,0.08782278107613095,0.08782278107613095,0.0,0.0,0.0,no_positive_exact_refine_gain,no_positive_exact_refine_gain
certified,four_rooms_15,0.1,surrogate_topk_certified_refine,adaptive_topk_certified_refine,4,4,True,True,True,True,"[0, 1, 15, 199]","[0, 1, 15, 199]",4.0,4.0,1,1;3,1,cap;clear_margin,113.9885031109443,110.6774848040659,1.0299159157143836,11,11,0.0,0.0,0.18197537784052287,0.18197537784052287,0.0,0.0,0.0,feasible,feasible
certified,maze_13,0.0,surrogate_topk_certified_refine,adaptive_topk_certified_refine,4,4,True,True,True,True,"[0, 9, 70]","[0, 9, 70]",1.0,1.0,0,1,1,feasible,10.559597496059723,5.509615782008041,1.9165760216062036,6,3,0.0,0.0,7.105427357601002e-15,7.105427357601002e-15,0.0,0.0,0.0,feasible,feasible
certified,maze_13,0.05,surrogate_topk_certified_refine,adaptive_topk_certified_refine,4,4,True,True,True,True,"[0, 9, 70]","[0, 9, 70]",1.0,1.0,0,1,1,feasible,15.736188096925616,7.973032879992388,1.973676558692511,6,3,0.0,0.0,2.732578465725055e-07,2.732578465725055e-07,0.0,0.0,0.0,feasible,feasible
certified,maze_13,0.1,surrogate_topk_certified_refine,adaptive_topk_certified_refine,4,4,True,True,True,True,"[0, 9, 70]","[0, 9, 70]",1.0,1.0,0,1,1,feasible,17.437430106045213,9.0651045240229,1.9235773906230542,6,3,0.0,0.0,1.882131748232041e-07,1.882131748232041e-07,0.0,0.0,0.0,feasible,feasible
certified,maze_17,0.0,surrogate_topk_certified_refine,adaptive_topk_certified_refine,4,4,True,True,True,True,"[0, 1, 126]","[0, 1, 126]",1.0,1.0,0,1,1,feasible,29.17439782997826,14.249311711988412,2.0474250560069427,6,3,0.0,0.0,7.105427357601002e-15,7.105427357601002e-15,0.0,0.0,0.0,feasible,feasible
