mode,map,slip,both_feasible,feasible_match,boundary_match,lexicographic_regret_vs_fixed,group_total_violation_delta,start_gap_delta,adaptive_selected_ranks,adaptive_decisions
certified,four_rooms_11,0.0,True,True,True,0.0,0.0,0.0,1,feasible
certified,four_rooms_11,0.05,True,True,True,0.0,0.0,0.0,1;1;1,cap;cap;feasible
certified,four_rooms_11,0.1,False,True,True,0.0,0.0,0.0,1;1;1;2,cap;cap;cap;cap
certified,four_rooms_15,0.0,True,True,True,0.0,0.0,0.0,1,feasible
certified,four_rooms_15,0.05,False,True,True,0.0,0.0,0.0,1;1,cap;cap;cap
certified,four_rooms_15,0.1,True,True,True,0.0,0.0,0.0,1;3,cap;clear_margin
certified,maze_13,0.0,True,True,True,0.0,0.0,0.0,1,feasible
certified,maze_13,0.05,True,True,True,0.0,0.0,0.0,1,feasible
certified,maze_13,0.1,True,True,True,0.0,0.0,0.0,1,feasible
certified,maze_17,0.0,True,True,True,0.0,0.0,0.0,1,feasible
certified,maze_17,0.05,True,True,True,0.0,0.0,0.0,1,feasible
certified,maze_17,0.1,True,True,True,0.0,0.0,0.0,1,feasible
certified,open_room_12,0.0,True,True,True,0.0,0.0,0.0,1,feasible
certified,open_room_12,0.05,True,True,True,0.0,0.0,0.0,1;4,cap;clear_margin
certified,open_room_12,0.1,False,True,True,0.0,0.0,0.0,1;1,cap;cap;cap
certified,open_room_16,0.0,True,True,True,0.0,0.0,0.0,1,feasible
certified,open_room_16,0.05,False,True,True,0.0,0.0,0.0,3,cap;cap
certified,open_room_16,0.1,False,True,True,0.0,0.0,0.0,3;1,cap;cap;cap
exact,four_rooms_11,0.0,True,True,True,0.0,0.0,0.0,1,feasible
exact,four_rooms_11,0.05,True,True,True,0.0,0.0,0.0,1;1;1,cap;cap;feasible
exact,four_rooms_11,0.1,False,True,True,0.0,0.0,0.0,1;1;1;2,cap;cap;cap;cap
exact,four_rooms_15,0.0,True,True,True,0.0,0.0,0.0,1,feasible
exact,four_rooms_15,0.05,False,True,True,0.0,0.0,0.0,1;1,cap;cap;cap
exact,four_rooms_15,0.1,True,True,True,0.0,0.0,0.0,1;3,cap;clear_margin
exact,maze_13,0.0,True,True,True,0.0,0.0,0.0,1,feasible
exact,maze_13,0.05,True,True,True,0.0,0.0,0.0,1,feasible
exact,maze_13,0.1,True,True,True,0.0,0.0,0.0,1,feasible
exact,maze_17,0.0,True,True,True,0.0,0.0,0.0,1,feasible
exact,maze_17,0.05,True,True,True,0.0,0.0,0.0,1,feasible
exact,maze_17,0.1,True,True,True,0.0,0.0,0.0,1,feasible
exact,open_room_12,0.0,True,True,True,0.0,0.0,0.0,1,feasible
exact,open_room_12,0.05,True,True,True,0.0,0.0,0.0,1;4,cap;clear_margin
exact,open_room_12,0.1,False,True,True,0.0,0.0,0.0,1;1,cap;cap;cap
exact,open_room_16,0.0,True,True,True,0.0,0.0,0.0,1,feasible
exact,open_room_16,0.05,False,True,True,0.0,0.0,0.0,3,cap;cap
exact,open_room_16,0.1,False,True,True,0.0,0.0,0.0,3;1,cap;cap;cap
