map_family,map_size,map,method_spec,method,task_count,goal_source,n_states,n_boundary,state_compression_ratio,transition_nnz_proxy,kernel_nnz,construction_time_sec,kernel_time_sec,upfront_time_sec,full_total_time_sec,graph_replan_time_sec,graph_total_time_sec,amortized_speedup_vs_full_vi,planning_only_speedup_vs_full_vi,break_even_task_count_estimate,full_backup_count,smdp_edge_backup_count,backup_compression_ratio,start_gap_mean,start_gap_max
corridor,256,corridor_256,endpoints,endpoints,1,all_states,256,101,2.5346534653465347,3064,20000,9.456000407226384e-05,76.92338440698222,76.9234789669863,2.2656763679988217,52.90545943600591,129.8289384029922,0.017451243119358386,0.04282500127873133,inf,314368,2676500,0.11745488511115262,7.116085498637403e-11,7.116085498637403e-11
corridor,256,corridor_256,endpoints,endpoints,5,all_states,256,101,2.5346534653465347,3064,20000,9.456000407226384e-05,76.92338440698222,76.9234789669863,10.672600188001525,266.52110172400717,343.44458069099346,0.031075174243625513,0.04004410952440611,inf,1551360,13190600,0.11761102603369065,1.4233236811378448e-11,7.116085498637403e-11
corridor,256,corridor_256,endpoints,endpoints,10,all_states,256,101,2.5346534653465347,3064,20000,9.456000407226384e-05,76.92338440698222,76.9234789669863,25.140304012980778,594.719529289956,671.6430082569423,0.037431051472158194,0.04227253818786839,inf,3035136,25714600,0.11803162405792818,7.119282940948324e-12,7.116085498637403e-11
corridor,256,corridor_256,endpoints,endpoints,25,all_states,256,101,2.5346534653465347,3064,20000,9.456000407226384e-05,76.92338440698222,76.9234789669863,65.03154382391949,1451.5708772299113,1528.4943561968976,0.04254614585933234,0.04480080500651935,inf,7059456,59428400,0.11878926573826655,2.858087100321427e-12,7.116085498637403e-11
corridor,256,corridor_256,endpoints,endpoints,50,all_states,256,101,2.5346534653465347,3064,20000,9.456000407226384e-05,76.92338440698222,76.9234789669863,117.3884250408737,2604.522657613881,2681.4461365808675,0.04377802837037651,0.0450709939872124,inf,12324864,102939200,0.11972954909305687,1.4493650724034523e-12,7.116085498637403e-11
corridor,256,corridor_256,endpoints,endpoints,100,all_states,256,101,2.5346534653465347,3064,20000,9.456000407226384e-05,76.92338440698222,76.9234789669863,226.5338402898342,5048.986848208937,5125.910327175923,0.04419387500573797,0.04486718763591039,inf,24456192,204211900,0.11975889749813796,2.7258479917691147e-11,9.957545898942044e-11
corridor,256,corridor_256,betweenness_sqrt,betweenness_16,1,all_states,256,110,2.327272727272727,3064,23762,0.10240308998618275,66.63934141697246,66.74174450695864,1.7684682199906092,55.26677084498806,122.0085153519467,0.0144946294517991,0.031998761515319926,inf,314368,3177350,0.09894031189513273,7.116085498637403e-11,7.116085498637403e-11
corridor,256,corridor_256,betweenness_sqrt,betweenness_16,5,all_states,256,110,2.327272727272727,3064,23762,0.10240308998618275,66.63934141697246,66.74174450695864,8.21660346200224,235.90393007997773,302.64567458693637,0.02714925125963425,0.034830294939200854,inf,1551360,15658940,0.09907184011178279,1.4233236811378448e-11,7.116085498637403e-11
corridor,256,corridor_256,betweenness_sqrt,betweenness_16,10,all_states,256,110,2.327272727272727,3064,23762,0.10240308998618275,66.63934141697246,66.74174450695864,16.535740674007684,457.3039341820113,524.0456786889699,0.0315540063518431,0.036159191815363444,inf,3035136,30526540,0.09942613869767095,7.119282940948324e-12,7.116085498637403e-11
corridor,256,corridor_256,betweenness_sqrt,betweenness_16,25,all_states,256,110,2.327272727272727,3064,23762,0.10240308998618275,66.63934141697246,66.74174450695864,40.9460248540272,1086.4736092570238,1153.2153537639824,0.03550596575078832,0.03768708646501576,inf,7059456,70549160,0.10006435228994931,2.858087100321427e-12,7.116085498637403e-11
corridor,256,corridor_256,betweenness_sqrt,betweenness_16,50,all_states,256,110,2.327272727272727,3064,23762,0.10240308998618275,66.63934141697246,66.74174450695864,72.24346644995967,1895.250412773894,1961.9921572808526,0.03682148584634646,0.0381181642082979,inf,12324864,122202080,0.10085641750124057,1.4493650724034523e-12,7.116085498637403e-11
corridor,256,corridor_256,betweenness_sqrt,betweenness_16,100,all_states,256,110,2.327272727272727,3064,23762,0.10240308998618275,66.63934141697246,66.74174450695864,142.12417716096388,3711.138656758849,3777.8804012658074,0.03762008376796261,0.03829664970941536,inf,24456192,242425810,0.10088113967733056,2.7258124646323266e-11,9.956835356206284e-11
corridor,256,corridor_256,graph_rd_surrogate_joint,graph_rd_surrogate_joint,1,all_states,256,101,2.5346534653465347,3064,20000,4.947054021991789,68.94351854600245,73.89057256799424,1.9694959140033461,47.67147992699756,121.5620524949918,0.016201568446571654,0.041313924321614584,inf,314368,2676500,0.11745488511115262,7.116085498637403e-11,7.116085498637403e-11
corridor,256,corridor_256,graph_rd_surrogate_joint,graph_rd_surrogate_joint,5,all_states,256,101,2.5346534653465347,3064,20000,4.947054021991789,68.94351854600245,73.89057256799424,10.447370224981569,228.26355246902676,302.154125037021,0.034576295205969866,0.04576889350917808,inf,1551360,13190600,0.11761102603369065,1.4233236811378448e-11,7.116085498637403e-11
corridor,256,corridor_256,graph_rd_surrogate_joint,graph_rd_surrogate_joint,10,all_states,256,101,2.5346534653465347,3064,20000,4.947054021991789,68.94351854600245,73.89057256799424,21.434136961994227,474.15010321099544,548.0406757789897,0.03911048560679837,0.04520538288790817,inf,3035136,25714600,0.11803162405792818,7.119282940948324e-12,7.116085498637403e-11
