target_validation_failure_recall,metric,risk_threshold,n_calibration_failures,validation_n_rows,validation_n_student_failures,validation_audit_rate,validation_failure_recall,validation_undetected_failures,validation_accepted_feasible_rate,validation_fallback_rate,validation_median_selective_pipeline_time_sec,validation_median_selective_speedup_vs_teacher,validation_max_accepted_normalized_start_gap
0.9,student_score_margin,-0.5826048851013184,5,90,5,0.6777777777777778,1.0,0,0.9666666666666667,0.05555555555555555,5.1665597129031084,0.4491605287252067,0.009605048492230204
0.9,constraint_failure_probability,0.005475536920130253,5,90,5,0.8,1.0,0,0.9666666666666667,0.05555555555555555,5.4582263679476455,0.4226825099125132,0.009605048492230204
0.9,constraint_max_group_probability,0.01691615767776966,5,90,5,0.17777777777777778,1.0,0,0.9666666666666667,0.05555555555555555,0.1478124905261211,14.787179445334433,0.009605048492230204
0.9,constraint_predicted_gap,0.000954558840021491,5,90,5,0.5,1.0,0,0.9666666666666667,0.05555555555555555,2.1423369795084,7.1046551727241845,0.009605048492230204
0.9,constraint_combined_risk,0.00817074254155159,5,90,5,0.4777777777777778,1.0,0,0.9666666666666667,0.05555555555555555,0.22275558073306456,11.59699185176115,0.009605048492230204
0.9,full_audit,nan,5,90,5,1.0,1.0,0,0.9666666666666667,0.05555555555555555,5.580682397529017,0.4073650357092722,0.009605048492230204
1.0,student_score_margin,-0.5826048851013184,5,90,5,0.6777777777777778,1.0,0,0.9666666666666667,0.05555555555555555,5.1665597129031084,0.4491605287252067,0.009605048492230204
1.0,constraint_failure_probability,0.005475536920130253,5,90,5,0.8,1.0,0,0.9666666666666667,0.05555555555555555,5.4582263679476455,0.4226825099125132,0.009605048492230204
1.0,constraint_max_group_probability,0.01691615767776966,5,90,5,0.17777777777777778,1.0,0,0.9666666666666667,0.05555555555555555,0.1478124905261211,14.787179445334433,0.009605048492230204
1.0,constraint_predicted_gap,0.000954558840021491,5,90,5,0.5,1.0,0,0.9666666666666667,0.05555555555555555,2.1423369795084,7.1046551727241845,0.009605048492230204
1.0,constraint_combined_risk,0.00817074254155159,5,90,5,0.4777777777777778,1.0,0,0.9666666666666667,0.05555555555555555,0.22275558073306456,11.59699185176115,0.009605048492230204
1.0,full_audit,nan,5,90,5,1.0,1.0,0,0.9666666666666667,0.05555555555555555,5.580682397529017,0.4073650357092722,0.009605048492230204
