map_family,map_size,map,maze_seed,topology_seed,goal_variant,map_rows,slip,student_method,n_states,student_boundary,teacher_boundary,student_n_boundary,teacher_n_boundary,state_compression_ratio,boundary_jaccard,top_set_hit,top_set_regret,student_score_margin,ensemble_top_state_agreement,ensemble_max_node_logit_std,ensemble_selected_logit_std,student_group_all_feasible,teacher_group_all_feasible,accepted_group_all_feasible,student_n_groups_feasible,student_group_total_violation,student_group_max_violation,student_group_risks,student_group_violations,fallback_used,student_start_gap,student_normalized_start_gap,teacher_start_gap,teacher_normalized_start_gap,accepted_normalized_start_gap,graph_encoding_time_sec,gnn_forward_time_sec,student_selection_time_sec,group_context_time_sec,group_audit_time_sec,student_kernel_time_sec,student_smdp_solve_time_sec,student_audited_pipeline_time_sec,teacher_selection_time_sec,teacher_pipeline_time_sec,accepted_pipeline_time_sec,selection_speedup_vs_teacher,selection_plus_audit_speedup_vs_teacher,accepted_speedup_vs_teacher_pipeline,error
four_rooms,13,four_rooms_13_goal0,0,0,0,"[""###############"", ""#S.....#......#"", ""#......#......#"", ""#......#......#"", ""#.............#"", ""#......#......#"", ""#......#......#"", ""####.#####.####"", ""#......#......#"", ""#......#......#"", ""#.............#"", ""#......#......#"", ""#......#......#"", ""#......#.....G#"", ""###############""]",0.0,baseline_nearest_start,148,"[0, 1, 147]","[0, 61, 147]",3,3,49.333333333333336,0.5,False,1.0,0.0,nan,nan,nan,True,True,True,3,0.0,0.0,"{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}","{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}",False,7.105427357601002e-15,4.110487847549467e-16,7.105427357601002e-15,2.1316282072803025e-16,4.110487847549467e-16,0.005849580047652125,5.6353979744017124e-05,0.0059059340273961425,2.0851047809701413,3.7438919990090653,0.08590005803853273,0.002793065970763564,5.923595838015899,2.543815226992592,2.6183105260133743,5.923595838015899,430.7219171755853,0.4359653196764017,0.44201370208443763,
four_rooms,13,four_rooms_13_goal1,0,0,1,"[""###############"", ""#S.....#......#"", ""#......#......#"", ""#......#......#"", ""#.............#"", ""#......#......#"", ""#......#......#"", ""####.#####.####"", ""#......#......#"", ""#......#......#"", ""#.............#"", ""#......#......#"", ""#......#......#"", ""#......#....G.#"", ""###############""]",0.0,baseline_nearest_start,148,"[0, 1, 146]","[0, 134, 146]",3,3,49.333333333333336,0.5,False,1.0,0.0,nan,nan,nan,True,True,True,3,0.0,0.0,"{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}","{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}",False,7.105427357601002e-15,4.2319939502417495e-16,7.105427357601002e-15,2.1316282072803025e-16,4.2319939502417495e-16,0.00529895001091063,3.8053025491535664e-05,0.005337003036402166,2.0583194359205663,3.523104851017706,0.08204949600622058,0.002196487970650196,5.671007273951545,2.5588410360505804,2.6471370951039717,5.671007273951545,479.45279749654634,0.458018680812865,0.46678428843901876,
open_room,13,open_room_13_goal0,0,0,0,"[""###############"", ""#S............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#............G#"", ""###############""]",0.0,baseline_nearest_start,169,"[0, 1, 168]","[0, 78, 168]",3,3,56.333333333333336,0.5,False,1.0,0.0,nan,nan,nan,True,True,True,3,0.0,0.0,"{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}","{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}",False,7.105427357601002e-15,4.110487847549467e-16,3.552713678800501e-15,1.0658141036401512e-16,4.110487847549467e-16,0.007510660914704204,4.594994243234396e-05,0.0075566108571365476,2.4884849780937657,4.223067576996982,0.06184548593591899,0.0023858100175857544,6.783340461901389,3.1454514419892803,3.208031196030788,6.783340461901389,416.251610868473,0.46813518939836163,0.47292793484989964,
open_room,13,open_room_13_goal1,0,0,1,"[""###############"", ""#S............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#............G#"", ""#.............#"", ""###############""]",0.0,baseline_nearest_start,169,"[0, 1, 155]","[0, 78, 155]",3,3,56.333333333333336,0.5,False,1.0,0.0,nan,nan,nan,True,True,True,3,0.0,0.0,"{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}","{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}",False,7.105427357601002e-15,4.2319939502417495e-16,7.105427357601002e-15,2.1316282072803025e-16,4.2319939502417495e-16,0.006164376041851938,6.535695865750313e-05,0.006229733000509441,2.4061145649757236,4.4110341490013525,0.06556493998505175,0.0024000920820981264,6.891343479044735,3.118598076980561,3.183728329022415,6.891343479044735,500.59899464801066,0.45704603682973843,0.461989500117579,
four_rooms,13,four_rooms_13_goal0,0,0,0,"[""###############"", ""#S.....#......#"", ""#......#......#"", ""#......#......#"", ""#.............#"", ""#......#......#"", ""#......#......#"", ""####.#####.####"", ""#......#......#"", ""#......#......#"", ""#.............#"", ""#......#......#"", ""#......#......#"", ""#......#.....G#"", ""###############""]",0.0,baseline_topology,148,"[0, 13, 147]","[0, 61, 147]",3,3,49.333333333333336,0.5,False,1.0,0.0,nan,nan,nan,True,True,True,3,0.0,0.0,"{""stochastic"": 0.0, ""topology"": 9.715788274046137, ""value"": 0.0}","{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}",False,3.552713678800501e-15,2.0552439237747334e-16,7.105427357601002e-15,2.1316282072803025e-16,2.0552439237747334e-16,0.005849580047652125,4.1858991608023643e-05,0.005891439039260149,2.2044746270403266,3.636728579062037,0.10217230301350355,0.0014713850105181336,5.950738333165646,2.543815226992592,2.6183105260133743,5.950738333165646,431.7816428279713,0.43505627689920484,0.43999759011761114,
four_rooms,13,four_rooms_13_goal1,0,0,1,"[""###############"", ""#S.....#......#"", ""#......#......#"", ""#......#......#"", ""#.............#"", ""#......#......#"", ""#......#......#"", ""####.#####.####"", ""#......#......#"", ""#......#......#"", ""#.............#"", ""#......#......#"", ""#......#......#"", ""#......#....G.#"", ""###############""]",0.0,baseline_topology,148,"[0, 13, 146]","[0, 134, 146]",3,3,49.333333333333336,0.5,False,1.0,0.0,nan,nan,nan,True,True,True,3,0.0,0.0,"{""stochastic"": 0.0, ""topology"": 9.715788274046137, ""value"": 0.0}","{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}",False,7.105427357601002e-15,4.2319939502417495e-16,7.105427357601002e-15,2.1316282072803025e-16,4.2319939502417495e-16,0.00529895001091063,5.761196371167898e-05,0.005356561974622309,2.0422064249869436,3.6717631469946355,0.08920090598985553,0.0015091629466041923,5.810036202892661,2.5588410360505804,2.6471370951039717,5.810036202892661,477.7021246414318,0.44740253941080393,0.455614561194306,
open_room,13,open_room_13_goal0,0,0,0,"[""###############"", ""#S............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#............G#"", ""###############""]",0.0,baseline_topology,169,"[0, 14, 168]","[0, 78, 168]",3,3,56.333333333333336,0.5,False,1.0,0.0,nan,nan,nan,True,True,True,3,0.0,0.0,"{""stochastic"": 0.0, ""topology"": 9.715788274046137, ""value"": 0.0}","{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}",False,3.552713678800501e-15,2.0552439237747334e-16,3.552713678800501e-15,1.0658141036401512e-16,2.0552439237747334e-16,0.007510660914704204,3.8449070416390896e-05,0.0075491099851205945,2.5916246119886637,4.0778212890727445,0.05859020201023668,0.0012437389232218266,6.736828951979987,3.1454514419892803,3.208031196030788,6.736828951979987,416.66520267806544,0.47108788261566686,0.47619306039942305,
open_room,13,open_room_13_goal1,0,0,1,"[""###############"", ""#S............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#.............#"", ""#............G#"", ""#.............#"", ""###############""]",0.0,baseline_topology,169,"[0, 14, 155]","[0, 78, 155]",3,3,56.333333333333336,0.5,False,1.0,0.0,nan,nan,nan,True,True,True,3,0.0,0.0,"{""stochastic"": 0.0, ""topology"": 9.715788274046137, ""value"": 0.0}","{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}",False,7.105427357601002e-15,4.2319939502417495e-16,7.105427357601002e-15,2.1316282072803025e-16,4.2319939502417495e-16,0.006164376041851938,4.012300632894039e-05,0.006204499048180878,2.2002485929988325,3.772253145929426,0.06105294800363481,0.0012227880069985986,6.040981973987073,3.118598076980561,3.183728329022415,6.040981973987073,502.63495130923025,0.5216175461459176,0.5270216568650248,
four_rooms,13,four_rooms_13_goal0,0,0,0,"[""###############"", ""#S.....#......#"", ""#......#......#"", ""#......#......#"", ""#.............#"", ""#......#......#"", ""#......#......#"", ""####.#####.####"", ""#......#......#"", ""#......#......#"", ""#.............#"", ""#......#......#"", ""#......#......#"", ""#......#.....G#"", ""###############""]",0.05,baseline_nearest_start,148,"[0, 1, 147]","[0, 50, 61, 134, 147]",3,5,49.333333333333336,0.3333333333333333,False,1.0,0.0,nan,nan,nan,False,False,False,0,210.158363337266,70.11019770475441,"{""stochastic"": 89.5417742528467, ""topology"": 89.5417742528467, ""value"": 89.36954447584944}","{""stochastic"": 70.11019770475441, ""topology"": 70.11019770475441, ""value"": 69.93796792775716}",True,0.06720899608079023,0.0037200879828280264,0.06720895543314498,0.002016268662994351,0.002016268662994351,0.0075021389639005065,3.913906402885914e-05,0.007541278027929366,3.5370400719111785,5.678968176944181,0.12996543606277555,0.0035409959964454174,9.35705595894251,25.609982833033428,25.884541347040795,35.108090873924084,3395.9738307202088,2.7765864712266843,0.7372813702685862,
four_rooms,13,four_rooms_13_goal1,0,0,1,"[""###############"", ""#S.....#......#"", ""#......#......#"", ""#......#......#"", ""#.............#"", ""#......#......#"", ""#......#......#"", ""####.#####.####"", ""#......#......#"", ""#......#......#"", ""#.............#"", ""#......#......#"", ""#......#......#"", ""#......#....G.#"", ""###############""]",0.05,baseline_nearest_start,148,"[0, 1, 146]","[0, 13, 134, 146]",3,4,49.333333333333336,0.4,False,1.0,0.0,nan,nan,nan,False,False,False,0,210.158363337266,70.11019770475441,"{""stochastic"": 89.5417742528467, ""topology"": 89.5417742528467, ""value"": 89.36954447584944}","{""stochastic"": 70.11019770475441, ""topology"": 70.11019770475441, ""value"": 69.93796792775716}",True,0.06070446325533041,0.003456787525030568,0.06070446347670355,0.0018211339043011081,0.0018211339043011081,0.0075378569308668375,5.2943010814487934e-05,0.0075907999416813254,3.215038520982489,5.360422821016982,0.11903917393647134,0.00282621500082314,8.704917530878447,23.948935143998824,24.143272367073223,32.726324509014376,3154.9949054110166,2.790258610567232,0.73773247467564,
