split,map_family,map_size,map,maze_seed,topology_seed,goal_variant,slip,n_states,candidate_state,rank,is_top,target_score,target_reduction,error
train,open_room,7,open_room_7_goal0,0,0,0,0.0,49,42,1,True,1.0,1.0,
train,open_room,7,open_room_7_goal1,0,0,1,0.0,49,36,1,True,1.0,1.0,
train,four_rooms,7,four_rooms_7_goal0,0,0,0,0.0,40,13,1,True,1.0,1.0,
train,four_rooms,7,four_rooms_7_goal1,0,0,1,0.0,40,32,1,True,1.0,1.0,
train,open_room,7,open_room_7_goal0,0,0,0,0.0,49,1,2,False,0.0,0.0,
train,open_room,7,open_room_7_goal1,0,0,1,0.0,49,1,2,False,0.0,0.0,
train,four_rooms,7,four_rooms_7_goal0,0,0,0,0.0,40,19,2,False,1.0,1.0,
train,four_rooms,7,four_rooms_7_goal1,0,0,1,0.0,40,13,2,False,0.5000000000000001,0.5000000000000001,
train,open_room,7,open_room_7_goal0,0,0,0,0.0,49,3,3,False,0.0,0.0,
train,open_room,7,open_room_7_goal1,0,0,1,0.0,49,5,3,False,0.0,0.0,
train,four_rooms,7,four_rooms_7_goal0,0,0,0,0.0,40,28,3,False,1.0,1.0,
train,four_rooms,7,four_rooms_7_goal1,0,0,1,0.0,40,19,3,False,0.5000000000000001,0.5000000000000001,
train,open_room,7,open_room_7_goal0,0,0,0,0.0,49,6,4,False,0.0,0.0,
train,open_room,7,open_room_7_goal1,0,0,1,0.0,49,6,4,False,0.0,0.0,
train,four_rooms,7,four_rooms_7_goal0,0,0,0,0.0,40,2,4,False,0.0,0.0,
train,four_rooms,7,four_rooms_7_goal1,0,0,1,0.0,40,28,4,False,0.5000000000000001,0.5000000000000001,
train,open_room,7,open_room_7_goal0,0,0,0,0.0,49,8,5,False,0.0,0.0,
train,open_room,7,open_room_7_goal1,0,0,1,0.0,49,8,5,False,0.0,0.0,
train,four_rooms,7,four_rooms_7_goal0,0,0,0,0.0,40,3,5,False,0.0,0.0,
train,four_rooms,7,four_rooms_7_goal1,0,0,1,0.0,40,2,5,False,0.0,0.0,
train,open_room,7,open_room_7_goal0,0,0,0,0.0,49,12,6,False,0.0,0.0,
train,open_room,7,open_room_7_goal1,0,0,1,0.0,49,10,6,False,0.0,0.0,
