map_family,map_size,map,method_spec,method,n_states,n_boundary,n_edges_valid,state_compression_ratio,transition_nnz_proxy,kernel_nnz,memory_compression_ratio,full_vi_iterations,full_vi_time_sec,full_vi_backup_count,full_pi_iterations,full_pi_time_sec,full_pi_improvement_backup_count,construction_time_sec,kernel_time_sec,smdp_iterations,smdp_solve_time_sec,smdp_edge_backup_count,compressed_total_time_sec,planning_time_speedup_vs_full_vi,total_time_speedup_vs_full_vi,backup_compression_ratio,start_gap,value_gap_max,occupancy_struct_hidden_distinct,occupancy_model_residual,struct_hidden_distinct_cvar95
corridor,64,corridor_64,endpoints,endpoints,64,2,2,32.0,760,2,380.0,95,0.10454662196571007,24320,5,0.006414558971300721,1280,7.924973033368587e-06,0.009166395000647753,2,0.0001352480030618608,4,0.009309567976742983,772.9993759530166,11.230018646073246,6080.0,3.375077994860476e-11,3.375077994860476e-11,0.0,0.16556844887303046,0.0
corridor,64,corridor_64,betweenness_sqrt,betweenness_8,64,8,56,8.0,760,86,8.837209302325581,95,0.10532766103278846,24320,5,0.006414558971300721,1280,0.004140808014199138,0.08755851100431755,51,0.019694773014634848,2856,0.11139409203315154,5.348000759111125,0.9455408191795515,8.515406162464986,1.829647544582258e-11,1.829647544582258e-11,0.0,0.6410575623358856,0.0
corridor,64,corridor_64,graph_rd_joint,graph_rd_joint,64,2,2,32.0,760,2,380.0,95,0.1056407309952192,24320,5,0.006414558971300721,1280,0.2370347420219332,0.008944755012635142,2,9.03939944691956e-05,4,0.24606989102903754,1168.669795107012,0.4293118940860304,6080.0,3.375077994860476e-11,3.375077994860476e-11,0.0,0.16556844887303046,0.0
corridor,64,corridor_64,turn_articulation,turn_articulation,64,2,2,32.0,760,2,380.0,95,0.10465290804859251,24320,5,0.006414558971300721,1280,0.00047948502469807863,0.008733593975193799,2,8.40339926071465e-05,4,0.009297112992499024,1245.363986664755,11.256495229543537,6080.0,3.375077994860476e-11,3.375077994860476e-11,0.0,0.16556844887303046,0.0
open_room,10,open_room_10,endpoints,endpoints,100,2,2,50.0,1584,2,792.0,43,0.07590555195929483,17200,5,0.00974289799341932,2000,1.42720527946949e-05,0.020573942048940808,2,8.708698442205787e-05,4,0.02067530108615756,871.6061586359058,3.671315432988533,4300.0,0.07026476165577655,0.07026476165577655,0.866416942608483,0.7465645000293251,0.866416942608483
open_room,10,open_room_10,betweenness_sqrt,betweenness_10,100,10,90,10.0,1584,601,2.6356073211314475,43,0.0761020319769159,17200,5,0.00974289799341932,2000,0.012438945996109396,0.34283163998043165,29,0.01785283099161461,2610,0.37312341696815565,4.262743091706893,0.20395940998635004,6.590038314176245,0.07025968365205237,0.07025968365205237,0.8664169007887635,0.7466221190579962,0.34666876168355865
open_room,10,open_room_10,graph_rd_joint,graph_rd_joint,100,2,2,50.0,1584,2,792.0,43,0.07601354504004121,17200,5,0.00974289799341932,2000,0.6061478600022383,0.01990227500209585,2,9.080098243430257e-05,4,0.6261409359867685,837.144522032451,0.12140005655475546,4300.0,0.07026476165577655,0.07026476165577655,0.866416942608483,0.7465645000293251,0.866416942608483
open_room,10,open_room_10,turn_articulation,turn_articulation,100,4,12,25.0,1584,20,79.2,43,0.07774853002047166,17200,5,0.00974289799341932,2000,0.0009443240123800933,0.04769216902786866,4,0.00039514299714937806,48,0.04903163603739813,196.7604907118725,1.5856809257021356,358.3333333333333,0.07026476165577478,0.07026476165577478,0.0,0.22452149234529975,0.0
maze,13,maze_13,endpoints,endpoints,71,2,2,35.5,844,2,422.0,53,0.06685613200534135,15052,4,0.005632936023175716,1136,1.2166972737759352e-05,0.019471004023216665,2,8.966599125415087e-05,4,0.019572836987208575,745.6130364503879,3.415760936906275,3763.0,1.6697754290362354e-13,1.6697754290362354e-13,6.000000094732837,1.2343397367723996,6.000000094762004
maze,13,maze_13,betweenness_sqrt,betweenness_9,71,9,72,7.888888888888889,844,121,6.975206611570248,53,0.066528327006381,15052,4,0.005632936023175716,1136,0.00522947299759835,0.38361878698924556,19,0.009256303019355983,1368,0.3981045630061999,7.18735405131646,0.16711269648357416,11.002923976608187,4.192202140984591e-13,1.1188383552962478e-11,5.000005494476323,1.4366432465996573,4.999999999999995
maze,13,maze_13,graph_rd_joint,graph_rd_joint,71,8,56,8.875,844,92,9.173913043478262,53,0.0663399140466936,15052,4,0.005632936023175716,1136,21.53102396702161,0.23799944401253015,18,0.00683493900578469,1008,21.775858350039925,9.705999423044945,0.0030464890513292654,14.932539682539682,1.1475265182525618e-12,1.1475265182525618e-12,9.473284438199232e-08,0.917168448834321,9.47328354104429e-08
maze,13,maze_13,turn_articulation,turn_articulation,71,18,306,3.9444444444444446,844,546,1.5457875457875458,53,0.06704854598501697,15052,4,0.005632936023175716,1136,0.000589021947234869,0.4313464870210737,18,0.036733391985762864,5508,0.46866890095407143,1.825275106938223,0.1430616493830206,2.7327523602033406,1.1475265182525618e-12,1.7035262089848402e-11,0.0,0.9171684262218325,0.0
