map,terminal_basis,condition_cap,n_edges,certificates_found,rational_verified,spectral_radius_max,row_q_max,weighted_q_max,weight_dynamic_range_max,conditioned_row_tail_K128_max,actual_tail_row_K128_max,rational_max_violation_max
corridor_128,boundary,100,2,0,0,0.7438554583746873,1.0,0.0,0.0,0.0,0.9757702341239559,0.0
corridor_128,boundary,10000,2,2,2,0.7438554583746873,1.0,0.96346742325782,7448.893463146084,810.695180633156,0.9757702341239559,0.0
corridor_128,boundary,1e+06,2,2,2,0.7438554583746873,1.0,0.9274051982547209,699587.2740312621,275.4383888858315,0.9757702341239559,0.0
corridor_128,boundary,1e+09,2,2,2,0.7438554583746873,1.0,0.8736753471336316,783687089.5631331,144.00698846996747,0.9757702341239559,0.0
corridor_128,boundary,1e+12,2,2,2,0.7438554583746873,1.0,0.8283280373986063,902875601266.0072,124.5322840037151,0.9757702341239559,0.0
corridor_128,boundary,inf,2,2,2,0.7438554583746873,1.0,0.8275931586835801,1353654832333.2031,124.50192971299226,0.9757702341239559,0.0
corridor_128,residual,100,2,0,0,0.7438554583746873,1.0,0.0,0.0,0.0,0.9757702341239559,0.0
corridor_128,residual,10000,2,2,2,0.7438554583746873,1.0,0.96346742325782,7448.893463146084,810.695180633156,0.9757702341239559,0.0
corridor_128,residual,1e+06,2,2,2,0.7438554583746873,1.0,0.9274051982547209,699587.2740312621,275.4383888858315,0.9757702341239559,0.0
corridor_128,residual,1e+09,2,2,2,0.7438554583746873,1.0,0.8736753471336316,783687089.5631331,144.00698846996747,0.9757702341239559,0.0
corridor_128,residual,1e+12,2,2,2,0.7438554583746873,1.0,0.8283280373986063,902875601266.0072,124.5322840037151,0.9757702341239559,0.0
corridor_128,residual,inf,2,2,2,0.7438554583746873,1.0,0.8275931586835801,1353654832333.2031,124.50192971299226,0.9757702341239559,0.0
four_rooms_11,boundary,100,2,2,2,0.37169139611109203,1.0,0.8727870445953712,98.70157495367187,1.756606793440582e-05,1.2212453270876722e-15,0.0
four_rooms_11,boundary,10000,2,2,2,0.37169139611109203,1.0,0.6821264141137277,9565.549808381997,1.0585696754402967e-17,1.2212453270876722e-15,0.0
four_rooms_11,boundary,1e+06,2,2,2,0.37169139611109203,1.0,0.5550615466056701,840450.7032133752,1.879070851793914e-27,1.2212453270876722e-15,0.0
four_rooms_11,boundary,1e+09,2,2,2,0.37169139611109203,1.0,0.43271737804210336,699448304.0402409,1.377333817540443e-38,1.2212453270876722e-15,0.0
four_rooms_11,boundary,1e+12,2,2,2,0.37169139611109203,1.0,0.37540952898152574,727510260069.1783,1.4293877362199797e-43,1.2212453270876722e-15,0.0
four_rooms_11,boundary,inf,2,2,2,0.37169139611109203,1.0,0.37540952898152574,727510260069.1783,1.4293877362199797e-43,1.2212453270876722e-15,0.0
four_rooms_11,residual,100,2,2,2,0.36664329015843794,1.0,0.8156863984361018,90.35153759461822,2.5411532763655275e-10,2.2219369740622287e-16,0.0
four_rooms_11,residual,10000,2,2,2,0.36664329015843794,1.0,0.5994841451587168,8445.561150645502,5.466595495575603e-26,2.2219369740622287e-16,0.0
four_rooms_11,residual,1e+06,2,2,2,0.36664329015843794,1.0,0.47139529723699397,886391.5905554579,2.014228243951775e-37,2.2219369740622287e-16,0.0
four_rooms_11,residual,1e+09,2,2,2,0.36664329015843794,1.0,0.37866951668177395,863548373.85398,1.2487072501929159e-46,2.2219369740622287e-16,0.0
four_rooms_11,residual,1e+12,2,2,2,0.36664329015843794,1.0,0.3703912960953261,5011247919.782647,4.2908495390756986e-47,2.2219369740622287e-16,0.0
four_rooms_11,residual,inf,2,2,2,0.36664329015843794,1.0,0.3703912960953261,5011247919.782647,4.2908495390756986e-47,2.2219369740622287e-16,0.0
maze_13,boundary,100,2,2,2,0.4644882339024664,1.0,0.9702052637245038,96.27906168634495,20.18602374376405,1.3322676295501878e-15,0.0
maze_13,boundary,10000,2,2,2,0.4644882339024664,1.0,0.878024417635849,9833.970782431485,7.520906425617474e-05,1.3322676295501878e-15,0.0
maze_13,boundary,1e+06,2,2,2,0.4644882339024664,1.0,0.803615467776303,924607.7308378902,3.07037053350342e-09,1.3322676295501878e-15,0.0
maze_13,boundary,1e+09,2,2,2,0.4644882339024664,1.0,0.7088103923628741,747230268.5585568,3.2932449984395465e-15,1.3322676295501878e-15,0.0
maze_13,boundary,1e+12,2,2,2,0.4644882339024664,1.0,0.6275481773634374,730861832925.6678,7.648858044021388e-21,1.3322676295501878e-15,0.0
maze_13,boundary,inf,2,2,2,0.4644882339024664,1.0,0.4644882392575841,8.845956814728379e+19,2.86405784130192e-34,1.3322676295501878e-15,0.0
maze_13,residual,100,2,2,2,0.2764193355078182,1.0,0.7360239399445636,97.78252505098767,6.232726299601523e-17,0.0,0.0
maze_13,residual,10000,2,2,2,0.2764193355078182,1.0,0.47839460024790903,9536.347459588489,3.4834599411843093e-41,0.0,0.0
maze_13,residual,1e+06,2,2,2,0.2764193355078182,1.0,0.34669847817565824,852925.835414384,4.2967337764700135e-59,0.0,0.0
