map_family,map_size,map,method_spec,variant,task_type,task_count,n_states,n_boundary,state_compression_ratio,edge_count,reward_kernel_nnz,continuation_kernel_nnz,certified_kernel_error_bound,goal_option_interface_size,goal_conditioned_options,n_goal_policies,construction_time_sec,kernel_time_sec,task_kernel_time_sec,policy_build_time_sec,batched_event_solve_time_sec,smdp_solve_time_sec,full_total_time_sec,graph_total_time_sec,break_even_num_tasks,amortized_speedup_vs_full_vi,planning_only_speedup_vs_full_vi,start_gap_mean,start_gap_max,boundary_gap_max,full_backup_count,smdp_edge_backup_count,epsilon_opt_empirical
corridor,256,corridor_256,endpoints,fixed_B_edge_reward_kernel,additive_sparse,1,256,2,128.0,2,510,2,0.0,0,0,0,7.061200449243188e-05,0.14800567898782901,6.1810133047401905e-06,0.0,0.0,0.00034923700150102377,0.11924943799385801,0.1484317090071272,2.0,0.8033959777969816,335.51883423530984,0.105131079397175,0.105131079397175,2.323034236892612,774144,8,
corridor,256,corridor_256,endpoints,fixed_B_edge_reward_kernel,additive_dense,1,256,2,128.0,2,510,2,0.0,0,0,0,7.061200449243188e-05,0.14800567898782901,7.829017704352736e-06,0.0,0.0,0.0002538450062274933,0.10553823199006729,0.1483379650162533,2.0,0.711471483234272,403.31948278349216,1.1210126965659544,1.1210126965659544,1.1210126965659544,747520,8,
corridor,256,corridor_256,endpoints,fixed_B_event_hit_kernel,terminal_goal,1,256,2,128.0,2,2,2,0.0,0,0,0,7.061200449243188e-05,0.14800567898782901,0.015892293013166636,0.0,0.0,0.0001668049953877926,0.040933929005404934,0.16413538900087588,6.0,0.24939124496294032,2.5489556750696756,4.4138914745417424e-11,4.4138914745417424e-11,4.4138914745417424e-11,226304,4,
corridor,256,corridor_256,endpoints,fixed_B_goal_conditioned_event_options,terminal_goal,1,256,2,128.0,4,6,2,0.0,2,2,1,7.061200449243188e-05,0.14800567898782901,0.02562496703467332,0.0057167710037902,0.004015903017716482,0.00056627401500009,0.040933929005404934,0.17426753204199485,5.0,0.23489131065183563,1.5628861926691848,4.165201517025707e-11,4.165201517025707e-11,4.165201517025707e-11,226304,44,4.165201517025707e-11
corridor,256,corridor_256,endpoints,fixed_B_edge_reward_kernel,additive_sparse,5,256,2,128.0,2,510,2,0.0,0,0,0,7.061200449243188e-05,0.14800567898782901,3.890800871886313e-05,0.0,0.0,0.001352483028313145,0.6231896819663234,0.14946768202935345,2.0,4.169394169396012,447.88967686298764,0.29864639000300963,0.7188801570509349,9.127522259711446,3870720,40,
corridor,256,corridor_256,endpoints,fixed_B_edge_reward_kernel,additive_dense,5,256,2,128.0,2,510,2,0.0,0,0,0,7.061200449243188e-05,0.14800567898782901,4.493299638852477e-05,0.0,0.0,0.0013271929929032922,0.5781119699822739,0.14944841698161326,2.0,3.868304406686351,421.3257197180921,1.128798709029008,1.2861843768050443,4.717270375888946,3757056,40,
corridor,256,corridor_256,endpoints,fixed_B_event_hit_kernel,terminal_goal,5,256,2,128.0,2,10,2,0.0,0,0,0,7.061200449243188e-05,0.14800567898782901,0.07697729300707579,0.0,0.0,0.0010068249539472163,0.2302532150351908,0.22606040895334445,5.0,1.0185472816812946,2.952565484555111,4.3553427531151104e-11,9.526957001071423e-11,9.526957001071423e-11,1112064,20,
corridor,256,corridor_256,endpoints,fixed_B_goal_conditioned_event_options,terminal_goal,5,256,2,128.0,4,30,2,0.0,10,10,5,7.061200449243188e-05,0.14800567898782901,0.12140853705932386,0.024021213030209765,0.02041003102203831,0.0028941300115548074,0.2302532150351908,0.2723789580632001,6.0,0.8453414194416777,1.8523594099867386,4.29764668297139e-11,9.277556500819628e-11,9.277556500819628e-11,1112064,220,9.277556500819628e-11
corridor,256,corridor_256,endpoints,fixed_B_edge_reward_kernel,additive_sparse,10,256,2,128.0,2,510,2,0.0,0,0,0,7.061200449243188e-05,0.14800567898782901,7.879699114710093e-05,0.0,0.0,0.002580713073257357,1.2027849799778778,0.1507358010567259,2.0,7.979424738819929,452.25810425621256,0.8054030376951516,5.5989154118604425,21.29370022296213,7741440,80,
corridor,256,corridor_256,endpoints,fixed_B_edge_reward_kernel,additive_dense,10,256,2,128.0,2,510,2,0.0,0,0,0,7.061200449243188e-05,0.14800567898782901,7.971096783876419e-05,0.0,0.0,0.0023529940226580948,1.115540691971546,0.1505089959828183,2.0,7.411787479459986,458.5597909854686,1.2808589770319552,2.701291346257471,11.257613401289746,7516160,80,
corridor,256,corridor_256,endpoints,fixed_B_event_hit_kernel,terminal_goal,10,256,2,128.0,2,20,2,0.0,0,0,0,7.061200449243188e-05,0.14800567898782901,0.153277621982852,0.0,0.0,0.0019061319471802562,0.44953957505640574,0.3032600449223537,6.0,1.482356751518339,2.8968211147868597,4.290292565656273e-11,9.526957001071423e-11,9.526957001071423e-11,2319360,40,
corridor,256,corridor_256,endpoints,fixed_B_goal_conditioned_event_options,terminal_goal,10,256,2,128.0,4,60,2,0.0,20,20,10,7.061200449243188e-05,0.14800567898782901,0.24731115400209092,0.05163110702414997,0.04240242499508895,0.005776974983746186,0.44953957505640574,0.40116441997815855,9.0,1.120586853342779,1.7762175446860335,4.2300385416638164e-11,9.277556500819628e-11,9.277556500819628e-11,2319360,440,9.277556500819628e-11
corridor,256,corridor_256,endpoints,fixed_B_edge_reward_kernel,additive_sparse,25,256,2,128.0,2,510,2,0.0,0,0,0,7.061200449243188e-05,0.14800567898782901,0.00023764398065395653,0.0,0.0,0.006587925105122849,3.1564409310230985,0.15490186007809825,2.0,20.3770369796185,462.44362797536166,1.4021943799491325,21.99890516833341,26.748575517811762,19353600,200,
corridor,256,corridor_256,endpoints,fixed_B_edge_reward_kernel,additive_dense,25,256,2,128.0,2,510,2,0.0,0,0,0,7.061200449243188e-05,0.14800567898782901,0.00021038297563791275,0.0,0.0,0.006064506043912843,3.0517522720329,0.1543511800118722,2.0,19.771486501095545,486.3436249668344,1.59467880910748,11.235183760576469,14.446994583207701,18779136,200,
corridor,256,corridor_256,endpoints,fixed_B_event_hit_kernel,terminal_goal,25,256,2,128.0,2,50,2,0.0,0,0,0,7.061200449243188e-05,0.14800567898782901,0.37985195801593363,0.0,0.0,0.005019624950364232,1.1620341260568239,0.5329478739586193,5.0,2.180389833297374,3.019277539538636,4.528260433289688e-11,9.526957001071423e-11,9.526957001071423e-11,5876736,100,
corridor,256,corridor_256,endpoints,fixed_B_goal_conditioned_event_options,terminal_goal,25,256,2,128.0,4,150,2,0.0,50,50,25,7.061200449243188e-05,0.14800567898782901,0.6127394151408225,0.12649934305227362,0.10638811407261528,0.014835671987384558,1.1620341260568239,0.7756513781205285,17.0,1.4981397040414401,1.8516256459036786,4.4248906760913084e-11,9.277556500819628e-11,9.277556500819628e-11,5876736,1100,9.277556500819628e-11
corridor,256,corridor_256,endpoints,fixed_B_edge_reward_kernel,additive_sparse,50,256,2,128.0,2,510,2,0.0,0,0,0,7.061200449243188e-05,0.14800567898782901,0.0004554369661491364,0.0,0.0,0.012250482104718685,6.464465130993631,0.16078221006318927,2.0,40.206345767066026,508.77587799338187,3.3635020712539974,23.480153478518,28.549634636991346,38707200,400,
corridor,256,corridor_256,endpoints,fixed_B_edge_reward_kernel,additive_dense,50,256,2,128.0,2,510,2,0.0,0,0,0,7.061200449243188e-05,0.14800567898782901,0.00042638296145014465,0.0,0.0,0.011809858086053282,6.1169684189371765,0.16031253203982487,2.0,38.1565205234086,499.90584487424985,2.359194729615819,12.253458865630957,14.562931727682855,37553152,400,
corridor,256,corridor_256,endpoints,fixed_B_event_hit_kernel,terminal_goal,50,256,2,128.0,2,100,2,0.0,0,0,0,7.061200449243188e-05,0.14800567898782901,0.7707061380206142,0.0,0.0,0.0094092590152286,2.378027650032891,0.9281916880281642,5.0,2.5620005874915077,3.048302416627769,3.303441076241143e-11,1.0489031865290599e-10,1.0489031865290599e-10,12142592,200,
corridor,256,corridor_256,endpoints,fixed_B_goal_conditioned_event_options,terminal_goal,50,256,2,128.0,4,300,2,0.0,100,100,50,7.061200449243188e-05,0.14800567898782901,1.2105116791790351,0.2284127360326238,0.21139280512579717,0.027118719008285552,2.378027650032891,1.3857066891796421,29.0,1.7161118356444658,1.9214360389950331,3.273413540227921e-11,1.0241052450510324e-10,1.0241052450510324e-10,12142592,2200,1.0241052450510324e-10
corridor,256,corridor_256,endpoints,fixed_B_edge_reward_kernel,additive_sparse,100,256,2,128.0,2,510,2,0.0,0,0,0,7.061200449243188e-05,0.14800567898782901,0.0008574699750170112,0.0,0.0,0.023274771054275334,12.300378408981487,0.1722085320216138,2.0,71.42722990889716,509.7072581883699,3.153822259482526,25.891113405482006,28.549634636991346,77414400,800,
corridor,256,corridor_256,endpoints,fixed_B_edge_reward_kernel,additive_dense,100,256,2,128.0,2,510,2,0.0,0,0,0,7.061200449243188e-05,0.14800567898782901,0.0008927031885832548,0.0,0.0,0.023495143075706437,11.845960406091763,0.17246413725661114,2.0,68.68651416187492,485.7321256546301,2.274585647432136,13.537650399646633,14.562931727682855,75105280,800,
corridor,256,corridor_256,endpoints,fixed_B_event_hit_kernel,terminal_goal,100,256,2,128.0,2,200,2,0.0,0,0,0,7.061200449243188e-05,0.14800567898782901,1.4993709710543044,0.0,0.0,0.01738643305725418,4.628017993120011,1.66483369510388,5.0,2.779868047319428,3.051257887764111,3.456401387325059e-11,1.0824408036569366e-10,1.0824408036569366e-10,24160256,400,
corridor,256,corridor_256,endpoints,fixed_B_goal_conditioned_event_options,terminal_goal,100,256,2,128.0,4,600,2,0.0,200,200,100,7.061200449243188e-05,0.14800567898782901,2.340077287546592,0.4270522812148556,0.41365403527743183,0.051117499999236315,4.628017993120011,2.5392710785381496,55.0,1.8225773656999025,1.9354416533627181,3.427527595079027e-11,1.0574296993581811e-10,1.0574296993581811e-10,24160256,4400,1.0574296993581811e-10
corridor,256,corridor_256,turn_articulation,fixed_B_edge_reward_kernel,additive_sparse,1,256,2,128.0,2,510,2,0.0,0,0,0,0.004785851982887834,0.22652218100847676,5.673005944117904e-06,0.0,0.0,0.0003736229846253991,0.13342048600316048,0.23168732898193412,2.0,0.5758644056601127,351.75822924684275,0.105131079397175,0.105131079397175,2.323034236892612,774144,8,
corridor,256,corridor_256,turn_articulation,fixed_B_edge_reward_kernel,additive_dense,1,256,2,128.0,2,510,2,0.0,0,0,0,0.004785851982887834,0.22652218100847676,9.744020644575357e-06,0.0,0.0,0.0002732450084295124,0.1108269139949698,0.23159102202043869,3.0,0.47854581333981483,391.6297192070822,1.1210126965659544,1.1210126965659544,1.1210126965659544,747520,8,
corridor,256,corridor_256,turn_articulation,fixed_B_event_hit_kernel,terminal_goal,1,256,2,128.0,2,2,2,0.0,0,0,0,0.004785851982887834,0.22652218100847676,0.012264835007954389,0.0,0.0,0.00016138699720613658,0.043811765004647896,0.24373425499652512,8.0,0.17975218544997917,3.5257510276617596,4.4138914745417424e-11,4.4138914745417424e-11,4.4138914745417424e-11,226304,4,
corridor,256,corridor_256,turn_articulation,fixed_B_goal_conditioned_event_options,terminal_goal,1,256,2,128.0,4,6,2,0.0,2,2,1,0.004785851982887834,0.22652218100847676,0.021009799995226786,0.004632680007489398,0.0041122849797829986,0.0006971670081838965,0.043811765004647896,0.2530149999947753,6.0,0.17315876531254115,2.018327341528829,4.165201517025707e-11,4.165201517025707e-11,4.165201517025707e-11,226304,44,4.165201517025707e-11
corridor,256,corridor_256,turn_articulation,fixed_B_edge_reward_kernel,additive_sparse,5,256,2,128.0,2,510,2,0.0,0,0,0,0.004785851982887834,0.22652218100847676,3.939602174796164e-05,0.0,0.0,0.0014251589600462466,0.6308828630135395,0.2327725879731588,2.0,2.7102970693709305,430.76761941750567,0.29864639000300963,0.7188801570509349,9.127522259711446,3870720,40,
corridor,256,corridor_256,turn_articulation,fixed_B_edge_reward_kernel,additive_dense,5,256,2,128.0,2,510,2,0.0,0,0,0,0.004785851982887834,0.22652218100847676,5.327101098373532e-05,0.0,0.0,0.001280392985790968,0.5949589700030629,0.2326416969881393,2.0,2.5574047030502682,446.1085936501963,1.128798709029008,1.2861843768050443,4.717270375888946,3757056,40,
corridor,256,corridor_256,turn_articulation,fixed_B_event_hit_kernel,terminal_goal,5,256,2,128.0,2,10,2,0.0,0,0,0,0.004785851982887834,0.22652218100847676,0.07154798100236803,0.0,0.0,0.0008734079892747104,0.220491910004057,0.30372942198300734,8.0,0.7259484727047378,3.0445689191283147,4.3553427531151104e-11,9.526957001071423e-11,9.526957001071423e-11,1112064,20,
corridor,256,corridor_256,turn_articulation,fixed_B_goal_conditioned_event_options,terminal_goal,5,256,2,128.0,4,30,2,0.0,10,10,5,0.004785851982887834,0.22652218100847676,0.11389297997811809,0.022119934001239017,0.020225064974511042,0.0027664860244840384,0.220491910004057,0.34796749899396673,8.0,0.6336566220740059,1.8900473108555018,4.29764668297139e-11,9.277556500819628e-11,9.277556500819628e-11,1112064,220,9.277556500819628e-11
corridor,256,corridor_256,turn_articulation,fixed_B_edge_reward_kernel,additive_sparse,10,256,2,128.0,2,510,2,0.0,0,0,0,0.004785851982887834,0.22652218100847676,7.699604611843824e-05,0.0,0.0,0.0025856129941530526,1.2309941670391709,0.2339706420316361,2.0,5.261318925956203,462.3262929031645,0.8054030376951516,5.5989154118604425,21.29370022296213,7741440,80,
corridor,256,corridor_256,turn_articulation,fixed_B_edge_reward_kernel,additive_dense,10,256,2,128.0,2,510,2,0.0,0,0,0,0.004785851982887834,0.22652218100847676,0.00011033398914150894,0.0,0.0,0.0026300089375581592,1.1600422849878669,0.23404837591806427,2.0,4.956420998169946,423.32011577286926,1.2808589770319552,2.701291346257471,11.257613401289746,7516160,80,
corridor,256,corridor_256,turn_articulation,fixed_B_event_hit_kernel,terminal_goal,10,256,2,128.0,2,20,2,0.0,0,0,0,0.004785851982887834,0.22652218100847676,0.14780958599294536,0.0,0.0,0.0017227550270035863,0.4299756269901991,0.38084037401131354,9.0,1.129017972704296,2.8754691062640187,4.290292565656273e-11,9.526957001071423e-11,9.526957001071423e-11,2319360,40,
corridor,256,corridor_256,turn_articulation,fixed_B_goal_conditioned_event_options,terminal_goal,10,256,2,128.0,4,60,2,0.0,20,20,10,0.004785851982887834,0.22652218100847676,0.22492716496344656,0.04101055397768505,0.03610702499281615,0.004978465003659949,0.4299756269901991,0.4612136629584711,11.0,0.932269925032371,1.870226610160514,4.2300385416638164e-11,9.277556500819628e-11,9.277556500819628e-11,2319360,440,9.277556500819628e-11
corridor,256,corridor_256,turn_articulation,fixed_B_edge_reward_kernel,additive_sparse,25,256,2,128.0,2,510,2,0.0,0,0,0,0.004785851982887834,0.22652218100847676,0.0002400940575171262,0.0,0.0,0.0068554949830286205,2.9041930380044505,0.23840362203191034,2.0,12.181832697221873,409.2955526890378,1.4021943799491325,21.99890516833341,26.748575517811762,19353600,200,
corridor,256,corridor_256,turn_articulation,fixed_B_edge_reward_kernel,additive_dense,25,256,2,128.0,2,510,2,0.0,0,0,0,0.004785851982887834,0.22652218100847676,0.00026653893291950226,0.0,0.0,0.006661666906438768,2.803748414007714,0.23823623883072287,3.0,11.768773834613373,404.6860729916496,1.59467880910748,11.235183760576469,14.446994583207701,18779136,200,
