map_family,map_size,map,slip,method_spec,method,n_states,n_boundary,state_compression_ratio,full_iterations,exact_smdp_iterations,approximate_smdp_iterations,planning_iterations,truncation_steps,tail_tol,beta,option_restriction_bias,boundary_abstraction_bias,reward_kernel_residual,continuation_kernel_residual_l1,kernel_actual_gap,kernel_gap_bound,planning_residual,planning_actual_gap,planning_gap_bound,primitive_to_solved_gap,actual_triangle_bound,certified_total_bound,certificate_holds,normalized_primitive_to_solved_gap,normalized_certified_total_bound,start_primitive_value,start_solved_value,start_gap,value_scale,error,config_label
corridor,16,corridor_16,0.0,endpoints,endpoints,16,2,8.0,16,2,2,8,32,0.0,0.97,0.0,0.0,1.7763568394002505e-15,0.0,1.7763568394002505e-15,5.921189464667497e-14,0.0,0.0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,5.921189464667497e-14,True,1.4530573407062472e-16,4.84352446902082e-15,-12.224960362107018,-12.22496036210702,1.7763568394002505e-15,12.224960362107018,,fixed_k32_i8
open_room,9,open_room_9,0.0,endpoints,endpoints,81,2,40.5,17,2,2,8,32,0.0,0.97,0.0,0.0,1.7763568394002505e-15,0.0,1.7763568394002505e-15,5.921189464667497e-14,0.0,0.0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,5.921189464667497e-14,True,1.3814960442367423e-16,4.604986814122471e-15,-12.858211551243807,-12.858211551243809,1.7763568394002505e-15,12.858211551243807,,fixed_k32_i8
maze,11,maze_11,0.0,endpoints,endpoints,49,2,24.5,33,2,2,8,32,0.0,0.97,0.0,0.0,7.105427357601002e-15,0.0,7.105427357601002e-15,2.368475785866999e-13,0.0,0.0,0.0,7.105427357601002e-15,7.105427357601002e-15,2.368475785866999e-13,True,3.4232440267942716e-16,1.1410813422647563e-14,-20.756414973591422,-20.75641497359143,7.105427357601002e-15,20.756414973591422,,fixed_k32_i8
corridor,16,corridor_16,0.0,turn_articulation,turn_articulation,16,2,8.0,16,2,2,8,32,0.0,0.97,0.0,0.0,1.7763568394002505e-15,0.0,1.7763568394002505e-15,5.921189464667497e-14,0.0,0.0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,5.921189464667497e-14,True,1.4530573407062472e-16,4.84352446902082e-15,-12.224960362107018,-12.22496036210702,1.7763568394002505e-15,12.224960362107018,,fixed_k32_i8
open_room,9,open_room_9,0.0,turn_articulation,turn_articulation,81,4,20.25,17,3,3,8,32,0.0,0.97,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,True,1.3814960442367423e-16,1.3814960442367423e-16,-12.858211551243807,-12.858211551243809,1.7763568394002505e-15,12.858211551243807,,fixed_k32_i8
maze,11,maze_11,0.0,turn_articulation,turn_articulation,49,15,3.2666666666666666,33,17,17,8,32,0.0,0.97,0.0,3.552713678800501e-15,0.0,0.0,0.0,0.0,1.2100796973214916,7.898203422347608,40.33598991071635,7.898203422347612,7.898203422347612,40.33598991071635,True,0.3805186701266364,1.9433023459029992,-20.756414973591422,-12.85821155124381,7.898203422347612,20.756414973591422,,fixed_k32_i8
corridor,16,corridor_16,0.0,graph_rd_surrogate_joint,graph_rd_surrogate_joint,16,2,8.0,16,2,2,8,32,0.0,0.97,0.0,0.0,1.7763568394002505e-15,0.0,1.7763568394002505e-15,5.921189464667497e-14,0.0,0.0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,5.921189464667497e-14,True,1.4530573407062472e-16,4.84352446902082e-15,-12.224960362107018,-12.22496036210702,1.7763568394002505e-15,12.224960362107018,,fixed_k32_i8
open_room,9,open_room_9,0.0,graph_rd_surrogate_joint,graph_rd_surrogate_joint,81,2,40.5,17,2,2,8,32,0.0,0.97,0.0,0.0,1.7763568394002505e-15,0.0,1.7763568394002505e-15,5.921189464667497e-14,0.0,0.0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,5.921189464667497e-14,True,1.3814960442367423e-16,4.604986814122471e-15,-12.858211551243807,-12.858211551243809,1.7763568394002505e-15,12.858211551243807,,fixed_k32_i8
maze,11,maze_11,0.0,graph_rd_surrogate_joint,graph_rd_surrogate_joint,49,12,4.083333333333333,33,17,17,8,32,0.0,0.97,0.0,3.552713678800501e-15,0.0,0.0,0.0,0.0,1.2100796973214916,7.898203422347608,40.33598991071635,7.898203422347612,7.898203422347612,40.33598991071635,True,0.3805186701266364,1.9433023459029992,-20.756414973591422,-12.85821155124381,7.898203422347612,20.756414973591422,,fixed_k32_i8
corridor,16,corridor_16,0.05,endpoints,endpoints,16,2,8.0,36,11,11,8,32,0.0,0.97,3.552713678800501e-15,3.711164708875003e-11,2.561506562415161e-10,1.7572499011464515e-10,2.737099435989876e-10,8.395367723854181e-08,3.454951880144108e-09,3.6907987777112794e-09,1.1516506267147017e-07,3.927393521507838e-09,4.001623921112696e-09,1.9915585510981442e-07,True,3.050402178006442e-10,1.5468413105607882e-08,-12.875002351573668,-12.875002347646275,3.927393521507838e-09,12.875002351573668,,fixed_k32_i8
