option,src_state,src_coord,target_state,target_coord,primitive_distance,within_horizon,edge_valid,visible_mass,hidden_mass,hidden_gamma_mass,hidden_argmax_state,hidden_argmax_coord,hidden_argmax_prob,soft_cost,soft_argmax_state,soft_argmax_coord,soft_argmax_score,reward,map,slip,step
fb_001_to_000,10,"(1, 11)",0,"(1, 1)",10.0,True,True,1.0,0.0,0.0,,,0.0,0.97,9,"(1, 10)",0.97,-8.752529103502392,corridor,0.0,0
fb_000_to_001,0,"(1, 1)",10,"(1, 11)",10.0,True,True,1.0,0.0,0.0,,,0.0,0.7602310586545651,9,"(1, 10)",0.7602310586545651,-8.75252910350239,corridor,0.0,0
fb_001_to_000,10,"(1, 11)",0,"(1, 1)",10.0,True,True,0.999999999999999,0.0,0.0,,,0.0,1.0342918231950553,9,"(1, 10)",1.0342918231950553,-9.255363868888725,corridor,0.05,0
fb_000_to_001,0,"(1, 1)",10,"(1, 11)",10.0,True,True,0.9999999999999989,0.0,0.0,,,0.0,0.7838731241815932,9,"(1, 10)",0.7838731241815932,-9.255363868888725,corridor,0.05,0
fb_001_to_000,34,"(5, 7)",0,"(1, 1)",10.0,True,True,1.0,0.0,0.0,,,0.0,0.97,27,"(4, 7)",0.97,-8.75252910350239,open_room,0.0,0
fb_000_to_001,0,"(1, 1)",34,"(5, 7)",10.0,True,True,1.0,0.0,0.0,,,0.0,1.5204621173091302,32,"(5, 5)",0.7602310586545651,-8.75252910350239,open_room,0.0,0
fb_001_to_000,34,"(5, 7)",0,"(1, 1)",10.0,True,True,1.0,0.0,0.0,,,0.0,0.018126511590962843,33,"(5, 6)",0.017814097830386316,-9.268811904277364,open_room,0.05,0
fb_000_to_001,0,"(1, 1)",34,"(5, 7)",10.0,True,True,1.0,0.0,0.0,,,0.0,3.337033911680864,30,"(5, 3)",0.8796588346772263,-9.268811904277364,open_room,0.05,0
fb_001_to_000,50,"(5, 11)",0,"(1, 1)",14.0,True,False,0.0,1.0,0.8329720049289999,26,"(3, 7)",1.0,1.2329439104767141,40,"(4, 11)",0.6352433976385771,-5.567599835699999,four_rooms,0.0,0
fb_000_to_001,0,"(1, 1)",50,"(5, 11)",14.0,True,False,0.0,1.0,0.8329720049289999,24,"(3, 5)",1.0,0.0,,,0.0,-5.567599835699999,four_rooms,0.0,0
fb_001_to_000,26,"(3, 7)",0,"(1, 1)",8.0,True,False,0.0,1.0,0.9409,24,"(3, 5)",1.0,0.0,,,0.0,-1.97,four_rooms,0.0,1
fb_002_to_000,50,"(5, 11)",0,"(1, 1)",14.0,True,True,1.0,0.0,0.0,24,"(3, 5)",0.0,1.2329439104767141,40,"(4, 11)",0.6352433976385771,-5.567599835699999,four_rooms,0.0,1
