option,src_state,src_coord,target_state,target_coord,primitive_distance,within_horizon,edge_valid,visible_mass,hidden_mass,hidden_gamma_mass,hidden_argmax_state,hidden_argmax_coord,hidden_argmax_prob,soft_cost,soft_argmax_state,soft_argmax_coord,soft_argmax_score,reward,map,slip,step
fb_001_to_000,10,"(1, 11)",0,"(1, 1)",10.0,True,True,1.0,0.0,0.0,,,0.0,0.97,9,"(1, 10)",0.97,-8.752529103502392,corridor,0.0,0
fb_000_to_001,0,"(1, 1)",10,"(1, 11)",10.0,True,True,1.0,0.0,0.0,,,0.0,0.7602310586545651,9,"(1, 10)",0.7602310586545651,-8.75252910350239,corridor,0.0,0
fb_001_to_000,10,"(1, 11)",0,"(1, 1)",10.0,True,True,0.999999999999999,0.0,0.0,,,0.0,1.0342918231950553,9,"(1, 10)",1.0342918231950553,-9.255363868888725,corridor,0.05,0
fb_000_to_001,0,"(1, 1)",10,"(1, 11)",10.0,True,True,0.9999999999999989,0.0,0.0,,,0.0,0.7838731241815932,9,"(1, 10)",0.7838731241815932,-9.255363868888725,corridor,0.05,0
fb_001_to_000,34,"(5, 7)",0,"(1, 1)",10.0,True,False,0.0,1.0,0.8852928099999999,6,"(1, 7)",1.0,0.97,27,"(4, 7)",0.97,-3.8235729999999997,open_room,0.0,0
fb_000_to_001,0,"(1, 1)",34,"(5, 7)",10.0,True,False,0.0,1.0,0.8852928099999999,28,"(5, 1)",1.0,0.0,,,0.0,-3.8235729999999997,open_room,0.0,0
fb_001_to_000,6,"(1, 7)",0,"(1, 1)",6.0,True,True,1.0,0.0,0.0,28,"(5, 1)",0.0,0.0,,,0.0,-5.567599835699999,open_room,0.0,1
fb_002_to_000,34,"(5, 7)",0,"(1, 1)",10.0,True,True,1.0,0.0,0.0,28,"(5, 1)",0.0,0.97,27,"(4, 7)",0.97,-3.8235729999999997,open_room,0.0,1
fb_000_to_001,0,"(1, 1)",6,"(1, 7)",6.0,True,True,1.0,0.0,0.0,28,"(5, 1)",0.0,0.0,,,0.0,-5.567599835699999,open_room,0.0,1
fb_002_to_001,34,"(5, 7)",6,"(1, 7)",4.0,True,True,1.0,0.0,0.0,28,"(5, 1)",0.0,0.97,27,"(4, 7)",0.97,-3.8235729999999997,open_room,0.0,1
fb_000_to_002,0,"(1, 1)",34,"(5, 7)",10.0,True,False,0.0,1.0,0.8852928099999999,28,"(5, 1)",1.0,0.0,,,0.0,-3.8235729999999997,open_room,0.0,1
fb_001_to_002,6,"(1, 7)",34,"(5, 7)",4.0,True,True,1.0,0.0,0.0,28,"(5, 1)",0.0,0.912673,27,"(4, 7)",0.912673,-3.823573,open_room,0.0,1
fb_001_to_000,6,"(1, 7)",0,"(1, 1)",6.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,-5.567599835699999,open_room,0.0,2
