map,slip,gamma,candidate_kind,candidate_top_fraction,soft_kind,soft_top_fraction,local_horizon,hidden_threshold,soft_threshold,soft_cost_weight,n_states,n_boundary,n_candidate_boundary,n_pair_options,n_edges_valid,invalid_hidden_count,hidden_mass_total,hidden_mass_max,soft_cost_all_total,soft_cost_valid_total,soft_cost_max,soft_over_threshold_count,feasible,start_value_smdp,start_value_primitive,start_gap,value_gap_max,start_best_option,policy_tv_total,policy_regions_total,policy_tv_mean,policy_regions_mean,target_policy_tv_total,target_policy_regions_total,target_policy_tv_mean,target_policy_regions_mean,hard_split_candidate_state,hard_split_candidate_coord,hard_split_candidate_score,soft_split_candidate_state,soft_split_candidate_coord,soft_split_candidate_score,description_length_proxy,step,split_candidate_state,split_candidate_score,split_candidate_source,split_candidate_coord,stop_reason
corridor,0.0,0.97,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,11,2,2,2,2,0,0.0,0.0,1.730231058654565,1.730231058654565,0.97,2,True,-8.75252910350239,-8.75252910350239,0.0,0.0,fb_000_to_001,4.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,,,0.0,9,"(1, 10)",1.730231058654565,9.630231058654564,0,,0.0,none,,hybrid_threshold
corridor,0.05,0.97,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,11,2,2,2,2,0,0.0,0.0,1.8181649473766486,1.8181649473766486,1.0342918231950553,2,True,-9.255363868888725,-9.255363868876513,1.2212453270876722e-11,1.2212453270876722e-11,fb_000_to_001,3.933333333333333,4.0,1.9666666666666666,2.0,3.933333333333333,4.0,1.9666666666666666,2.0,,,0.0,9,"(1, 10)",1.8181649473766486,9.704831614043314,0,,0.0,none,,hybrid_threshold
open_room,0.0,0.97,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,35,2,4,2,0,2,2.0,1.0,0.97,0.0,0.97,0,False,nan,-8.75252910350239,inf,inf,INFEASIBLE,30.0,5.0,15.0,2.5,30.0,5.0,15.0,2.5,6,"(1, 7)",1.0,,,0.0,12.6,0,6,1.0,hard_hidden,"(1, 7)",continue
open_room,0.0,0.97,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,35,3,4,6,5,1,1.0,1.0,2.852673,2.852673,0.97,3,True,-8.75252910350239,-8.75252910350239,0.0,4.440892098500626e-16,fb_000_to_001,88.0,14.0,14.666666666666666,2.3333333333333335,44.0,7.0,14.666666666666666,2.3333333333333335,28,"(5, 1)",1.0,27,"(4, 7)",2.852673,26.11933966666667,1,28,1.0,hard_hidden,"(5, 1)",continue
open_room,0.0,0.97,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,35,4,4,12,12,0,0.0,0.0,7.3654870514,7.3654870514,1.882673,6,True,-8.75252910350239,-8.75252910350239,0.0,8.881784197001252e-16,fb_000_to_001,180.0,30.0,15.0,2.5,60.0,10.0,15.0,2.5,,,0.0,27,"(4, 7)",3.7653459999999996,43.965487051400004,2,,0.0,none,,hybrid_threshold
open_room,0.05,0.97,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,35,2,4,2,0,2,1.8716729237761336,0.9358364618880669,0.2326709342536891,0.0,0.21454469208296828,0,False,nan,-9.19001272578314,inf,inf,INFEASIBLE,28.4,5.0,14.2,2.5,28.4,5.0,14.2,2.5,6,"(1, 7)",0.935836461453894,,,0.0,12.28,0,6,0.935836461453894,hard_hidden,"(1, 7)",continue
open_room,0.05,0.97,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,35,3,4,6,5,1,0.9358365698948313,0.9358364614538938,0.3126208103286152,0.09807611824564694,0.21454469208296828,3,True,-9.37297598406542,-9.19001272578314,0.18296325828228,0.18296325828228,fb_000_to_001,83.33333333333331,14.0,13.888888888888886,2.3333333333333335,41.666666666666664,7.0,13.888888888888888,2.3333333333333335,28,"(5, 1)",0.9358364614538938,33,"(5, 6)",0.09391024296754673,22.89807611824565,1,28,0.9358364614538938,hard_hidden,"(5, 1)",continue
open_room,0.05,0.97,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,35,4,4,12,12,0,0.0,0.0,8.262773871573184,8.262773871573184,3.934571969055182,10,True,-9.268811904277356,-9.19001272578314,0.0787991784942168,0.0787991784942168,fb_000_to_003,170.39999999999998,30.0,14.199999999999998,2.5,56.8,10.0,14.2,2.5,,,0.0,33,"(5, 6)",1.127038809592416,44.22277387157318,2,,0.0,none,,hybrid_threshold
four_rooms,0.0,0.97,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,51,2,10,2,0,2,2.0,1.0,1.2329439104767141,0.0,1.2329439104767141,0,False,nan,-11.57212408464641,inf,inf,INFEASIBLE,66.0,11.0,33.0,5.5,66.0,11.0,33.0,5.5,26,"(3, 7)",1.0,,,0.0,22.8,0,26,1.0,hard_hidden,"(3, 7)",continue
four_rooms,0.0,0.97,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,51,3,10,6,2,4,4.0,1.0,2.4658878209534283,2.4658878209534283,1.2329439104767141,2,False,nan,-11.57212408464641,inf,inf,INFEASIBLE,216.0,34.0,36.0,5.666666666666667,108.0,17.0,36.0,5.666666666666667,24,"(3, 5)",3.0,40,"(4, 11)",1.2704867952771541,42.5325544876201,1,24,3.0,hard_hidden,"(3, 5)",continue
