option,src_state,src_coord,target_state,target_coord,primitive_distance,within_horizon,edge_valid,visible_mass,hidden_mass,hidden_gamma_mass,hidden_argmax_state,hidden_argmax_coord,hidden_argmax_prob,reward,map,slip,step
fb_001_to_000,10,"(1, 11)",0,"(1, 1)",10.0,True,True,1.0,0.0,0.0,,,0.0,-8.752529103502392,corridor,0.0,0
fb_000_to_001,0,"(1, 1)",10,"(1, 11)",10.0,True,True,1.0,0.0,0.0,,,0.0,-8.75252910350239,corridor,0.0,0
fb_001_to_000,10,"(1, 11)",0,"(1, 1)",10.0,True,True,0.999999999999999,0.0,0.0,,,0.0,-9.255363868888725,corridor,0.05,0
fb_000_to_001,0,"(1, 1)",10,"(1, 11)",10.0,True,True,0.9999999999999989,0.0,0.0,,,0.0,-9.255363868888725,corridor,0.05,0
fb_001_to_000,34,"(5, 7)",0,"(1, 1)",10.0,True,False,0.0,1.0,0.8079828447811299,3,"(1, 4)",1.0,-6.4005718406289995,open_room,0.0,0
fb_000_to_001,0,"(1, 1)",34,"(5, 7)",10.0,True,False,0.0,1.0,0.8329720049289999,30,"(5, 3)",1.0,-5.5675998357,open_room,0.0,0
fb_001_to_000,3,"(1, 4)",0,"(1, 1)",3.0,True,False,0.0,1.0,0.97,2,"(1, 3)",1.0,-1.0,open_room,0.0,1
fb_002_to_000,34,"(5, 7)",0,"(1, 1)",10.0,True,True,1.0,0.0,0.0,2,"(1, 3)",0.0,-6.4005718406289995,open_room,0.0,1
fb_000_to_001,0,"(1, 1)",3,"(1, 4)",3.0,True,False,0.0,1.0,0.9409,2,"(1, 3)",1.0,-1.97,open_room,0.0,1
fb_002_to_001,34,"(5, 7)",3,"(1, 4)",7.0,True,True,1.0,0.0,0.0,2,"(1, 3)",0.0,-6.4005718406289995,open_room,0.0,1
fb_000_to_002,0,"(1, 1)",34,"(5, 7)",10.0,True,False,0.0,1.0,0.8329720049289999,30,"(5, 3)",1.0,-5.5675998357,open_room,0.0,1
fb_001_to_002,3,"(1, 4)",34,"(5, 7)",7.0,True,False,0.0,1.0,0.8852928099999999,31,"(5, 4)",1.0,-3.823573,open_room,0.0,1
fb_001_to_000,2,"(1, 3)",0,"(1, 1)",2.0,True,True,1.0,0.0,0.0,30,"(5, 3)",0.0,-1.97,open_room,0.0,2
fb_002_to_000,3,"(1, 4)",0,"(1, 1)",3.0,True,True,1.0,0.0,0.0,30,"(5, 3)",0.0,-1.0,open_room,0.0,2
fb_003_to_000,34,"(5, 7)",0,"(1, 1)",10.0,True,True,1.0,0.0,0.0,30,"(5, 3)",0.0,-6.4005718406289995,open_room,0.0,2
fb_000_to_001,0,"(1, 1)",2,"(1, 3)",2.0,True,True,1.0,0.0,0.0,30,"(5, 3)",0.0,-1.97,open_room,0.0,2
fb_002_to_001,3,"(1, 4)",2,"(1, 3)",1.0,True,True,1.0,0.0,0.0,30,"(5, 3)",0.0,-1.0,open_room,0.0,2
fb_003_to_001,34,"(5, 7)",2,"(1, 3)",8.0,True,True,1.0,0.0,0.0,30,"(5, 3)",0.0,-6.4005718406289995,open_room,0.0,2
fb_000_to_002,0,"(1, 1)",3,"(1, 4)",3.0,True,True,1.0,0.0,0.0,30,"(5, 3)",0.0,-1.97,open_room,0.0,2
fb_001_to_002,2,"(1, 3)",3,"(1, 4)",1.0,True,True,1.0,0.0,0.0,30,"(5, 3)",0.0,-1.0,open_room,0.0,2
fb_003_to_002,34,"(5, 7)",3,"(1, 4)",7.0,True,True,1.0,0.0,0.0,30,"(5, 3)",0.0,-6.4005718406289995,open_room,0.0,2
