map,slip,gamma,candidate_kind,candidate_top_fraction,local_horizon,hidden_threshold,n_states,n_boundary,n_candidate_boundary,n_pair_options,n_edges_valid,invalid_hidden_count,hidden_mass_total,hidden_mass_max,feasible,start_value_smdp,start_value_primitive,start_gap,value_gap_max,start_best_option,policy_tv_total,policy_regions_total,policy_tv_mean,policy_regions_mean,target_policy_tv_total,target_policy_regions_total,split_candidate_state,split_candidate_coord,split_candidate_score,description_length_proxy,step,stop_reason
corridor,0.0,0.97,turn_articulation,0.15,999.0,1e-06,11,2,2,2,2,0,0.0,0.0,True,-8.75252910350239,-8.75252910350239,0.0,0.0,fb_000_to_001,4.0,4.0,2.0,2.0,4.0,4.0,,,0.0,7.8999999999999995,0,hidden_threshold
corridor,0.05,0.97,turn_articulation,0.15,999.0,1e-06,11,2,2,2,2,0,0.0,0.0,True,-9.255363868888725,-9.255363868876513,1.2212453270876722e-11,1.2212453270876722e-11,fb_000_to_001,3.933333333333333,4.0,1.9666666666666666,2.0,3.933333333333333,4.0,,,0.0,7.886666666666667,0,hidden_threshold
open_room,0.0,0.97,turn_articulation,0.15,999.0,1e-06,35,2,4,2,0,2,2.0,1.0,False,nan,-8.75252910350239,inf,inf,INFEASIBLE,30.0,5.0,15.0,2.5,30.0,5.0,6,"(1, 7)",1.0,12.6,0,continue
open_room,0.0,0.97,turn_articulation,0.15,999.0,1e-06,35,3,4,6,5,1,1.0,1.0,True,-8.75252910350239,-8.75252910350239,0.0,4.440892098500626e-16,fb_000_to_001,88.0,14.0,14.666666666666666,2.3333333333333335,44.0,7.0,28,"(5, 1)",1.0,35.56666666666667,1,continue
open_room,0.0,0.97,turn_articulation,0.15,999.0,1e-06,35,4,4,12,12,0,0.0,0.0,True,-8.75252910350239,-8.75252910350239,0.0,8.881784197001252e-16,fb_000_to_001,180.0,30.0,15.0,2.5,60.0,10.0,,,0.0,70.6,2,hidden_threshold
open_room,0.05,0.97,turn_articulation,0.15,999.0,1e-06,35,2,4,2,0,2,1.8716729237761336,0.9358364618880669,False,nan,-9.19001272578314,inf,inf,INFEASIBLE,28.4,5.0,14.2,2.5,28.4,5.0,6,"(1, 7)",0.935836461453894,12.28,0,continue
open_room,0.05,0.97,turn_articulation,0.15,999.0,1e-06,35,3,4,6,5,1,0.9358365698948313,0.9358364614538938,True,-9.37297598406542,-9.19001272578314,0.18296325828228,0.18296325828228,fb_000_to_001,83.33333333333331,14.0,13.888888888888886,2.3333333333333335,41.666666666666664,7.0,28,"(5, 1)",0.9358364614538938,34.63333333333333,1,continue
open_room,0.05,0.97,turn_articulation,0.15,999.0,1e-06,35,4,4,12,12,0,0.0,0.0,True,-9.268811904277356,-9.19001272578314,0.0787991784942168,0.0787991784942168,fb_000_to_003,170.39999999999998,30.0,14.199999999999998,2.5,56.8,10.0,,,0.0,68.68,2,hidden_threshold
four_rooms,0.0,0.97,turn_articulation,0.15,999.0,1e-06,51,2,10,2,0,2,2.0,1.0,False,nan,-11.57212408464641,inf,inf,INFEASIBLE,66.0,11.0,33.0,5.5,66.0,11.0,26,"(3, 7)",1.0,22.8,0,continue
four_rooms,0.0,0.97,turn_articulation,0.15,999.0,1e-06,51,3,10,6,2,4,4.0,1.0,False,nan,-11.57212408464641,inf,inf,INFEASIBLE,216.0,34.0,36.0,5.666666666666667,108.0,17.0,24,"(3, 5)",3.0,70.16666666666667,1,continue
four_rooms,0.0,0.97,turn_articulation,0.15,999.0,1e-06,51,4,10,12,10,2,2.0,1.0,True,-33.333333331998375,-11.57212408464641,21.761209247351964,27.76573349612541,fb_000_to_001,450.0,69.0,37.5,5.75,150.0,23.0,4,"(1, 5)",1.0,143.6,2,continue
four_rooms,0.0,0.97,turn_articulation,0.15,999.0,1e-06,51,5,10,20,19,1,1.0,1.0,True,-33.333333331914524,-11.57212408464641,21.761209247268113,27.76573349612541,fb_000_to_001,728.0,112.0,36.4,5.6,182.0,28.0,46,"(5, 7)",1.0,231.4,3,continue
four_rooms,0.0,0.97,turn_articulation,0.15,999.0,1e-06,51,6,10,30,30,0,0.0,0.0,True,-11.572124084646411,-11.57212408464641,1.7763568394002505e-15,1.7763568394002505e-15,fb_000_to_001,1080.0,170.0,36.0,5.666666666666667,216.0,34.0,,,0.0,343.5,4,hidden_threshold
four_rooms,0.05,0.97,turn_articulation,0.15,999.0,1e-06,51,2,10,2,0,2,1.9999999999999996,0.9999999999999998,False,nan,-12.185911752175528,inf,inf,INFEASIBLE,62.0,11.0,31.0,5.5,62.0,11.0,26,"(3, 7)",0.9996759388772498,22.0,0,continue
four_rooms,0.05,0.97,turn_articulation,0.15,999.0,1e-06,51,3,10,6,0,6,3.967377436479203,0.9999999999999998,False,nan,-12.185911752175528,inf,inf,INFEASIBLE,203.20000000000002,34.0,33.86666666666667,5.666666666666667,101.60000000000001,17.0,24,"(3, 5)",2.9987463834890775,66.94000000000001,1,continue
four_rooms,0.05,0.97,turn_articulation,0.15,999.0,1e-06,51,4,10,12,0,12,1.9372207115907578,0.9664271847097837,False,nan,-12.185911752175528,inf,inf,INFEASIBLE,423.6000000000001,69.0,35.300000000000004,5.75,141.20000000000002,23.0,46,"(5, 7)",0.9667353185168863,135.82000000000002,2,continue
four_rooms,0.05,0.97,turn_articulation,0.15,999.0,1e-06,51,5,10,20,5,15,0.9716820954733261,0.9664271847097834,False,nan,-12.185911752175528,inf,inf,INFEASIBLE,692.5333333333331,116.0,34.62666666666665,5.8,173.13333333333335,29.0,4,"(1, 5)",0.9661298250649621,223.50666666666663,3,continue
four_rooms,0.05,0.97,turn_articulation,0.15,999.0,1e-06,51,6,10,30,12,18,0.0055177719750273534,0.0003136136738921069,False,nan,-12.185911752175528,inf,inf,INFEASIBLE,1015.9999999999998,170.0,33.86666666666666,5.666666666666667,203.20000000000002,34.0,45,"(5, 5)",0.001502958276092633,327.69999999999993,4,continue
four_rooms,0.05,0.97,turn_articulation,0.15,999.0,1e-06,51,7,10,42,24,18,0.9404315610773484,0.9358364543126256,False,nan,-12.185911752175528,inf,inf,INFEASIBLE,1410.8000000000002,240.0,33.590476190476195,5.714285714285714,235.13333333333335,40.0,41,"(5, 1)",0.9370552308468844,456.68857142857144,5,continue
four_rooms,0.05,0.97,turn_articulation,0.15,999.0,1e-06,51,8,10,56,43,13,0.003992288569492123,0.00031361367389210674,False,nan,-12.185911752175528,inf,inf,INFEASIBLE,1869.4666666666667,322.0,33.38333333333333,5.75,267.06666666666666,46.0,5,"(1, 7)",0.0021084517280163593,607.0683333333334,6,continue
four_rooms,0.05,0.97,turn_articulation,0.15,999.0,1e-06,51,9,10,72,63,9,0.9376627287576728,0.9358364543126255,True,-12.301146055006138,-12.185911752175528,0.11523430283060954,0.11523430283060954,fb_000_to_002,2377.0666666666666,408.0,33.01481481481481,5.666666666666667,297.1333333333334,51.0,9,"(1, 11)",0.9376617713637028,771.0133333333333,7,continue
four_rooms,0.05,0.97,turn_articulation,0.15,999.0,1e-06,51,10,10,90,90,0,0.0,0.0,True,-12.301146070268926,-12.185911752175528,0.1152343180933979,0.1152343180933979,fb_000_to_002,2944.8,504.0,32.72,5.6,327.20000000000005,56.0,,,0.0,954.46,8,hidden_threshold
maze,0.0,0.97,turn_articulation,0.15,999.0,1e-06,81,2,30,2,0,2,2.0,1.0,False,nan,-22.199077937496824,inf,inf,INFEASIBLE,134.0,65.0,67.0,32.5,134.0,65.0,57,"(5, 19)",1.0,63.4,0,continue
maze,0.0,0.97,turn_articulation,0.15,999.0,1e-06,81,3,30,6,3,3,3.0,1.0,False,nan,-22.199077937496824,inf,inf,INFEASIBLE,400.0,194.0,66.66666666666667,32.333333333333336,200.0,97.0,55,"(5, 17)",1.0,187.3,1,continue
maze,0.0,0.97,turn_articulation,0.15,999.0,1e-06,81,4,30,12,8,4,4.0,1.0,False,nan,-22.199077937496824,inf,inf,INFEASIBLE,804.0,390.0,67.0,32.5,268.0,130.0,4,"(1, 5)",2.0,374.4,2,continue
maze,0.0,0.97,turn_articulation,0.15,999.0,1e-06,81,5,30,20,14,6,6.0,1.0,True,-33.333333332561786,-22.199077937496824,11.134255395064962,12.576918358970364,fb_000_to_001,1336.0,648.0,66.8,32.4,334.0,162.0,26,"(3, 5)",3.0,620.0,3,continue
maze,0.0,0.97,turn_articulation,0.15,999.0,1e-06,81,6,30,30,23,7,7.0,1.0,True,-33.333333331914524,-22.199077937496824,11.1342553944177,13.366902283264007,fb_000_to_001,2010.0,975.0,67.0,32.5,402.0,195.0,35,"(3, 17)",3.0,930.8333333333333,4,continue
maze,0.0,0.97,turn_articulation,0.15,999.0,1e-06,81,7,30,42,34,8,8.0,1.0,True,-33.333333331914524,-22.199077937496824,11.1342553944177,13.366902283264007,fb_000_to_001,2808.0,1362.0,66.85714285714286,32.42857142857143,468.0,227.0,28,"(3, 7)",4.0,1298.557142857143,5,continue
maze,0.0,0.97,turn_articulation,0.15,999.0,1e-06,81,8,30,56,47,9,9.0,1.0,True,-33.333333331914524,-22.199077937496824,11.1342553944177,14.206506837446195,fb_000_to_001,3752.0,1820.0,67.0,32.5,536.0,260.0,37,"(3, 19)",4.0,1733.075,6,continue
maze,0.0,0.97,turn_articulation,0.15,999.0,1e-06,81,9,30,72,62,10,10.0,1.0,True,-33.333333331914524,-22.199077937496824,11.1342553944177,14.206506837446195,fb_000_to_001,4832.0,2344.0,67.11111111111111,32.55555555555556,604.0,293.0,5,"(1, 7)",5.0,2229.8888888888887,7,continue
