option,src_state,src_coord,target_state,target_coord,primitive_distance,within_horizon,edge_valid,visible_mass,hidden_mass,hidden_gamma_mass,hidden_argmax_state,hidden_argmax_coord,hidden_argmax_prob,reward,map,slip,step
fb_001_to_000,80,"(7, 19)",0,"(1, 1)",36.0,True,False,0.0,1.0,0.9409,57,"(5, 19)",1.0,-1.97,maze,0.0,0
fb_000_to_001,0,"(1, 1)",80,"(7, 19)",36.0,True,False,0.0,1.0,0.9409,23,"(3, 1)",1.0,-1.97,maze,0.0,0
fb_001_to_000,57,"(5, 19)",0,"(1, 1)",34.0,True,False,0.0,1.0,0.9409,55,"(5, 17)",1.0,-1.97,maze,0.0,1
fb_002_to_000,80,"(7, 19)",0,"(1, 1)",36.0,True,True,1.0,0.0,0.0,4,"(1, 5)",0.0,-1.97,maze,0.0,1
fb_000_to_001,0,"(1, 1)",57,"(5, 19)",34.0,True,False,0.0,1.0,0.8852928099999999,4,"(1, 5)",1.0,-3.823573,maze,0.0,1
fb_002_to_001,80,"(7, 19)",57,"(5, 19)",2.0,True,True,1.0,0.0,0.0,4,"(1, 5)",0.0,-1.97,maze,0.0,1
fb_000_to_002,0,"(1, 1)",80,"(7, 19)",36.0,True,False,0.0,1.0,0.9409,23,"(3, 1)",1.0,-1.97,maze,0.0,1
fb_001_to_002,57,"(5, 19)",80,"(7, 19)",2.0,True,True,1.0,0.0,0.0,4,"(1, 5)",0.0,-1.97,maze,0.0,1
fb_001_to_000,55,"(5, 17)",0,"(1, 1)",32.0,True,False,0.0,1.0,0.9409,35,"(3, 17)",1.0,-1.97,maze,0.0,2
fb_002_to_000,57,"(5, 19)",0,"(1, 1)",34.0,True,True,1.0,0.0,0.0,4,"(1, 5)",0.0,-1.97,maze,0.0,2
fb_003_to_000,80,"(7, 19)",0,"(1, 1)",36.0,True,True,1.0,0.0,0.0,4,"(1, 5)",0.0,-1.97,maze,0.0,2
fb_000_to_001,0,"(1, 1)",55,"(5, 17)",32.0,True,False,0.0,1.0,0.8852928099999999,4,"(1, 5)",1.0,-3.823573,maze,0.0,2
fb_002_to_001,57,"(5, 19)",55,"(5, 17)",2.0,True,True,1.0,0.0,0.0,4,"(1, 5)",0.0,-1.97,maze,0.0,2
fb_003_to_001,80,"(7, 19)",55,"(5, 17)",4.0,True,True,1.0,0.0,0.0,4,"(1, 5)",0.0,-1.97,maze,0.0,2
fb_000_to_002,0,"(1, 1)",57,"(5, 19)",34.0,True,False,0.0,1.0,0.8852928099999999,4,"(1, 5)",1.0,-3.823573,maze,0.0,2
fb_001_to_002,55,"(5, 17)",57,"(5, 19)",2.0,True,True,1.0,0.0,0.0,4,"(1, 5)",0.0,-1.97,maze,0.0,2
fb_003_to_002,80,"(7, 19)",57,"(5, 19)",2.0,True,True,1.0,0.0,0.0,4,"(1, 5)",0.0,-1.97,maze,0.0,2
fb_000_to_003,0,"(1, 1)",80,"(7, 19)",36.0,True,False,0.0,1.0,0.9409,23,"(3, 1)",1.0,-1.97,maze,0.0,2
fb_001_to_003,55,"(5, 17)",80,"(7, 19)",4.0,True,True,1.0,0.0,0.0,4,"(1, 5)",0.0,-1.97,maze,0.0,2
fb_002_to_003,57,"(5, 19)",80,"(7, 19)",2.0,True,True,1.0,0.0,0.0,4,"(1, 5)",0.0,-1.97,maze,0.0,2
fb_001_to_000,4,"(1, 5)",0,"(1, 1)",4.0,True,True,1.0,0.0,0.0,5,"(1, 7)",0.0,-3.823573,maze,0.0,3
fb_002_to_000,55,"(5, 17)",0,"(1, 1)",32.0,True,False,0.0,1.0,0.9409,35,"(3, 17)",1.0,-1.97,maze,0.0,3
fb_003_to_000,57,"(5, 19)",0,"(1, 1)",34.0,True,True,1.0,0.0,0.0,5,"(1, 7)",0.0,-1.97,maze,0.0,3
fb_004_to_000,80,"(7, 19)",0,"(1, 1)",36.0,True,True,1.0,0.0,0.0,5,"(1, 7)",0.0,-1.97,maze,0.0,3
fb_000_to_001,0,"(1, 1)",4,"(1, 5)",4.0,True,True,1.0,0.0,0.0,5,"(1, 7)",0.0,-3.823573,maze,0.0,3
fb_002_to_001,55,"(5, 17)",4,"(1, 5)",28.0,True,False,0.0,1.0,0.9409,35,"(3, 17)",1.0,-1.97,maze,0.0,3
fb_003_to_001,57,"(5, 19)",4,"(1, 5)",30.0,True,True,1.0,0.0,0.0,5,"(1, 7)",0.0,-1.97,maze,0.0,3
fb_004_to_001,80,"(7, 19)",4,"(1, 5)",32.0,True,True,1.0,0.0,0.0,5,"(1, 7)",0.0,-1.97,maze,0.0,3
