map,slip,gamma,option_set,critical_kind,critical_top_fraction,local_horizon,n_states,n_boundary,n_options,option_pair_count,n_edges_valid,kernel_entries_valid,critical_nonzero,critical_mass,duration_mean,duration_max,bypass_cost_mean,bypass_cost_total,nonlocal_cost,value_gap_max,start_value_smdp,start_value_primitive,start_gap,start_best_option,policy_tv_total,policy_regions_total,policy_tv_mean,policy_regions_mean,graph_cost,option_cost,policy_cost_total,policy_cost_mean,bypass_cost,nonlocal_cost_component,start_gap_cost,value_gap_cost,description_length_proxy,step,split_strategy,candidate_limit,policy_cost_mode,lambda_start_gap,lambda_value_gap,lambda_bypass,lambda_policy,lambda_graph,lambda_option,lambda_nonlocal,split_objective,candidate_split_state,candidate_split_coord,candidate_split_score,candidate_split_objective,objective_delta,evaluated_candidates,selected_split_state,selected_split_coord,selected_split_score,stop_reason
corridor,0.0,0.97,targeted,bottleneck,0.15,8.0,11,2,2,2,2,2,0,0.0,10.0,10.0,0.0,0.0,4.0,0.0,-8.75252910350239,-8.75252910350239,0.0,to_001,4.0,4.0,2.0,2.0,3.0,2.1,2.8,1.4,0.0,4.0,0.0,0.0,8.3,0,bypass_attribution,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,6.0600000000000005,,,0.0,,0.0,0,,,0.0,bypass_threshold
corridor,0.05,0.97,targeted,bottleneck,0.15,8.0,11,2,2,2,4,4,0,0.0,9.982142857142847,9.982142857142849,0.0,0.0,3.73333333333333,1.1512568676153023e-11,-9.255363868888026,-9.255363868876513,1.1512568676153023e-11,to_001,3.933333333333333,4.0,1.9666666666666666,2.0,4.0,2.1,2.7866666666666666,1.3933333333333333,0.0,3.73333333333333,1.1512568676153023e-11,1.1512568676153023e-11,9.26,0,bypass_attribution,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,7.030666667933049,,,0.0,,0.0,0,,,0.0,bypass_threshold
open_room,0.0,0.97,targeted,bottleneck,0.15,8.0,35,2,2,2,2,2,5,0.3577844269020739,10.0,10.0,0.14373341566804942,0.28746683133609885,4.0,0.0,-8.75252910350239,-8.75252910350239,0.0,to_001,30.0,5.0,15.0,2.5,3.0,2.1,8.5,4.25,0.28746683133609885,4.0,0.0,0.0,14.287466831336099,0,bypass_attribution,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,35.94668313360988,3,"(1, 4)",0.06111937683621513,,0.0,0,3,"(1, 4)",0.06111937683621513,continue
open_room,0.0,0.97,targeted,bottleneck,0.15,8.0,35,3,3,6,6,6,5,0.3577844269020739,6.166666666666667,10.0,0.0716679129436633,0.4300074776619798,2.0,8.881784197001252e-16,-8.75252910350239,-8.75252910350239,0.0,to_001,46.0,8.0,15.333333333333334,2.6666666666666665,5.0,3.3,13.200000000000001,4.4,0.4300074776619798,2.0,0.0,8.881784197001252e-16,22.13000747766198,1,bypass_attribution,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,54.14074776619798,2,"(1, 3)",0.13153083220156747,,0.0,0,2,"(1, 3)",0.13153083220156747,continue
open_room,0.0,0.97,targeted,bottleneck,0.15,8.0,35,4,4,12,12,12,5,0.3577844269020739,4.583333333333333,10.0,0.04014220465654315,0.4817064558785178,2.0,8.881784197001252e-16,-8.75252910350239,-8.75252910350239,0.0,to_001,62.0,11.0,15.5,2.75,7.0,4.6,17.9,4.475,0.4817064558785178,2.0,0.0,8.881784197001252e-16,30.18170645587852,2,bypass_attribution,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,63.55064558785179,31,"(5, 4)",0.19304523896574433,,0.0,0,31,"(5, 4)",0.19304523896574433,continue
open_room,0.0,0.97,targeted,bottleneck,0.15,8.0,35,5,5,20,20,20,5,0.3577844269020739,4.0,7.0,0.018403680709470478,0.36807361418940954,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,to_001,80.0,15.0,16.0,3.0,9.0,6.0,23.5,4.7,0.36807361418940954,0.0,0.0,0.0,38.86807361418941,3,bypass_attribution,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,56.50736141894096,30,"(5, 3)",0.23654278198784207,,0.0,0,30,"(5, 3)",0.23654278198784207,continue
open_room,0.0,0.97,targeted,bottleneck,0.15,8.0,35,6,6,30,30,30,5,0.3577844269020739,3.6,7.0,0.006543158150128737,0.1962947445038621,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,to_001,98.0,19.0,16.333333333333332,3.1666666666666665,11.0,7.5,29.1,4.85,0.1962947445038621,0.0,0.0,0.0,47.79629474450386,4,bypass_attribution,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,43.94947445038621,32,"(5, 5)",0.1962947445038621,,0.0,0,32,"(5, 5)",0.1962947445038621,continue
open_room,0.0,0.97,targeted,bottleneck,0.15,8.0,35,7,7,42,42,42,5,0.3577844269020739,3.357142857142857,7.0,0.0,0.0,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,to_001,116.0,23.0,16.571428571428573,3.2857142857142856,13.0,9.1,34.7,4.957142857142857,0.0,0.0,0.0,0.0,56.800000000000004,5,bypass_attribution,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,29.04,,,0.0,,0.0,0,,,0.0,bypass_threshold
open_room,0.05,0.97,targeted,bottleneck,0.15,8.0,35,2,2,2,4,4,5,0.3577844269020739,10.18112926849835,10.181129268498351,0.14406571712753435,0.2881314342550687,3.79996070546935,0.07879917849361995,-9.26881190427676,-9.19001272578314,0.07879917849361995,to_001,28.4,5.0,14.2,2.5,4.0,2.1,8.18,4.09,0.2881314342550687,3.79996070546935,0.07879917849361995,0.07879917849361995,14.948127504802002,0,bypass_attribution,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,45.597049130352005,31,"(5, 4)",0.06128842501966418,,0.0,0,31,"(5, 4)",0.06128842501966418,continue
open_room,0.05,0.97,targeted,bottleneck,0.15,8.0,35,3,3,6,12,12,5,0.3577844269020739,6.283772555003107,10.18108738635932,0.08112453840678112,0.4867472304406867,1.8999845331189364,0.07879917849361462,-9.268811904276754,-9.19001272578314,0.07879917849361462,to_002,45.5,9.0,15.166666666666666,3.0,7.0,3.3,13.6,4.533333333333333,0.4867472304406867,1.8999845331189364,0.07879917849361462,0.07879917849361462,24.57674568375258,1,bypass_attribution,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,70.55263113167815,32,"(5, 5)",0.13110185412508557,,0.0,0,32,"(5, 5)",0.13110185412508557,continue
