map,slip,gamma,option_set,critical_kind,critical_top_fraction,local_horizon,n_states,n_boundary,n_options,option_pair_count,n_edges_valid,kernel_entries_valid,critical_nonzero,critical_mass,duration_mean,duration_max,bypass_cost_mean,bypass_cost_total,nonlocal_cost,value_gap_max,start_value_smdp,start_value_primitive,start_gap,start_best_option,policy_tv_total,policy_regions_total,policy_tv_mean,policy_regions_mean,graph_cost,option_cost,policy_cost_total,policy_cost_mean,bypass_cost,nonlocal_cost_component,start_gap_cost,value_gap_cost,description_length_proxy,step,split_strategy,candidate_limit,policy_cost_mode,lambda_start_gap,lambda_value_gap,lambda_bypass,lambda_policy,lambda_graph,lambda_option,lambda_nonlocal,split_objective,candidate_split_state,candidate_split_coord,candidate_split_score,candidate_split_objective,objective_delta,evaluated_candidates,selected_split_state,selected_split_coord,selected_split_score,stop_reason
corridor,0.0,0.97,targeted,bottleneck,0.15,8.0,11,2,2,2,2,2,0,0.0,10.0,10.0,0.0,0.0,4.0,0.0,-8.75252910350239,-8.75252910350239,0.0,to_001,4.0,4.0,2.0,2.0,3.0,2.1,2.8,1.4,0.0,4.0,0.0,0.0,8.3,0,weighted_objective,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,6.0600000000000005,,,0.0,,0.0,0,,,0.0,bypass_threshold
corridor,0.05,0.97,targeted,bottleneck,0.15,8.0,11,2,2,2,4,4,0,0.0,9.982142857142847,9.982142857142849,0.0,0.0,3.73333333333333,1.1512568676153023e-11,-9.255363868888026,-9.255363868876513,1.1512568676153023e-11,to_001,3.933333333333333,4.0,1.9666666666666666,2.0,4.0,2.1,2.7866666666666666,1.3933333333333333,0.0,3.73333333333333,1.1512568676153023e-11,1.1512568676153023e-11,9.26,0,weighted_objective,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,7.030666667933049,,,0.0,,0.0,0,,,0.0,bypass_threshold
open_room,0.0,0.97,targeted,bottleneck,0.15,8.0,35,2,2,2,2,2,5,0.3577844269020739,10.0,10.0,0.14373341566804942,0.28746683133609885,4.0,0.0,-8.75252910350239,-8.75252910350239,0.0,to_001,30.0,5.0,15.0,2.5,3.0,2.1,8.5,4.25,0.28746683133609885,4.0,0.0,0.0,14.287466831336099,0,weighted_objective,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,35.94668313360988,3,"(1, 4)",0.06111937683621513,54.14074776619798,-18.194064632588102,5,,,0.0,no_objective_improvement
open_room,0.05,0.97,targeted,bottleneck,0.15,8.0,35,2,2,2,4,4,5,0.3577844269020739,10.18112926849835,10.181129268498351,0.14406571712753435,0.2881314342550687,3.79996070546935,0.07879917849361995,-9.26881190427676,-9.19001272578314,0.07879917849361995,to_001,28.4,5.0,14.2,2.5,4.0,2.1,8.18,4.09,0.2881314342550687,3.79996070546935,0.07879917849361995,0.07879917849361995,14.948127504802002,0,weighted_objective,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,45.597049130352005,3,"(1, 4)",0.06128842501966417,65.04460111871315,-19.44755198836114,5,,,0.0,no_objective_improvement
four_rooms,0.0,0.97,targeted,bottleneck,0.15,8.0,51,2,2,2,2,2,8,3.5429115646258507,14.0,14.0,2.546860881164301,5.093721762328602,12.0,0.0,-11.57212408464641,-11.57212408464641,0.0,to_001,66.0,11.0,33.0,5.5,3.0,2.1,18.700000000000003,9.350000000000001,5.093721762328602,12.0,0.0,0.0,30.093721762328602,0,weighted_objective,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,519.4121762328602,24,"(3, 5)",2.4686819402850895,431.73885161005273,87.67332462280751,4,24,"(3, 5)",2.4686819402850895,continue
four_rooms,0.0,0.97,targeted,bottleneck,0.15,8.0,51,3,3,6,6,6,8,3.5429115646258507,7.0,8.0,0.6956980860167543,4.174188516100526,0.0,1.7763568394002505e-15,-11.572124084646411,-11.57212408464641,1.7763568394002505e-15,to_001,108.0,17.0,36.0,5.666666666666667,5.0,3.3,30.1,10.033333333333333,4.174188516100526,0.0,1.7763568394002505e-15,1.7763568394002505e-15,42.574188516100534,1,weighted_objective,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,431.73885161005273,26,"(3, 7)",3.980582401898388,39.850137998056574,391.88871361199614,3,26,"(3, 7)",3.980582401898388,continue
four_rooms,0.0,0.97,targeted,bottleneck,0.15,8.0,51,4,4,12,12,12,8,3.5429115646258507,4.666666666666667,6.0,0.01662511499838031,0.19950137998056372,0.0,1.7763568394002505e-15,-11.572124084646411,-11.57212408464641,1.7763568394002505e-15,to_001,150.0,23.0,37.5,5.75,7.0,4.6,41.5,10.375,0.19950137998056372,0.0,1.7763568394002505e-15,1.7763568394002505e-15,53.29950137998056,2,weighted_objective,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,39.850137998056574,14,"(2, 5)",0.09975068999028187,35.555068999028386,4.295068999028189,2,14,"(2, 5)",0.09975068999028187,continue
four_rooms,0.0,0.97,targeted,bottleneck,0.15,8.0,51,5,5,20,20,20,8,3.5429115646258507,3.65,6.0,0.004987534499514093,0.09975068999028186,0.0,1.7763568394002505e-15,-11.572124084646411,-11.57212408464641,1.7763568394002505e-15,to_001,192.0,29.0,38.4,5.8,9.0,6.0,52.900000000000006,10.58,0.09975068999028186,0.0,1.7763568394002505e-15,1.7763568394002505e-15,67.9997506899903,3,weighted_objective,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,35.555068999028386,36,"(4, 7)",0.09975068999028186,31.360000000000003,4.195068999028383,1,36,"(4, 7)",0.09975068999028186,continue
four_rooms,0.0,0.97,targeted,bottleneck,0.15,8.0,51,6,6,30,30,30,8,3.5429115646258507,3.066666666666667,6.0,0.0,0.0,0.0,0.0,-11.57212408464641,-11.57212408464641,0.0,to_001,234.0,35.0,39.0,5.833333333333333,11.0,7.5,64.30000000000001,10.716666666666667,0.0,0.0,0.0,0.0,82.80000000000001,4,weighted_objective,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,31.360000000000003,,,0.0,,0.0,0,,,0.0,bypass_threshold
four_rooms,0.05,0.97,targeted,bottleneck,0.15,8.0,51,2,2,2,4,4,8,3.5429115646258507,14.395578218638025,14.39557821863803,2.523097742354154,5.046195484708308,11.399708433450607,0.1152343180948705,-12.301146070270399,-12.185911752175528,0.1152343180948705,to_001,62.0,11.0,31.0,5.5,4.0,2.1,17.9,8.95,5.046195484708308,11.399708433450607,0.1152343180948705,0.1152343180948705,30.186166328053368,0,weighted_objective,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,528.1152943046117,24,"(3, 5)",2.4437263380841108,443.8394020871315,84.27589221748019,8,24,"(3, 5)",2.4437263380841108,continue
