boundary_pos,state,coord,char,smdp_value,primitive_value,abs_gap,best_option
0,0,"(1, 1)",S,-22.19907793749682,-22.199077937496824,3.552713678800501e-15,S
1,4,"(1, 5)",.,-20.756414973591422,-20.756414973591422,0.0,S
2,5,"(1, 7)",.,-18.234484530108638,-18.23448453010863,7.105427357601002e-15,E
3,11,"(1, 13)",.,-15.206855235775091,-15.206855235775086,5.329070518200751e-15,S
4,12,"(1, 15)",.,-11.572124084646411,-11.57212408464641,1.7763568394002505e-15,E
5,16,"(1, 19)",.,-8.75252910350239,-8.75252910350239,0.0,S
6,23,"(3, 1)",.,-21.499710848652164,-21.499710848652168,3.552713678800501e-15,E
7,25,"(3, 3)",.,-20.75641497359142,-20.756414973591422,3.552713678800501e-15,S
8,26,"(3, 5)",.,-19.966431048561404,-19.9664310485614,3.552713678800501e-15,E
9,28,"(3, 7)",.,-19.126826494379216,-19.126826494379213,3.552713678800501e-15,N
10,29,"(3, 9)",.,-11.572124084646413,-11.57212408464641,3.552713678800501e-15,E
11,31,"(3, 11)",.,-10.2052546334854,-10.205254633485398,1.7763568394002505e-15,S
12,32,"(3, 13)",.,-14.0682912485653,-14.068291248565297,3.552713678800501e-15,E
13,34,"(3, 15)",.,-12.858211551243809,-12.858211551243807,1.7763568394002505e-15,N
14,35,"(3, 17)",.,-5.567599835699999,-5.5675998356999985,8.881784197001252e-16,S
15,37,"(3, 19)",.,-7.208554685410129,-7.208554685410128,8.881784197001252e-16,W
16,42,"(5, 1)",.,-19.126826494379213,-19.126826494379213,0.0,S
17,44,"(5, 3)",.,-19.9664310485614,-19.9664310485614,0.0,W
18,45,"(5, 5)",.,-15.20685523577509,-15.206855235775086,3.552713678800501e-15,E
19,47,"(5, 7)",.,-14.068291248565298,-14.068291248565297,1.7763568394002505e-15,S
20,49,"(5, 9)",.,-12.85821155124381,-12.858211551243807,3.552713678800501e-15,N
21,50,"(5, 11)",.,-8.75252910350239,-8.75252910350239,0.0,E
22,52,"(5, 13)",.,-7.208554685410129,-7.208554685410128,8.881784197001252e-16,E
23,54,"(5, 15)",.,-5.567599835699999,-5.5675998356999985,8.881784197001252e-16,S
24,55,"(5, 17)",.,-3.8235729999999997,-3.8235729999999997,0.0,E
25,57,"(5, 19)",.,-1.97,-1.97,0.0,S
26,64,"(7, 1)",.,-18.234484530108634,-18.23448453010863,3.552713678800501e-15,E
27,68,"(7, 5)",.,-16.27813009134078,-16.278130091340778,3.552713678800501e-15,N
28,69,"(7, 7)",.,-12.858211551243807,-12.858211551243807,0.0,E
29,75,"(7, 13)",.,-8.75252910350239,-8.75252910350239,0.0,N
30,76,"(7, 15)",.,-3.8235729999999997,-3.8235729999999997,0.0,E
31,80,"(7, 19)",G,0.0,0.0,0.0,TERMINAL
