boundary_pos,state,coord,char,smdp_value,primitive_value,abs_gap,best_option
0,0,"(1, 1)",S,-24.208743954256676,-23.006540118833655,1.2022038354230205,E
1,4,"(1, 5)",.,-22.861241205854704,-21.58216821640376,1.2790729894509454,S
2,5,"(1, 7)",.,-20.2439070259731,-19.045034680597315,1.1988723453757864,E
3,11,"(1, 13)",.,-17.289365006310863,-15.960121709212252,1.3292432970986106,S
4,12,"(1, 15)",.,-13.27387728574014,-12.209161066770314,1.064716218969826,E
5,16,"(1, 19)",.,-10.297152883420459,-9.268690096057421,1.028462787363038,S
6,23,"(3, 1)",.,-23.5704952089378,-22.32339189529007,1.247103313647731,E
7,25,"(3, 3)",.,-22.829288741599896,-21.582065015797717,1.2472237258021792,S
8,26,"(3, 5)",.,-22.0266993287842,-20.790929144727983,1.2357701840562179,E
9,28,"(3, 7)",.,-21.16783033933851,-19.946413714910417,1.2214166244280946,N
10,29,"(3, 9)",.,-13.215189661284759,-12.220846013113727,0.9943436481710322,E
11,31,"(3, 11)",.,-11.68729667380731,-10.799282728750658,0.8880139450566524,S
12,32,"(3, 13)",.,-16.006013984867963,-14.790334397191904,1.2156795876760587,E
13,34,"(3, 15)",.,-14.689783514345898,-13.541782007938288,1.14800150640761,N
14,35,"(3, 17)",.,-6.5720356414484655,-5.9189074883962105,0.653128153052255,S
15,37,"(3, 19)",.,-8.46134913297169,-7.648349831038299,0.8129993019333916,W
16,42,"(5, 1)",.,-21.17322207018792,-19.946296148838933,1.226925921348986,S
17,44,"(5, 3)",.,-22.031548571587198,-20.79081899532622,1.2407295762609785,W
18,45,"(5, 5)",.,-17.11077492691505,-15.959969134886121,1.1508057920289279,E
19,47,"(5, 7)",.,-15.87848488453782,-14.790171549606306,1.088313334931513,S
20,49,"(5, 9)",.,-14.634898574939474,-13.552726804032622,1.082171770906852,N
21,50,"(5, 11)",.,-10.04336455783156,-9.28200158028055,0.7613629775510091,E
22,52,"(5, 13)",.,-8.274582197393357,-7.66255761501793,0.6120245823754269,E
23,54,"(5, 15)",.,-6.356194323317697,-5.918911585498157,0.4372827378195403,S
24,55,"(5, 17)",.,-4.539617676752542,-4.073016917696817,0.4666007590557246,E
25,57,"(5, 19)",.,-2.352847182867612,-2.1028373314889635,0.2500098513786484,S
26,64,"(7, 1)",.,-20.249709011392667,-19.044909198470833,1.2047998129218342,E
27,68,"(7, 5)",.,-18.30816365651686,-17.055969899187577,1.2521937573292838,N
28,69,"(7, 7)",.,-14.404033112446701,-13.552726804032622,0.8513063084140793,E
29,75,"(7, 13)",.,-10.130563120114665,-9.28200158028055,0.8485615398341153,N
30,76,"(7, 15)",.,-4.307317926871401,-4.073016918878299,0.2343010079931025,E
31,80,"(7, 19)",G,0.0,0.0,0.0,TERMINAL
