src_state,dst_state,src,dst,option,hit_probability,gamma_terminal,expected_tau,reward
0,0,"(1, 1)","(1, 1)",N,0.9955459770114943,0.9575808821968212,1.89593462757725,-1.3941044660400752
0,4,"(1, 1)","(1, 5)",N,0.004166666666666671,0.00032588966650507856,151.00000000000009,-1.3941044660400752
0,23,"(1, 1)","(3, 1)",N,0.00028735632183908046,0.00027009415547135147,2.0344827586206895,-1.3941044660400752
4,0,"(1, 5)","(1, 1)",N,0.00416666666666667,0.00032588966650507856,151.00000000000009,-1.3941044660400752
4,4,"(1, 5)","(1, 5)",N,0.9955459770114943,0.9575808821968212,1.89593462757725,-1.3941044660400752
4,26,"(1, 5)","(3, 5)",N,0.00028735632183908046,0.00027009415547135147,2.0344827586206895,-1.3941044660400752
5,5,"(1, 7)","(1, 7)",N,0.9969348659003832,0.957582862820711,2.549471229028072,-1.4040519978894361
5,11,"(1, 7)","(1, 13)",N,0.002777777777777785,2.5483087134474105e-05,351.0000000000003,-1.4040519978894361
5,28,"(1, 7)","(3, 7)",N,0.00028735632183908046,0.00027009415547135147,2.0344827586206895,-1.4040519978894361
11,5,"(1, 13)","(1, 7)",N,0.0027777777777777844,2.5483087134474105e-05,351.00000000000034,-1.4040519978894361
11,11,"(1, 13)","(1, 13)",N,0.9969348659003832,0.957582862820711,2.5494712290280725,-1.4040519978894361
11,32,"(1, 13)","(3, 13)",N,0.00028735632183908046,0.00027009415547135147,2.0344827586206895,-1.4040519978894361
12,12,"(1, 15)","(1, 15)",N,0.9955459770114943,0.9575808821968212,1.89593462757725,-1.3941044660400752
12,16,"(1, 15)","(1, 19)",N,0.004166666666666671,0.00032588966650507856,151.00000000000009,-1.3941044660400752
12,34,"(1, 15)","(3, 15)",N,0.00028735632183908046,0.00027009415547135147,2.0344827586206895,-1.3941044660400752
16,12,"(1, 19)","(1, 15)",N,0.00416666666666667,0.00032588966650507856,151.00000000000009,-1.3941044660400752
16,16,"(1, 19)","(1, 19)",N,0.9955459770114943,0.9575808821968212,1.89593462757725,-1.3941044660400752
16,37,"(1, 19)","(3, 19)",N,0.00028735632183908046,0.00027009415547135147,2.0344827586206895,-1.3941044660400752
23,0,"(3, 1)","(1, 1)",N,0.9336206896551723,0.8775359111264208,2.0344827586206895,-2.2116490224937877
23,23,"(3, 1)","(3, 1)",N,0.05804597701149425,0.0519216591969829,5.598839194264256,-2.2116490224937877
23,25,"(3, 1)","(3, 3)",N,0.008333333333333335,0.00419295900178253,31.00000000000001,-2.2116490224937877
25,23,"(3, 3)","(3, 1)",N,0.008333333333333335,0.00419295900178253,31.00000000000001,-1.2760651437476627
25,25,"(3, 3)","(3, 3)",N,0.9913793103448276,0.9572549925303162,1.2692653673163419,-1.2760651437476627
25,44,"(3, 3)","(5, 3)",N,0.00028735632183908046,0.00027009415547135147,2.0344827586206895,-1.2760651437476627
26,4,"(3, 5)","(1, 5)",N,0.9336206896551723,0.8775359111264208,2.0344827586206895,-2.2116490224937877
26,26,"(3, 5)","(3, 5)",N,0.05804597701149425,0.0519216591969829,5.598839194264256,-2.2116490224937877
26,28,"(3, 5)","(3, 7)",N,0.008333333333333335,0.00419295900178253,31.00000000000001,-2.2116490224937877
28,5,"(3, 7)","(1, 7)",N,0.9336206896551723,0.8775359111264208,2.0344827586206895,-2.2116490224937877
28,26,"(3, 7)","(3, 5)",N,0.008333333333333335,0.00419295900178253,31.00000000000001,-2.2116490224937877
28,28,"(3, 7)","(3, 7)",N,0.05804597701149425,0.0519216591969829,5.598839194264256,-2.2116490224937877
29,29,"(3, 9)","(3, 9)",N,0.9913793103448276,0.9572549925303162,1.2692653673163419,-1.2760651437476627
29,31,"(3, 9)","(3, 11)",N,0.008333333333333335,0.00419295900178253,31.00000000000001,-1.2760651437476627
29,49,"(3, 9)","(5, 9)",N,0.00028735632183908046,0.00027009415547135147,2.0344827586206895,-1.2760651437476627
31,29,"(3, 11)","(3, 9)",N,0.008333333333333335,0.00419295900178253,31.00000000000001,-1.2760651437476627
31,31,"(3, 11)","(3, 11)",N,0.9913793103448276,0.9572549925303162,1.2692653673163419,-1.2760651437476627
31,50,"(3, 11)","(5, 11)",N,0.00028735632183908046,0.00027009415547135147,2.0344827586206895,-1.2760651437476627
32,11,"(3, 13)","(1, 13)",N,0.9336206896551723,0.8775359111264208,2.0344827586206895,-2.2116490224937877
32,32,"(3, 13)","(3, 13)",N,0.05804597701149425,0.0519216591969829,5.598839194264256,-2.2116490224937877
32,34,"(3, 13)","(3, 15)",N,0.008333333333333335,0.00419295900178253,31.00000000000001,-2.2116490224937877
34,12,"(3, 15)","(1, 15)",N,0.9336206896551723,0.8775359111264208,2.0344827586206895,-2.2116490224937877
34,32,"(3, 15)","(3, 13)",N,0.008333333333333335,0.00419295900178253,31.00000000000001,-2.2116490224937877
34,34,"(3, 15)","(3, 15)",N,0.05804597701149425,0.0519216591969829,5.598839194264256,-2.2116490224937877
35,35,"(3, 17)","(3, 17)",N,0.9913793103448276,0.9572549925303162,1.2692653673163419,-1.2760651437476627
35,37,"(3, 17)","(3, 19)",N,0.008333333333333335,0.00419295900178253,31.00000000000001,-1.2760651437476627
35,55,"(3, 17)","(5, 17)",N,0.00028735632183908046,0.00027009415547135147,2.0344827586206895,-1.2760651437476627
37,16,"(3, 19)","(1, 19)",N,0.9336206896551723,0.8775359111264208,2.0344827586206895,-2.2116490224937877
37,35,"(3, 19)","(3, 17)",N,0.008333333333333335,0.00419295900178253,31.00000000000001,-2.2116490224937877
37,37,"(3, 19)","(3, 19)",N,0.05804597701149425,0.0519216591969829,5.598839194264256,-2.2116490224937877
42,42,"(5, 1)","(5, 1)",N,0.9913793103448276,0.9572549925303162,1.2692653673163419,-1.2760651437476627
42,44,"(5, 1)","(5, 3)",N,0.008333333333333335,0.00419295900178253,31.00000000000001,-1.2760651437476627
42,64,"(5, 1)","(7, 1)",N,0.00028735632183908046,0.00027009415547135147,2.0344827586206895,-1.2760651437476627
44,25,"(5, 3)","(3, 3)",N,0.9336206896551723,0.8775359111264208,2.0344827586206895,-2.2116490224937877
44,42,"(5, 3)","(5, 1)",N,0.008333333333333335,0.00419295900178253,31.00000000000001,-2.2116490224937877
44,44,"(5, 3)","(5, 3)",N,0.05804597701149425,0.0519216591969829,5.598839194264256,-2.2116490224937877
45,45,"(5, 5)","(5, 5)",N,0.9913793103448276,0.9572549925303162,1.2692653673163419,-1.2760651437476627
45,47,"(5, 5)","(5, 7)",N,0.008333333333333335,0.00419295900178253,31.00000000000001,-1.2760651437476627
45,68,"(5, 5)","(7, 5)",N,0.00028735632183908046,0.00027009415547135147,2.0344827586206895,-1.2760651437476627
47,45,"(5, 7)","(5, 5)",N,0.008333333333333335,0.00419295900178253,31.00000000000001,-1.535423432517716
47,47,"(5, 7)","(5, 7)",N,0.9830459770114942,0.9452812848654321,1.5258595490328501,-1.535423432517716
47,49,"(5, 7)","(5, 9)",N,0.008333333333333335,0.00419295900178253,31.00000000000001,-1.535423432517716
47,69,"(5, 7)","(7, 7)",N,0.00028735632183908046,0.00027009415547135147,2.0344827586206895,-1.535423432517716
49,29,"(5, 9)","(3, 9)",N,0.9336206896551723,0.8775359111264208,2.0344827586206895,-2.2116490224937877
49,47,"(5, 9)","(5, 7)",N,0.008333333333333335,0.00419295900178253,31.00000000000001,-2.2116490224937877
49,49,"(5, 9)","(5, 9)",N,0.05804597701149425,0.0519216591969829,5.598839194264256,-2.2116490224937877
50,31,"(5, 11)","(3, 11)",N,0.9336206896551723,0.8775359111264208,2.0344827586206895,-2.2116490224937877
50,50,"(5, 11)","(5, 11)",N,0.05804597701149425,0.0519216591969829,5.598839194264256,-2.2116490224937877
50,52,"(5, 11)","(5, 13)",N,0.008333333333333335,0.00419295900178253,31.00000000000001,-2.2116490224937877
52,50,"(5, 13)","(5, 11)",N,0.008333333333333335,0.00419295900178253,31.00000000000001,-1.535423432517716
52,52,"(5, 13)","(5, 13)",N,0.9830459770114942,0.9452812848654321,1.5258595490328501,-1.535423432517716
52,54,"(5, 13)","(5, 15)",N,0.008333333333333335,0.00419295900178253,31.00000000000001,-1.535423432517716
52,75,"(5, 13)","(7, 13)",N,0.00028735632183908046,0.00027009415547135147,2.0344827586206895,-1.535423432517716
54,52,"(5, 15)","(5, 13)",N,0.008333333333333335,0.00419295900178253,31.00000000000001,-1.2760651437476627
54,54,"(5, 15)","(5, 15)",N,0.9913793103448276,0.9572549925303162,1.2692653673163419,-1.2760651437476627
54,76,"(5, 15)","(7, 15)",N,0.00028735632183908046,0.00027009415547135147,2.0344827586206895,-1.2760651437476627
55,35,"(5, 17)","(3, 17)",N,0.9336206896551723,0.8775359111264208,2.0344827586206895,-2.2116490224937877
55,55,"(5, 17)","(5, 17)",N,0.05804597701149425,0.0519216591969829,5.598839194264256,-2.2116490224937877
55,57,"(5, 17)","(5, 19)",N,0.008333333333333335,0.00419295900178253,31.00000000000001,-2.2116490224937877
57,55,"(5, 19)","(5, 17)",N,0.008333333333333335,0.00419295900178253,31.00000000000001,-1.2760651437476627
57,57,"(5, 19)","(5, 19)",N,0.9913793103448276,0.9572549925303162,1.2692653673163419,-1.2760651437476627
57,80,"(5, 19)","(7, 19)",N,0.00028735632183908046,0.00027009415547135147,2.0344827586206895,-1.2760651437476627
64,42,"(7, 1)","(5, 1)",N,0.9336206896551723,0.8775359111264208,2.0344827586206895,-2.3296883447861996
64,64,"(7, 1)","(7, 1)",N,0.06221264367816093,0.05224754886348798,15.337023174325093,-2.3296883447861996
64,68,"(7, 1)","(7, 5)",N,0.004166666666666671,0.00032588966650507856,151.00000000000009,-2.3296883447861996
68,45,"(7, 5)","(5, 5)",N,0.9336206896551723,0.8775359111264208,2.0344827586206895,-2.3296883447861996
68,64,"(7, 5)","(7, 1)",N,0.00416666666666667,0.00032588966650507856,151.00000000000009,-2.3296883447861996
68,68,"(7, 5)","(7, 5)",N,0.06221264367816092,0.05224754886348798,15.337023174325093,-2.3296883447861996
69,47,"(7, 7)","(5, 7)",N,0.9336206896551723,0.8775359111264208,2.0344827586206895,-2.339635876635561
69,69,"(7, 7)","(7, 7)",N,0.06360153256704981,0.05224952948737775,25.28749480681352,-2.339635876635561
69,75,"(7, 7)","(7, 13)",N,0.002777777777777785,2.5483087134474105e-05,351.0000000000003,-2.339635876635561
