map_family,map_size,map,slip,method,top_k,proposal_backend,refine_mode,final_first_hit_mode,n_states,n_basis,n_boundary,state_compression_ratio,group_all_feasible,n_groups_feasible,group_total_violation,group_max_violation,selection_time_sec,proposal_time_sec,refine_time_sec,diagnostic_operator_time_sec,probe_green_kernel_time_sec,probe_operator_delta_time_sec,active_weight_time_sec,candidate_score_time_sec,exact_refine_calls,surrogate_topk_recall,surrogate_topk_recall_hits,surrogate_topk_recall_steps,adaptive_topk,adaptive_topk_schedule,adaptive_topk_margin,adaptive_topk_used_mean,adaptive_topk_used_max,adaptive_topk_cap_hits,adaptive_topk_clear_margin_steps,adaptive_topk_feasible_steps,refined_candidates_total,kernel_time_sec,smdp_solve_time_sec,upfront_time_sec,compressed_total_time_sec,full_vi_time_sec,planning_speedup,total_speedup,break_even_tasks,start_gap,value_gap_max,first_hit_used_steps_max,first_hit_tail_bound_max,stop_reason,boundary
open_room,12,open_room_12,0.0,adaptive_topk_exact_refine,4,insertion_score,adaptive_exact,exact,144,22,3,48.0,True,3,0.0,0.0,10.231556316022761,1.1504657340119593,9.081090582010802,0.0,0.0,0.0,0.0,0.0,3,,0,0,True,"1,2,4",1e-09,1.0,1,0,0,1,1,0.08076259098015726,0.0006128219538368285,10.312318907002918,10.312931728956755,0.07973182597197592,130.1060209621758,0.007731247337563972,131,3.552713678800501e-15,3.552713678800501e-15,0,0.0,feasible,"[0, 72, 143]"
open_room,12,open_room_12,0.0,adaptive_topk_certified_refine,4,insertion_score,adaptive_certified_adaptive_green,adaptive,144,22,3,48.0,True,3,0.0,0.0,10.046198553929571,1.1053724939702079,8.940826059959363,0.0,0.0,0.0,0.0,0.0,3,,0,0,True,"1,2,4",1e-09,1.0,1,0,0,1,1,0.049310683039948344,0.0005475999787449837,10.09550923696952,10.096056836948264,0.07965309196151793,145.4585373506967,0.007889524915312845,128,3.552713678800501e-15,3.552713678800501e-15,21,0.0,feasible,"[0, 72, 143]"
open_room,12,open_room_12,0.05,adaptive_topk_exact_refine,4,insertion_score,adaptive_exact,exact,144,22,4,36.0,True,3,0.0,0.0,58.68920071906177,3.486820210935548,55.202380508126225,0.0,0.0,0.0,0.0,0.0,11,,0,0,True,"1,2,4",1e-09,4.0,4,1,1,0,8,0.1120283420314081,0.005562538979575038,58.80122906109318,58.806791600072756,0.17374336498323828,31.2345433661144,0.002954477880119944,350,0.07851002033378052,0.14577389097059879,0,0.0,feasible,"[0, 1, 13, 143]"
open_room,12,open_room_12,0.05,adaptive_topk_certified_refine,4,insertion_score,adaptive_certified_adaptive_green,adaptive,144,22,4,36.0,True,3,0.0,0.0,59.06723664992023,3.4997339730034582,55.567502676916774,0.0,0.0,0.0,0.0,0.0,11,,0,0,True,"1,2,4",1e-09,4.0,4,1,1,0,8,0.10065660497639328,0.00517310097347945,59.167893254896626,59.173066355870105,0.16390573303215206,31.684232314898807,0.002769938134461613,373,0.07850997342940502,0.1457738446623722,40,9.78672919148251e-07,feasible,"[0, 1, 13, 143]"
open_room,12,open_room_12,0.1,adaptive_topk_exact_refine,4,insertion_score,adaptive_exact,exact,144,22,4,36.0,False,1,38.86315309618456,19.43157654809228,96.718541025999,6.12603794306051,90.59250308293849,0.0,0.0,0.0,0.0,0.0,15,,0,0,True,"1,2,4",1e-09,4.0,4,3,0,0,12,0.11724103201413527,0.005834531970322132,96.83578205801314,96.84161658998346,0.1978702360065654,33.913643290164494,0.0020432355734448936,505,0.16918017523391882,0.28437848541747357,0,0.0,no_positive_exact_refine_gain,"[0, 1, 130, 143]"
open_room,12,open_room_12,0.1,adaptive_topk_certified_refine,4,insertion_score,adaptive_certified_adaptive_green,adaptive,144,22,4,36.0,False,1,38.86315309618456,19.43157654809228,95.55658286612015,6.05782744201133,89.49875542410882,0.0,0.0,0.0,0.0,0.0,15,,0,0,True,"1,2,4",1e-09,4.0,4,3,0,0,12,0.13155845802975819,0.004559346009045839,95.68814132414991,95.69270067015896,0.19536712195258588,42.849812575087164,0.002041609449669442,502,0.16918013528230702,0.28437843090094717,50,9.433217581785956e-07,no_positive_exact_refine_gain,"[0, 1, 130, 143]"
open_room,16,open_room_16,0.0,adaptive_topk_exact_refine,4,insertion_score,adaptive_exact,exact,256,31,3,85.33333333333333,True,3,0.0,0.0,25.787562136014458,2.9577927449718118,22.829769391042646,0.0,0.0,0.0,0.0,0.0,3,,0,0,True,"1,2,4",1e-09,1.0,1,0,0,1,1,0.29537033499218524,0.0006172240246087313,26.082932471006643,26.08354969503125,0.1869238510262221,302.8460389964832,0.007166350179010716,141,3.552713678800501e-15,3.552713678800501e-15,0,0.0,feasible,"[0, 128, 255]"
open_room,16,open_room_16,0.0,adaptive_topk_certified_refine,4,insertion_score,adaptive_certified_adaptive_green,adaptive,256,31,3,85.33333333333333,True,3,0.0,0.0,24.565538675000425,2.8928203500108793,21.672718324989546,0.0,0.0,0.0,0.0,0.0,3,,0,0,True,"1,2,4",1e-09,1.0,1,0,0,1,1,0.12351891695288941,0.0005255580181255937,24.689057591953315,24.68958314997144,0.18462451500818133,351.29235715334715,0.007477830382421621,135,3.552713678800501e-15,3.552713678800501e-15,29,0.0,feasible,"[0, 128, 255]"
open_room,16,open_room_16,0.05,adaptive_topk_exact_refine,4,insertion_score,adaptive_exact,exact,256,31,3,85.33333333333333,False,2,19.43157654809228,19.43157654809228,120.39984690304846,8.558771887037437,111.84107501601102,0.0,0.0,0.0,0.0,0.0,10,,0,0,True,"1,2,4",1e-09,4.0,4,2,0,0,8,0.2502228579833172,0.002116452029440552,120.65006976103177,120.65218621306121,0.35850050300359726,169.3874928497013,0.0029713552174721203,339,0.08820735019645909,0.09714965823294008,0,0.0,no_positive_exact_refine_gain,"[0, 17, 255]"
open_room,16,open_room_16,0.05,adaptive_topk_certified_refine,4,insertion_score,adaptive_certified_adaptive_green,adaptive,256,31,3,85.33333333333333,False,2,19.43157654809228,19.43157654809228,125.48597450501984,8.476222370984033,117.0097521340358,0.0,0.0,0.0,0.0,0.0,10,,0,0,True,"1,2,4",1e-09,4.0,4,2,0,0,8,0.15967150504002348,0.0024632359854876995,125.64564601005986,125.64810924604535,0.36118242802331224,146.62924305719787,0.002874555217667791,351,0.08820730655633469,0.09714963020036649,50,8.858662888559198e-07,no_positive_exact_refine_gain,"[0, 17, 255]"
