map_family,map_size,map,slip,method,top_k,proposal_backend,refine_mode,final_first_hit_mode,n_states,n_basis,n_boundary,state_compression_ratio,group_all_feasible,n_groups_feasible,group_total_violation,group_max_violation,selection_time_sec,proposal_time_sec,refine_time_sec,diagnostic_operator_time_sec,probe_green_kernel_time_sec,probe_operator_delta_time_sec,active_weight_time_sec,candidate_score_time_sec,exact_refine_calls,surrogate_topk_recall,surrogate_topk_recall_hits,surrogate_topk_recall_steps,kernel_time_sec,smdp_solve_time_sec,upfront_time_sec,compressed_total_time_sec,full_vi_time_sec,planning_speedup,total_speedup,break_even_tasks,start_gap,value_gap_max,first_hit_used_steps_max,first_hit_tail_bound_max,stop_reason,boundary
open_room,12,open_room_12,0.0,surrogate_topk_exact_refine,1,insertion_score,exact,exact,144,22,3,48.0,True,3,0.0,0.0,11.076384869054891,1.238353562017437,9.838031307037454,0.0,0.0,0.0,0.0,0.0,3,,0,0,0.08364890603115782,0.0008446110296063125,11.160033775086049,11.160878386115655,0.08912634401349351,105.52353792376688,0.007985603008125989,127,3.552713678800501e-15,3.552713678800501e-15,0,0.0,feasible,"[0, 72, 143]"
open_room,12,open_room_12,0.0,surrogate_topk_exact_refine,2,insertion_score,exact,exact,144,22,3,48.0,True,3,0.0,0.0,13.889696683036163,1.2054172119824216,12.684279471053742,0.0,0.0,0.0,0.0,0.0,4,,0,0,0.0697530489997007,0.0007669350015930831,13.959449732035864,13.960216667037457,0.08698470395756885,113.41861275973007,0.006230899278444234,162,3.552713678800501e-15,3.552713678800501e-15,0,0.0,feasible,"[0, 72, 143]"
open_room,12,open_room_12,0.0,surrogate_topk_exact_refine,4,insertion_score,exact,exact,144,22,3,48.0,True,3,0.0,0.0,20.97258447803324,1.2050762210274115,19.76750825700583,0.0,0.0,0.0,0.0,0.0,6,,0,0,0.07622368796728551,0.0007537350174970925,21.048808166000526,21.049561901018023,0.08610156498616561,114.23320263410443,0.004090420759873462,247,3.552713678800501e-15,3.552713678800501e-15,0,0.0,feasible,"[0, 72, 143]"
open_room,12,open_room_12,0.0,surrogate_topk_exact_refine,8,insertion_score,exact,exact,144,22,3,48.0,True,3,0.0,0.0,32.471963184012566,1.121323698956985,31.35063948505558,0.0,0.0,0.0,0.0,0.0,10,,0,0,0.07417966303182766,0.0009727620054036379,32.54614284704439,32.5471156090498,0.08168498199665919,83.97221678365699,0.002509745655432105,404,3.552713678800501e-15,3.552713678800501e-15,0,0.0,feasible,"[0, 72, 143]"
open_room,12,open_room_12,0.0,surrogate_topk_exact_refine,16,insertion_score,exact,exact,144,22,3,48.0,True,3,0.0,0.0,59.80416808195878,1.206186439958401,58.59798164200038,0.0,0.0,0.0,0.0,0.0,18,,0,0,0.06743812398053706,0.0007411200203932822,59.871606205939315,59.87234732595971,0.08929336699657142,120.48435413900582,0.001491395794296096,677,3.552713678800501e-15,3.552713678800501e-15,0,0.0,feasible,"[0, 72, 143]"
open_room,12,open_room_12,0.0,surrogate_topk_certified_refine,1,insertion_score,certified_adaptive_green,adaptive,144,22,3,48.0,True,3,0.0,0.0,10.839061329897959,1.2038033459684812,9.635257983929478,0.0,0.0,0.0,0.0,0.0,3,,0,0,0.053951537993270904,0.0006526900106109679,10.89301286789123,10.89366555790184,0.08768458699341863,134.34338747017,0.008049135208654874,126,3.552713678800501e-15,3.552713678800501e-15,21,0.0,feasible,"[0, 72, 143]"
open_room,12,open_room_12,0.0,surrogate_topk_certified_refine,2,insertion_score,certified_adaptive_green,adaptive,144,22,3,48.0,True,3,0.0,0.0,14.3356884670211,1.224012811027933,13.111675655993167,0.0,0.0,0.0,0.0,0.0,4,,0,0,0.05715140904067084,0.0006990719703026116,14.392839876061771,14.393538948032074,0.10638629604363814,152.18217946513582,0.0073912535636820285,137,3.552713678800501e-15,3.552713678800501e-15,21,0.0,feasible,"[0, 72, 143]"
open_room,12,open_room_12,0.0,surrogate_topk_certified_refine,4,insertion_score,certified_adaptive_green,adaptive,144,22,3,48.0,True,3,0.0,0.0,21.855401057982817,1.3784053789568134,20.476995679026004,0.0,0.0,0.0,0.0,0.0,6,,0,0,0.05410511401714757,0.0006461169687099755,21.909506171999965,21.910152288968675,0.08769069699337706,135.71953878329273,0.004002286056109595,252,3.552713678800501e-15,3.552713678800501e-15,21,0.0,feasible,"[0, 72, 143]"
open_room,12,open_room_12,0.0,surrogate_topk_certified_refine,8,insertion_score,certified_adaptive_green,adaptive,144,22,3,48.0,True,3,0.0,0.0,34.887612277059816,1.2257416779757477,33.66187059908407,0.0,0.0,0.0,0.0,0.0,10,,0,0,0.05444707797141746,0.0006299760425463319,34.94205935503123,34.94268933107378,0.08875945396721363,140.89338002196453,0.0025401437515652743,397,3.552713678800501e-15,3.552713678800501e-15,21,0.0,feasible,"[0, 72, 143]"
open_room,12,open_room_12,0.0,surrogate_topk_certified_refine,16,insertion_score,certified_adaptive_green,adaptive,144,22,3,48.0,True,3,0.0,0.0,56.441485157061834,1.1679717680090107,55.27351338905282,0.0,0.0,0.0,0.0,0.0,18,,0,0,0.04999886796576902,0.0005728710093535483,56.4914840250276,56.49205689603696,0.08348272700095549,145.72691869180272,0.0014777781441838772,682,3.552713678800501e-15,3.552713678800501e-15,21,0.0,feasible,"[0, 72, 143]"
open_room,12,open_room_12,0.05,surrogate_topk_exact_refine,1,insertion_score,exact,exact,144,22,4,36.0,False,1,38.86315309618456,19.43157654809228,38.73276955995243,5.805408369982615,32.927361189969815,0.0,0.0,0.0,0.0,0.0,6,,0,0,0.11985653796000406,0.006278751010540873,38.852626097912434,38.858904848922975,0.18216766003752127,29.013359461411216,0.0046879257340308265,221,0.07851002033423526,0.1457738909746915,0,0.0,no_positive_exact_refine_gain,"[0, 1, 130, 143]"
open_room,12,open_room_12,0.05,surrogate_topk_exact_refine,2,insertion_score,exact,exact,144,22,4,36.0,False,1,38.86315309618456,19.43157654809228,55.2197591100703,5.714992035063915,49.504767075006384,0.0,0.0,0.0,0.0,0.0,9,,0,0,0.10793466202449054,0.0050137719954364,55.32769377209479,55.332707544090226,0.1806819120538421,36.03712179538701,0.003265372689559264,315,0.07851002033423526,0.1457738909746915,0,0.0,no_positive_exact_refine_gain,"[0, 1, 130, 143]"
open_room,12,open_room_12,0.05,surrogate_topk_exact_refine,4,insertion_score,exact,exact,144,22,4,36.0,True,3,0.0,0.0,63.681979109940585,3.801299710001331,59.880679399939254,0.0,0.0,0.0,0.0,0.0,11,,0,0,0.10853339498862624,0.006045363028533757,63.79051250492921,63.796557867957745,0.18173801095690578,30.062381712911712,0.002848711858922798,364,0.07851002033378052,0.14577389097059879,0,0.0,feasible,"[0, 1, 13, 143]"
open_room,12,open_room_12,0.05,surrogate_topk_exact_refine,8,insertion_score,exact,exact,144,22,3,48.0,False,1,38.86315309618456,19.43157654809228,101.17355345393298,3.8028464159579016,97.37070703797508,0.0,0.0,0.0,0.0,0.0,18,,0,0,0.0798686160123907,0.0005822689854539931,101.25342206994537,101.25400433893083,0.1987528870231472,341.34204635368013,0.001962913845440178,511,0.07851002033423171,0.07851002033423171,0,0.0,no_positive_exact_refine_gain,"[0, 130, 143]"
open_room,12,open_room_12,0.05,surrogate_topk_exact_refine,16,insertion_score,exact,exact,144,22,3,48.0,False,1,38.86315309618456,19.43157654809228,181.321667591983,3.6904789580148645,177.63118863396812,0.0,0.0,0.0,0.0,0.0,34,,0,0,0.07248556899139658,0.0005075320368632674,181.39415316097438,181.39466069301125,0.18091556004947051,356.4613598928542,0.0009973587941248638,1006,0.07851002033423171,0.07851002033423171,0,0.0,no_positive_exact_refine_gain,"[0, 130, 143]"
open_room,12,open_room_12,0.05,surrogate_topk_certified_refine,1,insertion_score,certified_adaptive_green,adaptive,144,22,4,36.0,False,1,38.86315309618456,19.43157654809228,36.023123501916416,5.4007157040177844,30.62240779789863,0.0,0.0,0.0,0.0,0.0,6,,0,0,0.09862421697471291,0.004680222016759217,36.12174771889113,36.12642794090789,0.1645440619904548,35.157319759884395,0.004554672890981639,226,0.07850998040043677,0.14577386826012528,40,8.561614767300956e-07,no_positive_exact_refine_gain,"[0, 1, 130, 143]"
open_room,12,open_room_12,0.05,surrogate_topk_certified_refine,2,insertion_score,certified_adaptive_green,adaptive,144,22,4,36.0,False,1,38.86315309618456,19.43157654809228,56.117282685940154,5.912106296047568,50.205176389892586,0.0,0.0,0.0,0.0,0.0,9,,0,0,0.1058281270088628,0.0048835439956746995,56.22311081294902,56.22799435694469,0.18380746204638854,37.63812964707285,0.0032689670714475087,315,0.07850998040043677,0.14577386826012528,40,8.561614767300956e-07,no_positive_exact_refine_gain,"[0, 1, 130, 143]"
open_room,12,open_room_12,0.05,surrogate_topk_certified_refine,4,insertion_score,certified_adaptive_green,adaptive,144,22,4,36.0,True,3,0.0,0.0,62.754179430077784,3.756762763019651,58.99741666705813,0.0,0.0,0.0,0.0,0.0,11,,0,0,0.09665789699647576,0.005725772003643215,62.85083732707426,62.8565630990779,0.18003684299765155,31.44324344090143,0.0028642489204169144,361,0.07850997342940502,0.1457738446623722,40,9.78672919148251e-07,feasible,"[0, 1, 13, 143]"
open_room,12,open_room_12,0.05,surrogate_topk_certified_refine,8,insertion_score,certified_adaptive_green,adaptive,144,22,3,48.0,False,1,38.86315309618456,19.43157654809228,102.63458783988608,3.8353668290073983,98.79922101087868,0.0,0.0,0.0,0.0,0.0,18,,0,0,0.07574128598207608,0.0004430870176292956,102.71032912586816,102.71077221288579,0.18450776499230415,416.4142880545211,0.0017963818304265106,559,0.07850997908755986,0.07850997908755986,40,9.817657120961804e-07,no_positive_exact_refine_gain,"[0, 130, 143]"
open_room,12,open_room_12,0.05,surrogate_topk_certified_refine,16,insertion_score,certified_adaptive_green,adaptive,144,22,3,48.0,False,1,38.86315309618456,19.43157654809228,186.16164054494584,3.84364287200151,182.31799767294433,0.0,0.0,0.0,0.0,0.0,34,,0,0,0.06963207002263516,0.000482873001601547,186.23127261496847,186.23175548797008,0.18112022598506883,375.0887404852758,0.0009725528576503622,1031,0.07850997908755986,0.07850997908755986,40,9.817657120961804e-07,no_positive_exact_refine_gain,"[0, 130, 143]"
open_room,12,open_room_12,0.1,surrogate_topk_exact_refine,1,insertion_score,exact,exact,144,22,4,36.0,False,1,38.86315309618456,19.43157654809228,43.52815420599654,6.517960199969821,37.01019400602672,0.0,0.0,0.0,0.0,0.0,6,,0,0,0.10097381798550487,0.005216085992287844,43.62912802398205,43.634344109974336,0.22052463999716565,42.27779992952927,0.005053923566293646,203,0.16918017523391882,0.28437848541747357,0,0.0,no_positive_exact_refine_gain,"[0, 1, 130, 143]"
open_room,12,open_room_12,0.1,surrogate_topk_exact_refine,2,insertion_score,exact,exact,144,22,4,36.0,False,1,38.86315309618456,19.43157654809228,61.53704369609477,6.35698903206503,55.18005466402974,0.0,0.0,0.0,0.0,0.0,9,,0,0,0.1350942169665359,0.006306826020590961,61.672137913061306,61.6784447390819,0.20440648798830807,32.41035781246346,0.003314066832472967,312,0.16918017523391882,0.28437848541747357,0,0.0,no_positive_exact_refine_gain,"[0, 1, 130, 143]"
