map_family,map_size,map,method_spec,method,n_states,n_boundary,n_edges_valid,state_compression_ratio,transition_nnz_proxy,kernel_nnz,memory_compression_ratio,full_vi_iterations,full_vi_time_sec,full_vi_backup_count,construction_time_sec,kernel_time_sec,upfront_time_sec,smdp_iterations,smdp_solve_time_sec,smdp_edge_backup_count,compressed_total_time_sec,planning_time_speedup_vs_full_vi,total_time_speedup_vs_full_vi,backup_compression_ratio,start_gap,value_gap_max,occupancy_struct_hidden_distinct,occupancy_model_residual,struct_hidden_distinct_cvar95,error
corridor,64,corridor_64,endpoints,endpoints,64,2,2,32.0,760,2,380.0,95,0.081509877985809,24320,7.8580342233181e-06,0.008962133957538754,0.008969991991762072,2,9.169400436803699e-05,4,0.009061685996130109,888.9335627512631,8.995001373984783,6080.0,3.375077994860476e-11,3.375077994860476e-11,0.0,0.16556844887303046,0.0,
corridor,64,corridor_64,turn_articulation,turn_articulation,64,2,2,32.0,760,2,380.0,95,0.10192647500662133,24320,0.00048119400162249804,0.00904551800340414,0.009526712005026639,2,8.621701272204518e-05,4,0.009612929017748684,1182.2083807893212,10.603061233306827,6080.0,3.375077994860476e-11,3.375077994860476e-11,0.0,0.16556844887303046,0.0,
corridor,64,corridor_64,graph_rd_surrogate_joint,graph_rd_surrogate_joint,64,2,2,32.0,760,2,380.0,95,0.10272563202306628,24320,0.22429505898617208,0.009159165027085692,0.23345422401325777,2,9.02279862202704e-05,4,0.23354445199947804,1138.5118556484883,0.4398547306244546,6080.0,3.375077994860476e-11,3.375077994860476e-11,0.0,0.16556844887303046,0.0,
corridor,128,corridor_128,endpoints,endpoints,128,2,2,64.0,1528,2,764.0,168,0.3148787019890733,86016,1.247599720954895e-05,2.5009824489825405,2.50099492497975,2,0.00013498403131961823,4,2.5011299090110697,2332.7107577895376,0.12589458102701043,21504.0,3.725375563590205e-11,3.725375563590205e-11,0.0,0.17037965844321545,0.0,
corridor,128,corridor_128,turn_articulation,turn_articulation,128,2,2,64.0,1528,2,764.0,168,0.3622332459781319,86016,0.001321624033153057,2.4790886379778385,2.4804102620109916,2,0.00015637499745935202,4,2.480566637008451,2316.439660197536,0.1460284277688194,21504.0,3.725375563590205e-11,3.725375563590205e-11,0.0,0.17037965844321545,0.0,
corridor,128,corridor_128,graph_rd_surrogate_joint,graph_rd_surrogate_joint,128,2,2,64.0,1528,2,764.0,168,0.3613499499624595,86016,3.2633020670036785,2.2437816949677654,5.507083761971444,2,0.00014622497837990522,4,5.507229986949824,2471.19167987593,0.06561373881583489,21504.0,3.725375563590205e-11,3.725375563590205e-11,0.0,0.17037965844321545,0.0,
open_room,12,open_room_12,endpoints,endpoints,144,2,2,72.0,2288,2,1144.0,48,0.12039131700294092,27648,2.0101957488805056e-05,5.183078715985175,5.183098817942664,2,0.00015778496162965894,4,5.183256602904294,763.008817567256,0.023226964479335827,6912.0,0.07851002033424237,0.07851002033424237,0.0,0.6953067647235828,0.0,
open_room,12,open_room_12,turn_articulation,turn_articulation,144,4,12,36.0,2288,16,143.0,48,0.11951411102199927,27648,0.00586353795370087,17.25651532097254,17.26237885892624,4,0.000644963001832366,48,17.263023821928073,185.30382468832298,0.0069231272721867205,576.0,0.07851002033424237,0.07851002033424237,0.0,0.2245508956504525,0.0,
open_room,12,open_room_12,graph_rd_surrogate_joint,graph_rd_surrogate_joint,144,2,2,72.0,2288,2,1144.0,48,0.12046004401054233,27648,6.7772547449567355,5.121783406997565,11.8990381519543,2,0.00020744599169120193,4,11.899245597945992,580.6814729390176,0.010123334544110574,6912.0,0.07851002033424237,0.07851002033424237,0.0,0.6953067647235828,0.0,
maze,13,maze_13,endpoints,endpoints,71,2,2,35.5,844,2,422.0,53,0.06028804101515561,15052,1.449196133762598e-05,0.010546716977842152,0.010561208939179778,2,8.934602374210954e-05,4,0.010650554962921888,674.770275050767,5.660553954703606,3763.0,1.6697754290362354e-13,1.6697754290362354e-13,0.0,1.2343397367723996,0.0,
maze,13,maze_13,turn_articulation,turn_articulation,71,18,306,3.9444444444444446,844,546,1.5457875457875458,53,0.06527376500889659,15052,0.0005514299846254289,0.4587749849888496,0.45932641497347504,18,0.03831338998861611,5508,0.49763980496209115,1.703680228460366,0.13116668794986963,2.7327523602033406,1.1475265182525618e-12,1.7035262089848402e-11,0.0,0.9171684262218325,0.0,
maze,13,maze_13,graph_rd_surrogate_joint,graph_rd_surrogate_joint,71,8,56,8.875,844,92,9.173913043478262,53,0.06494490196928382,15052,1.5555989330168813,0.09582730004331097,1.6514262330601923,18,0.006859902001451701,1008,1.658286135061644,9.467322121444315,0.03916386960979421,14.932539682539682,1.1475265182525618e-12,1.1475265182525618e-12,0.0,0.917168448834321,0.0,
