map_family,map_size,map,slip,method_spec,method,first_hit_mode,first_hit_truncation_steps,first_hit_tail_tol,first_hit_used_steps_max,first_hit_used_steps_mean,first_hit_tail_bound_max,n_states,n_boundary,n_edges_valid,state_compression_ratio,transition_nnz_proxy,kernel_nnz,memory_compression_ratio,full_vi_iterations,full_vi_time_sec,full_vi_backup_count,construction_time_sec,kernel_time_sec,upfront_time_sec,smdp_iterations,smdp_solve_time_sec,smdp_edge_backup_count,compressed_total_time_sec,planning_time_speedup_vs_full_vi,total_time_speedup_vs_full_vi,backup_compression_ratio,start_gap,value_gap_max,occupancy_struct_hidden_distinct,occupancy_model_residual,struct_hidden_distinct_cvar95,error
corridor,256,corridor_256,0.0,endpoints,endpoints,adaptive,1024.0,1e-06,254.0,254.0,0.0,256,2.0,2.0,128.0,1024.0,2.0,512.0,256.0,1.270582804980222,262144.0,2.808799035847187e-05,0.2432002709829248,0.2432283589732833,2.0,0.0001685949973762,4.0,0.2433969539706595,7536.301935134164,5.220208323286517,65536.0,0.0,0.0,0.0,0.0,0.0,
corridor,512,corridor_512,0.05,coverage_sqrt,coverage_23,adaptive,1024.0,1e-06,51.0,40.04545454545455,8.603043615054452e-07,512,23.0,506.0,22.26086956521739,6136.0,506.0,12.126482213438734,571.0,5.754269839002518,1169408.0,0.3705555139749776,8.088689955999143,8.459245469974121,33.0,0.205980422993889,16698.0,8.66522589296801,27.93600360347465,0.6640646083643605,70.03281830159301,1.1547812945877922e-06,2.1152764659859717e-06,0.0,3.281932710502456,0.0,
open_room,24,open_room_24,0.0,betweenness_sqrt,betweenness_24,adaptive,1024.0,1e-06,45.0,2.36231884057971,0.0,576,24.0,552.0,24.0,2304.0,552.0,4.173913043478261,47.0,0.5664379079826176,108288.0,0.6194349339930341,7.425598123983946,8.04503305797698,28.0,0.1944451949966605,15456.0,8.23947825297364,2.913097996545225,0.068746817527941,7.006211180124224,0.0,7.105427357601002e-15,0.0,1.7763568394002506e-16,0.0714285714285714,
open_room,32,open_room_32,0.1,graph_rd_surrogate_joint,graph_rd_surrogate_joint,adaptive,1024.0,1e-06,104.0,104.0,6.650106706875107e-07,1024,2.0,2.0,512.0,16368.0,2.0,8184.0,113.0,2.4738782860222277,462848.0,11.90803328898619,1.690228154999204,13.598261443985391,2.0,0.000248394004302,4.0,13.598509837989695,9959.49275415469,0.1819227485581572,115712.0,0.140835709669659,0.140835709669659,0.5030996418331549,0.193489326588316,0.5030996418331549,
four_rooms,31,four_rooms_31,0.05,turn_articulation,turn_articulation,adaptive,1024.0,1e-06,82.0,51.28333333333333,9.517043229550196e-07,904,16.0,240.0,56.5,14384.0,440.0,32.69090909090909,94.0,1.8528007470013108,339904.0,0.0129166689876001,8.653750921977917,8.666667590965517,6.0,0.0188128539884928,1440.0,8.68548044495401,98.48589417292035,0.2133216186190056,236.04444444444445,0.0909421891837141,0.1882623642882066,0.0,0.3632515454200057,0.0,
maze,31,maze_31,0.0,endpoints,endpoints,adaptive,1024.0,1e-06,151.0,151.0,0.0,449,2.0,2.0,224.5,1796.0,2.0,898.0,153.0,1.4563381530169863,274788.0,5.46060036867857e-05,1.822819900989998,1.822874506993685,2.0,0.0001808330125641,4.0,1.823055340006249,8053.497159434285,0.7988447311818819,68697.0,2.131628207280301e-14,2.131628207280301e-14,43.0,1.468983540159975,43.0,
corridor,256,corridor_256,0.0,turn_articulation,turn_articulation,adaptive,1024.0,1e-06,254.0,254.0,0.0,256,2.0,2.0,128.0,1024.0,2.0,512.0,256.0,1.25667527798214,262144.0,0.0030914860253687,0.2645908709964715,0.2676823570218403,2.0,0.0001730640069581,4.0,0.2678554210287984,7261.332382567434,4.6916178629329615,65536.0,0.0,0.0,0.0,0.0,0.0,
corridor,512,corridor_512,0.1,endpoints,endpoints,adaptive,1024.0,1e-06,654.0,654.0,8.054969899699365e-07,512,2.0,2.0,256.0,6136.0,2.0,3068.0,618.0,6.285246459010523,1265664.0,5.818501813337207e-05,0.598961034003878,0.5990192190220114,2.0,0.00017583600129,4.0,0.5991950550233014,35744.935126477256,10.489483193024856,316416.0,3.5352343275008025e-10,3.5352343275008025e-10,0.0,0.3419217757330313,0.0,
open_room,24,open_room_24,0.0,coverage_sqrt,coverage_24,adaptive,1024.0,1e-06,30.0,10.858695652173912,0.0,576,24.0,552.0,24.0,2304.0,552.0,4.173913043478261,47.0,0.5564234349876642,108288.0,0.4720157829870004,5.498339904996101,5.970355687983101,9.0,0.0618143460014835,4968.0,6.032170033984585,9.00152587514734,0.0922426642241242,21.797101449275363,3.552713678800501e-15,7.105427357601002e-15,0.0,2.4424906541753446e-16,0.0,
open_room,32,open_room_32,0.1,betweenness_sqrt,betweenness_32,adaptive,1024.0,1e-06,104.0,14.85483870967742,9.982317487760507e-07,1024,32.0,992.0,32.0,16368.0,8396.0,1.9494997617913288,113.0,2.4865268940047827,462848.0,2.1885222099954262,41.04857384201023,43.23709605200565,68.0,0.8316607769811526,67456.0,44.06875682898681,2.98983306995748,0.0564238039129172,6.861480075901328,0.1408357096694885,0.2401732015794166,0.5030996418331549,0.1934893265910235,0.0201239856736521,
