split,map_family,map_size,maze_seed,map,slip,n_states,log_n_states,sqrt_n_states,open_density,log_aspect_ratio,mean_degree,degree_std,dead_end_fraction,junction_fraction,turn_articulation_fraction,articulation_fraction,cycle_rank_per_state,endpoint_distance,endpoint_eccentricity,covering_radius,slip_endpoint_distance,discount_horizon,required_k,reference_frontier,reference_certified,reference_operator_time_sec,green_steps_total,occupancy_steps_total,reference_boundary,base_predicted_k,proposed_k,base_error,proposal_error,proposal_first_pass_certified,continuation_steps_if_needed,proposal_excess_steps,proposal_to_fixed_work_ratio
train,corridor,32,0,corridor_32,0.0,32,3.4965075614664802,5.656854249492381,0.3137254901960784,2.4277482359480516,1.9375,0.24206145913796356,0.0625,0.0,0.0,0.9375,0.0,31.0,31.0,15.0,0.0,33.33333333333331,0,0.0,True,0.00036706600803881884,0,0,"[0, 31]",0,0,0,0,True,0,0,0.0
train,corridor,32,0,corridor_32,0.05,32,3.4965075614664802,5.656854249492381,0.3137254901960784,2.4277482359480516,1.9375,0.24206145913796356,0.0625,0.0,0.0,0.9375,0.0,31.0,31.0,15.0,1.55,33.33333333333331,0,0.0,True,0.0004252929938957095,0,0,"[0, 31]",0,0,0,0,True,0,0,0.0
train,corridor,32,0,corridor_32,0.1,32,3.4965075614664802,5.656854249492381,0.3137254901960784,2.4277482359480516,1.9375,0.24206145913796356,0.0625,0.0,0.0,0.9375,0.0,31.0,31.0,15.0,3.1,33.33333333333331,0,0.0,True,0.00037441495805978775,0,0,"[0, 31]",0,0,0,0,True,0,0,0.0
train,corridor,64,0,corridor_64,0.0,64,4.174387269895637,8.0,0.32323232323232326,3.091042453358316,1.96875,0.17399263633843817,0.03125,0.0,0.0,0.96875,0.0,63.0,63.0,31.0,0.0,33.33333333333331,0,0.0,True,0.0005700220353901386,0,0,"[0, 63]",0,0,0,0,True,0,0,0.0
train,corridor,64,0,corridor_64,0.05,64,4.174387269895637,8.0,0.32323232323232326,3.091042453358316,1.96875,0.17399263633843817,0.03125,0.0,0.0,0.96875,0.0,63.0,63.0,31.0,3.1500000000000004,33.33333333333331,0,0.0,True,0.0007181799737736583,0,0,"[0, 63]",0,0,0,0,True,0,0,0.0
train,corridor,64,0,corridor_64,0.1,64,4.174387269895637,8.0,0.32323232323232326,3.091042453358316,1.96875,0.17399263633843817,0.03125,0.0,0.0,0.96875,0.0,63.0,63.0,31.0,6.300000000000001,33.33333333333331,0,0.0,True,0.0007241530111059546,0,0,"[0, 63]",0,0,0,0,True,0,0,0.0
train,corridor,128,0,corridor_128,0.0,128,4.859812404361672,11.313708498984761,0.3282051282051282,3.7689221617874726,1.984375,0.12401959270615269,0.015625,0.0,0.0,0.984375,0.0,127.0,127.0,63.0,0.0,33.33333333333331,0,0.0,True,0.001146244932897389,0,0,"[0, 127]",0,0,0,0,True,0,0,0.0
train,corridor,128,0,corridor_128,0.05,128,4.859812404361672,11.313708498984761,0.3282051282051282,3.7689221617874726,1.984375,0.12401959270615269,0.015625,0.0,0.0,0.984375,0.0,127.0,127.0,63.0,6.3500000000000005,33.33333333333331,0,0.0,True,0.0013441049959510565,0,0,"[0, 127]",0,0,0,0,True,0,0,0.0
train,corridor,128,0,corridor_128,0.1,128,4.859812404361672,11.313708498984761,0.3282051282051282,3.7689221617874726,1.984375,0.12401959270615269,0.015625,0.0,0.0,0.984375,0.0,127.0,127.0,63.0,12.700000000000001,33.33333333333331,0,0.0,True,0.0017069140449166298,0,0,"[0, 127]",0,0,0,0,True,0,0,0.0
train,open_room,8,0,open_room_8,0.0,64,4.174387269895637,8.0,0.64,0.0,3.5,0.6123724356957945,0.0,0.9375,0.0625,0.0,0.765625,14.0,14.0,7.0,0.0,33.33333333333331,15,0.0,True,0.007635870017111301,26,15,"[0, 56, 63]",16,52,1,37,True,0,37,0.1015625
train,open_room,8,0,open_room_8,0.05,64,4.174387269895637,8.0,0.64,0.0,3.5,0.6123724356957945,0.0,0.9375,0.0625,0.0,0.765625,14.0,14.0,7.0,0.7000000000000001,33.33333333333331,29,3.870368616695888e-07,True,0.008236341062001884,54,29,"[0, 56, 63]",26,62,-3,33,True,0,33,0.12109375
train,open_room,8,0,open_room_8,0.1,64,4.174387269895637,8.0,0.64,0.0,3.5,0.6123724356957945,0.0,0.9375,0.0625,0.0,0.765625,14.0,14.0,7.0,1.4000000000000001,33.33333333333331,35,6.476253296496637e-07,True,0.008451768895611167,66,35,"[0, 56, 63]",37,73,2,38,True,0,38,0.142578125
train,open_room,10,0,open_room_10,0.0,100,4.61512051684126,10.0,0.6944444444444444,0.0,3.6,0.5656854249492381,0.0,0.96,0.04,0.0,0.81,18.0,18.0,9.0,0.0,33.33333333333331,19,0.0,True,0.010646730079315603,34,19,"[0, 90, 99]",21,57,2,38,True,0,38,0.111328125
train,open_room,10,0,open_room_10,0.05,100,4.61512051684126,10.0,0.6944444444444444,0.0,3.6,0.5656854249492381,0.0,0.96,0.04,0.0,0.81,18.0,18.0,9.0,0.9,33.33333333333331,33,9.87778799002248e-07,True,0.012025002972222865,64,33,"[0, 90, 99]",32,68,-1,35,True,0,35,0.1328125
train,open_room,10,0,open_room_10,0.1,100,4.61512051684126,10.0,0.6944444444444444,0.0,3.6,0.5656854249492381,0.0,0.96,0.04,0.0,0.81,18.0,18.0,9.0,1.8,33.33333333333331,41,5.973648065537597e-07,True,0.01212615193799138,78,41,"[0, 90, 99]",43,79,2,38,True,0,38,0.154296875
train,open_room,12,0,open_room_12,0.0,144,4.976733742420574,12.0,0.7346938775510204,0.0,3.6666666666666665,0.5270462766947299,0.0,0.9722222222222222,0.027777777777777776,0.0,0.8402777777777778,22.0,22.0,11.0,0.0,33.33333333333331,23,0.0,True,0.014678108040243387,42,23,"[0, 132, 143]",25,62,2,39,True,0,39,0.12109375
train,open_room,12,0,open_room_12,0.05,144,4.976733742420574,12.0,0.7346938775510204,0.0,3.6666666666666665,0.5270462766947299,0.0,0.9722222222222222,0.027777777777777776,0.0,0.8402777777777778,22.0,22.0,11.0,1.1,33.33333333333331,39,4.887333415799844e-07,True,0.016726496047340333,74,39,"[0, 132, 143]",37,73,-2,34,True,0,34,0.142578125
train,open_room,12,0,open_room_12,0.1,144,4.976733742420574,12.0,0.7346938775510204,0.0,3.6666666666666665,0.5270462766947299,0.0,0.9722222222222222,0.027777777777777776,0.0,0.8402777777777778,22.0,22.0,11.0,2.2,33.33333333333331,46,9.959839167555235e-07,True,0.01680563995614648,88,46,"[0, 132, 143]",49,85,3,39,True,0,39,0.166015625
train,open_room,16,0,open_room_16,0.0,256,5.54907608489522,16.0,0.7901234567901234,0.0,3.75,0.46770717334674267,0.0,0.984375,0.015625,0.0,0.87890625,30.0,30.0,15.0,0.0,33.33333333333331,31,0.0,True,0.02399866806808859,58,31,"[0, 240, 255]",33,69,2,38,True,0,38,0.134765625
train,open_room,16,0,open_room_16,0.05,256,5.54907608489522,16.0,0.7901234567901234,0.0,3.75,0.46770717334674267,0.0,0.984375,0.015625,0.0,0.87890625,30.0,30.0,15.0,1.5,33.33333333333331,48,7.237355067087823e-07,True,0.0269953899551183,94,48,"[0, 240, 255]",45,82,-3,34,True,0,34,0.16015625
train,open_room,16,0,open_room_16,0.1,256,5.54907608489522,16.0,0.7901234567901234,0.0,3.75,0.46770717334674267,0.0,0.984375,0.015625,0.0,0.87890625,30.0,30.0,15.0,3.0,33.33333333333331,57,8.819082191724754e-07,True,0.027261647977866232,110,57,"[0, 240, 255]",58,95,1,38,True,0,38,0.185546875
train,four_rooms,9,0,four_rooms_9,0.0,68,4.23410650459726,8.246211251235321,0.5619834710743802,0.0,3.0588235294117645,0.8022459821756385,0.0,0.7058823529411765,0.23529411764705882,0.0,0.5441176470588235,16.0,16.0,12.0,0.0,33.33333333333331,17,0.0,True,0.007401050068438053,30,17,"[0, 25, 64, 67]",18,54,1,37,True,0,37,0.10546875
train,four_rooms,9,0,four_rooms_9,0.05,68,4.23410650459726,8.246211251235321,0.5619834710743802,0.0,3.0588235294117645,0.8022459821756385,0.0,0.7058823529411765,0.23529411764705882,0.0,0.5441176470588235,16.0,16.0,12.0,0.8,33.33333333333331,32,5.269616426472879e-07,True,0.008583615999668837,60,32,"[0, 25, 38, 64, 67]",29,65,-3,33,True,0,33,0.126953125
train,four_rooms,9,0,four_rooms_9,0.1,68,4.23410650459726,8.246211251235321,0.5619834710743802,0.0,3.0588235294117645,0.8022459821756385,0.0,0.7058823529411765,0.23529411764705882,0.0,0.5441176470588235,16.0,16.0,12.0,1.6,33.33333333333331,39,5.713588409665802e-07,True,0.00891304505057633,74,39,"[0, 25, 28, 29, 38, 39, 64, 67]",39,76,0,37,True,0,37,0.1484375
train,four_rooms,11,0,four_rooms_11,0.0,104,4.653960350157523,10.198039027185569,0.6153846153846154,0.0,3.230769230769231,0.7497534111391512,0.0,0.8076923076923077,0.15384615384615385,0.0,0.625,20.0,20.0,14.0,0.0,33.33333333333331,21,0.0,True,0.010615054052323103,38,21,"[0, 41, 99, 103]",25,61,4,40,True,0,40,0.119140625
train,four_rooms,11,0,four_rooms_11,0.05,104,4.653960350157523,10.198039027185569,0.6153846153846154,0.0,3.230769230769231,0.7497534111391512,0.0,0.8076923076923077,0.15384615384615385,0.0,0.625,20.0,20.0,14.0,1.0,33.33333333333331,37,5.496304760340772e-07,True,0.012150897062383592,70,37,"[0, 41, 99, 103]",36,73,-1,36,True,0,36,0.142578125
train,four_rooms,11,0,four_rooms_11,0.1,104,4.653960350157523,10.198039027185569,0.6153846153846154,0.0,3.230769230769231,0.7497534111391512,0.0,0.8076923076923077,0.15384615384615385,0.0,0.625,20.0,20.0,14.0,2.0,33.33333333333331,45,6.487286078999416e-07,True,0.012412907090038061,86,45,"[0, 41, 99, 103]",48,84,3,39,True,0,39,0.1640625
