map_family,map_size,map,slip,top_m,n_states,n_basis,n_boundary,state_compression_ratio,boundary,candidate_order,group_all_feasible,n_groups_feasible,group_total_violation,group_max_violation,group_risks,group_violations,operator_time_sec,audit_time_sec,n_green_response_passes,n_candidate_insertion_evaluations,n_beam_expansions
open_room,12,open_room_12,0.05,0,144,23,2,72.0,"[0, 143]","[1, 13, 130, 91, 125, 2, 11, 18, 22, 38, 57, 65, 70, 72, 77, 78, 104, 111, 121, 132, 138]",False,0,174.8841889328305,58.29472964427684,"{""stochastic"": 77.72630619236912, ""topology"": 77.72630619236912, ""value"": 77.72630619236912}","{""stochastic"": 58.29472964427684, ""topology"": 58.29472964427684, ""value"": 58.29472964427684}",4.658552892971784,4.9878390959929675,6,0,0
open_room,12,open_room_12,0.05,1,144,23,3,48.0,"[0, 1, 143]","[1, 13, 130, 91, 125, 2, 11, 18, 22, 38, 57, 65, 70, 72, 77, 78, 104, 111, 121, 132, 138]",False,0,210.13372283855153,70.11019770475441,"{""stochastic"": 89.5171336352283, ""topology"": 89.5417742528467, ""value"": 89.36954459475338}","{""stochastic"": 70.08555708713602, ""topology"": 70.11019770475441, ""value"": 69.9379680466611}",4.658552892971784,5.262353542959318,6,0,0
open_room,12,open_room_12,0.05,2,144,23,4,36.0,"[0, 1, 13, 143]","[1, 13, 130, 91, 125, 2, 11, 18, 22, 38, 57, 65, 70, 72, 77, 78, 104, 111, 121, 132, 138]",True,3,0.0,0.0,"{""stochastic"": 5.883071976005255, ""topology"": 5.883071976005255, ""value"": 0.0}","{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}",4.658552892971784,5.584957143059,6,0,0
open_room,12,open_room_12,0.05,3,144,23,5,28.8,"[0, 1, 13, 130, 143]","[1, 13, 130, 91, 125, 2, 11, 18, 22, 38, 57, 65, 70, 72, 77, 78, 104, 111, 121, 132, 138]",False,1,44.74622507218693,25.314648524097535,"{""stochastic"": 11.789969602153406, ""topology"": 44.746225072189816, ""value"": 38.86315309618168}","{""stochastic"": 0.0, ""topology"": 25.314648524097535, ""value"": 19.431576548089396}",4.658552892971784,6.341921375016682,6,0,0
open_room,12,open_room_12,0.05,4,144,23,6,24.0,"[0, 1, 13, 91, 130, 143]","[1, 13, 130, 91, 125, 2, 11, 18, 22, 38, 57, 65, 70, 72, 77, 78, 104, 111, 121, 132, 138]",False,1,44.74622507218693,25.314648524097535,"{""stochastic"": 11.789969602153406, ""topology"": 44.746225072189816, ""value"": 38.86315309618168}","{""stochastic"": 0.0, ""topology"": 25.314648524097535, ""value"": 19.431576548089396}",4.658552892971784,6.689740182948299,6,0,0
open_room,12,open_room_12,0.05,5,144,23,7,20.571428571428573,"[0, 1, 13, 91, 125, 130, 143]","[1, 13, 130, 91, 125, 2, 11, 18, 22, 38, 57, 65, 70, 72, 77, 78, 104, 111, 121, 132, 138]",False,1,44.74622507218693,25.314648524097535,"{""stochastic"": 11.789969600132537, ""topology"": 44.746225072189816, ""value"": 38.86315309618168}","{""stochastic"": 0.0, ""topology"": 25.314648524097535, ""value"": 19.431576548089396}",4.658552892971784,7.2861707110423595,6,0,0
open_room,12,open_room_12,0.05,6,144,23,8,18.0,"[0, 1, 2, 13, 91, 125, 130, 143]","[1, 13, 130, 91, 125, 2, 11, 18, 22, 38, 57, 65, 70, 72, 77, 78, 104, 111, 121, 132, 138]",False,1,44.771316053126654,25.339739505048804,"{""stochastic"": 11.815060581083802, ""topology"": 44.771316053141085, ""value"": 38.86315309617013}","{""stochastic"": 0.0, ""topology"": 25.339739505048804, ""value"": 19.43157654807785}",4.658552892971784,8.143910140963271,6,0,0
open_room,12,open_room_12,0.05,8,144,23,10,14.4,"[0, 1, 2, 11, 13, 18, 91, 125, 130, 143]","[1, 13, 130, 91, 125, 2, 11, 18, 22, 38, 57, 65, 70, 72, 77, 78, 104, 111, 121, 132, 138]",False,1,167.24384732251983,147.81227076960482,"{""stochastic"": 17.778707742438854, ""topology"": 167.2438473176971, ""value"": 38.86315310100728}","{""stochastic"": 0.0, ""topology"": 147.81227076960482, ""value"": 19.431576552914997}",4.658552892971784,9.92868887691293,6,0,0
open_room,12,open_room_12,0.05,10,144,23,12,12.0,"[0, 1, 2, 11, 13, 18, 22, 38, 91, 125, 130, 143]","[1, 13, 130, 91, 125, 2, 11, 18, 22, 38, 57, 65, 70, 72, 77, 78, 104, 111, 121, 132, 138]",False,0,1135.3207528540702,939.5995560212616,"{""stochastic"": 195.64091214326535, ""topology"": 959.0311325693539, ""value"": 38.94343778572785}","{""stochastic"": 176.20933559517306, ""topology"": 939.5995560212616, ""value"": 19.51186123763557}",4.658552892971784,12.225160353933461,6,0,0
open_room,12,open_room_12,0.05,12,144,23,14,10.285714285714286,"[0, 1, 2, 11, 13, 18, 22, 38, 57, 65, 91, 125, 130, 143]","[1, 13, 130, 91, 125, 2, 11, 18, 22, 38, 57, 65, 70, 72, 77, 78, 104, 111, 121, 132, 138]",False,0,1252.06845096605,1056.189015309813,"{""stochastic"": 195.79649757035716, ""topology"": 1075.6205918579053, ""value"": 38.946091182064634}","{""stochastic"": 176.36492102226487, ""topology"": 1056.189015309813, ""value"": 19.514514633972354}",4.658552892971784,14.686726276995614,6,0,0
