map_family,map_size,map,slip,method,n_states,n_boundary,state_compression_ratio,boundary,iterative_candidate_recompute,selection_time_sec,final_kernel_time_sec,graph_solve_time_sec,total_time_sec,sparse_vi_time_sec,operator_speedup_vs_sparse_vi,planning_speedup_vs_sparse_vi,total_speedup_vs_sparse_vi,start_gap,normalized_start_gap,value_gap_max,normalized_value_gap_max,D_occ,D_model,D_audit_cvar95,error,timestamp,candidate_universe_time_sec,probe_build_time_sec,green_message_passing_time_sec,operator_apply_time_sec,threshold_time_sec,total_operator_time_sec,n_probe_anchors,n_operator_selected,probe_anchors,selected_states,selection_reasons,operator_used_steps_max,operator_frontier_max,operator_message_passing_sparse,boundary_jaccard_vs_iterative,selection_speedup_vs_iterative,total_speedup_vs_iterative,boundary_jaccard_vs_exact_search,selection_speedup_vs_exact_search,total_speedup_vs_exact_search
corridor,32,corridor_32,0.0,one_shot_rd_t0p10,32,2,16.0,"[0, 31]",False,0.0007370960665866733,0.004077816032804549,8.491391781717539e-05,0.004899826017208397,0.0008829680737107992,1.197900943630898,10.398390468943866,0.18020396451012297,7.105427357601002e-15,3.488621061101381e-16,7.105427357601002e-15,3.488621061101381e-16,0.0,0.0,0.0,,2026-07-10T21:48:20,0.0007075850153341889,0.0,0.0,0.0,0.0,0.0007370960665866733,0,0,[],[],{},0,0.0,True,1.0,51.84333329595472,8.604681440137176,1.0,50.821283285586105,8.50202841893945
corridor,32,corridor_32,0.0,one_shot_rd_t0p15,32,2,16.0,"[0, 31]",False,0.0006236480548977852,0.004014086094684899,0.00011821591760963202,0.004755950067192316,0.0008829680737107992,1.4158114769643853,7.469113225737518,0.18565545500608274,7.105427357601002e-15,3.488621061101381e-16,7.105427357601002e-15,3.488621061101381e-16,0.0,0.0,0.0,,2026-07-10T21:48:20,0.0005956700770184398,0.0,0.0,0.0,0.0,0.0006236480548977852,0,0,[],[],{},0,0.0,True,1.0,61.274170184741884,8.864988360793376,1.0,60.066198739018304,8.759229903092283
corridor,32,corridor_32,0.0,one_shot_rd_t0p20,32,2,16.0,"[0, 31]",False,0.00044788094237446785,0.003942045965231955,8.327094838023186e-05,0.004473197855986655,0.0008829680737107992,1.9714347947686515,10.603554911840199,0.19739079337371332,7.105427357601002e-15,3.488621061101381e-16,7.105427357601002e-15,3.488621061101381e-16,0.0,0.0,0.0,,2026-07-10T21:48:20,0.0004233510699123144,0.0,0.0,0.0,0.0,0.00044788094237446785,0,0,[],[],{},0,0.0,True,1.0,85.32070341863368,9.425346999518041,1.0,83.63867372899419,9.31290351720337
corridor,32,corridor_32,0.0,endpoints,32,2,16.0,"[0, 31]",False,8.579925633966923e-06,0.003926135948859155,8.432893082499504e-05,0.004019044805318117,0.0008829680737107992,102.91092386806149,10.470523758248433,0.21969600153310812,7.105427357601002e-15,3.488621061101381e-16,7.105427357601002e-15,3.488621061101381e-16,0.0,0.0,0.0,,2026-07-10T21:48:20,,,,,,,,,,,,,,,1.0,4453.828469084544,10.49041352671289,1.0,4366.024789351569,10.36526390326403
corridor,32,corridor_32,0.0,graph_rd_surrogate_joint,32,2,16.0,"[0, 31]",True,0.03821351705119014,0.0038688379572704434,7.908698171377182e-05,0.04216144199017435,0.0008829680737107992,0.02310617137197791,11.164518541198083,0.020942549211589424,7.105427357601002e-15,3.488621061101381e-16,7.105427357601002e-15,3.488621061101381e-16,0.0,0.0,0.0,,2026-07-10T21:48:20,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.9802857967381436,0.988070096271212
corridor,32,corridor_32,0.0,graph_rd_joint,32,2,16.0,"[0, 31]",True,0.03746016800869256,0.00411415402777493,8.413800969719887e-05,0.04165846004616469,0.0008829680737107992,0.02357085193814155,10.494282867974652,0.0211954083932128,7.105427357601002e-15,3.488621061101381e-16,7.105427357601002e-15,3.488621061101381e-16,0.0,0.0,0.0,,2026-07-10T21:48:20,,,,,,,,,,,,,,,1.0,1.020110669079828,1.012073944727008,1.0,1.0,1.0
corridor,32,corridor_32,0.05,one_shot_rd_t0p10,32,2,16.0,"[0, 31]",False,0.00045939499977976084,0.005284935003146529,0.00010005803778767586,0.005844388040713966,0.001380939967930317,3.0059969494495045,13.801389658077097,0.2362847843624048,1.7266721386022255e-08,8.149958110407568e-10,1.7266721386022255e-08,8.149958110407568e-10,0.0,0.15547817256338592,0.0,,2026-07-10T21:48:20,0.0004344410263001919,0.0,0.0,0.0,0.0,0.00045939499977976084,0,0,[],[],{},0,0.0,True,1.0,132.51359735115517,11.247701831473478,1.0,131.63156126201258,11.251386558042421
corridor,32,corridor_32,0.05,one_shot_rd_t0p15,32,2,16.0,"[0, 31]",False,0.00044194201473146677,0.004948041052557528,8.175789844244719e-05,0.005471740965731442,0.001380939967930317,3.124708495455914,16.890600103944923,0.2523767072635387,1.7266721386022255e-08,8.149958110407568e-10,1.7266721386022255e-08,8.149958110407568e-10,0.0,0.15547817256338592,0.0,,2026-07-10T21:48:20,0.0004190349718555808,0.0,0.0,0.0,0.0,0.00044194201473146677,0,0,[],[],{},0,0.0,True,1.0,137.7467676680137,12.013714552840282,1.0,136.8298985868434,12.017650223777139
corridor,32,corridor_32,0.05,one_shot_rd_t0p20,32,2,16.0,"[0, 31]",False,0.0004376879660412669,0.005090303951874375,8.243403863161802e-05,0.00561042595654726,0.001380939967930317,3.155078674930068,16.752060081654786,0.24613816822923867,1.7266721386022255e-08,8.149958110407568e-10,1.7266721386022255e-08,8.149958110407568e-10,0.0,0.15547817256338592,0.0,,2026-07-10T21:48:20,0.00041297602001577616,0.0,0.0,0.0,0.0,0.0004376879660412669,0,0,[],[],{},0,0.0,True,1.0,139.08557865218896,11.716745676443262,1.0,138.15979818661594,11.720584060918812
corridor,32,corridor_32,0.05,endpoints,32,2,16.0,"[0, 31]",False,7.814029231667519e-06,0.004977633012458682,0.00012103002518415451,0.005106477066874504,0.001380939967930317,176.72572330979412,11.409895733138393,0.2704290942357139,1.7266721386022255e-08,8.149958110407568e-10,1.7266721386022255e-08,8.149958110407568e-10,0.0,0.15547817256338592,0.0,,2026-07-10T21:48:20,,,,,,,,,,,,,,,1.0,7790.613807693454,12.873049894966988,1.0,7738.7579780101905,12.877267082591803
