map,slip,gamma,candidate_kind,candidate_top_fraction,residual_kind,residual_top_fraction,soft_kind,soft_top_fraction,local_horizon,hidden_threshold,soft_threshold,residual_threshold,residual_threshold_mode,compute_struct_distinct,struct_mdl_node_cost_weight,struct_mdl_edge_cost_weight,struct_mdl_exposure_bit_weight,struct_mdl_min_gain,residual_reward_weight,residual_hit_weight,value_scale_task,soft_cost_weight,n_states,n_boundary,n_candidate_boundary,n_pair_options,n_edges_valid,invalid_hidden_count,hidden_mass_total,hidden_mass_max,soft_cost_all_total,soft_cost_valid_total,soft_cost_max,soft_over_threshold_count,model_residual_valid_total,model_residual_max,residual_threshold_metric_valid_total,residual_threshold_metric_max,residual_backup_value_norm_valid_total,residual_backup_value_norm_max,struct_hidden_prob_valid_total,struct_hidden_prob_max,struct_hidden_prob_cvar95,struct_hidden_bits_valid_total,struct_hidden_bits_max,struct_hidden_bits_cvar95,struct_hidden_distinct_valid_total,struct_hidden_distinct_max,struct_hidden_distinct_cvar95,struct_hidden_distinct_bits_valid_total,struct_hidden_distinct_bits_max,struct_hidden_distinct_bits_cvar95,struct_nohit_prob_max,beta_global,l_gamma_row_max,residual_hidden_mass_max,residual_over_threshold_count,feasible,start_value_smdp,start_value_primitive,start_gap,value_gap_max,start_best_option,policy_smdp_json,boundary_states_json,policy_tv_total,policy_regions_total,policy_tv_mean,policy_regions_mean,target_policy_tv_total,target_policy_regions_total,target_policy_tv_mean,target_policy_regions_mean,occupancy_mass_total,occupancy_struct_hidden_distinct,occupancy_struct_hidden_distinct_bits,occupancy_model_residual,occupancy_soft_cost,hard_split_candidate_state,hard_split_candidate_coord,hard_split_candidate_score,residual_split_candidate_state,residual_split_candidate_coord,residual_split_candidate_score,struct_mdl_split_candidate_state,struct_mdl_split_candidate_coord,struct_mdl_split_gain,struct_mdl_split_benefit,struct_mdl_split_cost,soft_split_candidate_state,soft_split_candidate_coord,soft_split_candidate_score,description_length_proxy,success_rate,primitive_steps_mean,primitive_steps_success_mean,option_steps_mean,hidden_audit_crossings_mean,hidden_audit_distinct_mean,method,method_family,audit_lens,audit_boundary_size,training_samples,kernel_estimation_rollouts,eval_rollouts,model_queries_proxy,constructor_stop_reason,constructor_step,constructor_last_split_source,constructor_last_split_state,constructor_last_split_score,pareto_frontier,pareto_dominated_by
maze,0.05,0.97,betweenness_4,0.0,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,struct_distinct,True,1.0,0.5,1.0,0.0,0.05,0.0,23.006540118833655,1.0,81,4,4,12,12,0,0.0,0.0,21.061158717478065,21.061158717478065,2.9280735608534396,0,13.226892121704008,1.3277651076521972,55.054833899851026,12.810350046003434,41.11154176798025,4.664655758373095,12.0,1.0,1.0,478.35764566378026,39.86313713864835,39.86313713864835,55.054833899851026,12.810350046003434,12.810350046003434,1241.1130525092983,279.0428483295397,279.0428483295397,3.3306690738754696e-16,0.7851494807942014,21.643928332637653,1.0,12,True,-23.006540118862866,-23.006540118833655,2.921041186709772e-11,2.921041186709772e-11,fb_000_to_003,"{""0"": ""fb_000_to_003"", ""1"": ""fb_001_to_002"", ""2"": ""fb_002_to_003"", ""3"": ""TERMINAL""}","[0, 47, 52, 80]",759.0,393.0,63.25,32.75,253.00000000000006,131.0,63.250000000000014,32.75,2.9655172413793056,11.069288871054406,131.2985043720211,3.252107790862797,4.875705285653442,,,0.0,23,"(3, 1)",20.981016056417417,45,"(5, 5)",17.64297699155359,27.982826994438213,10.339850002884624,,,0.0,169.98805083918208,1.0,38.75,38.75,3.0,11.81,11.0,betweenness_4,option_algorithm:bottleneck_betweenness,turn_articulation,30,0,0,100,163.0,,,,,,False,random_landmarks_4
maze,0.05,0.97,betweenness_8,0.0,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,struct_distinct,True,1.0,0.5,1.0,0.0,0.05,0.0,23.006540118833655,1.0,81,8,8,56,56,0,0.0,0.0,42.325907477129384,42.325907477129384,2.928069460267256,0,28.060891344510203,1.327196897961231,83.79539408319582,12.793108666686171,180.1018406651102,5.851762388990236,23.834248092348346,1.0,1.0,616.6248914822839,39.86313713864835,39.86313713864835,83.79539408319582,12.793108666686171,8.304601211680113,1905.466313264954,239.17882296861075,239.1788229686055,3.3306690738754696e-16,0.97,21.615517848089347,1.0,24,True,-23.006540118859014,-23.006540118833655,2.5359270239277976e-11,2.5359270239277976e-11,fb_000_to_007,"{""0"": ""fb_000_to_007"", ""1"": ""fb_001_to_002"", ""2"": ""fb_002_to_003"", ""3"": ""fb_003_to_004"", ""4"": ""fb_004_to_005"", ""5"": ""fb_005_to_006"", ""6"": ""fb_006_to_007"", ""7"": ""TERMINAL""}","[0, 45, 46, 47, 52, 53, 54, 80]",3553.6666666666674,1841.0,63.45833333333335,32.875,507.66666666666674,263.0,63.45833333333334,32.875,7.0363300492600285,9.103787101856522,51.150555112011936,3.531981669446499,5.0505116018218486,,,0.0,23,"(3, 1)",42.01519472173544,23,"(3, 1)",33.46667375627818,47.80652375916281,14.339850002884624,,,0.0,377.22013215497293,1.0,38.29,38.29,7.06,9.74,9.12,betweenness_8,option_algorithm:bottleneck_betweenness,turn_articulation,30,0,0,100,163.0,,,,,,True,
maze,0.05,0.97,betweenness_12,0.0,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,struct_distinct,True,1.0,0.5,1.0,0.0,0.05,0.0,23.006540118833655,1.0,81,12,12,132,132,0,0.0,0.0,63.81773186969225,63.81773186969225,2.9128921300788657,0,36.0215150628299,1.312897299929429,96.8281360766845,12.77586726491043,334.26380305549014,3.8441962069033795,24.76744817429553,1.0,1.0,520.4947554836674,39.86313713864835,39.86313713864835,96.8281360766845,12.77586726491043,6.130543520498875,2139.4447876921054,199.3156858299624,199.31568582995558,3.3306690738754696e-16,0.97,21.585194410410242,1.0,25,True,-23.006540118853835,-23.006540118833655,2.0179413695586845e-11,2.0179413695586845e-11,fb_000_to_011,"{""0"": ""fb_000_to_011"", ""1"": ""fb_001_to_002"", ""2"": ""fb_002_to_003"", ""3"": ""fb_003_to_004"", ""4"": ""fb_004_to_005"", ""5"": ""fb_005_to_006"", ""6"": ""fb_006_to_008"", ""7"": ""fb_007_to_001"", ""8"": ""fb_008_to_010"", ""9"": ""fb_009_to_001"", ""10"": ""fb_010_to_011"", ""11"": ""TERMINAL""}","[0, 45, 46, 47, 52, 53, 54, 59, 62, 68, 76, 80]",8385.66666666667,4345.0,63.5277777777778,32.916666666666664,762.3333333333333,395.0,63.52777777777777,32.916666666666664,11.107758427781253,7.137962166509032,39.457015488363375,2.8802117313859563,5.2298448338843375,,,0.0,23,"(3, 1)",55.049374796549465,23,"(3, 1)",41.53562941176425,59.87547941464887,18.339850002884624,,,0.0,611.4059135991888,1.0,38.79,38.79,10.98,7.79,7.22,betweenness_12,option_algorithm:bottleneck_betweenness,turn_articulation,30,0,0,100,163.0,,,,,,True,
maze,0.05,0.97,betweenness_16,0.0,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,struct_distinct,True,1.0,0.5,1.0,0.0,0.05,0.0,23.006540118833655,1.0,81,16,16,240,240,0,0.0,0.0,56.96458336335974,56.96458336335974,2.8801751742236954,0,51.538757549729034,1.3130240124226782,124.83364107975642,12.775799469496983,607.18449033612,3.8441962069033795,32.70636346255952,1.0,1.0,703.3905996054773,39.86313713864835,39.863137138648355,124.83364107975642,12.775799469496983,5.659481694620349,2781.843611818399,199.3156858299624,190.4210863643475,2.220446049250313e-16,0.97,21.552838535782357,1.0,33,True,-23.006540118814257,-23.006540118833655,1.9397816686250735e-11,1.9397816686250735e-11,fb_000_to_015,"{""0"": ""fb_000_to_015"", ""1"": ""fb_001_to_002"", ""2"": ""fb_002_to_003"", ""3"": ""fb_003_to_004"", ""4"": ""fb_004_to_005"", ""5"": ""fb_005_to_006"", ""6"": ""fb_006_to_008"", ""7"": ""fb_007_to_001"", ""8"": ""fb_008_to_012"", ""9"": ""fb_009_to_001"", ""10"": ""fb_010_to_001"", ""11"": ""fb_011_to_001"", ""12"": ""fb_012_to_013"", ""13"": ""fb_013_to_014"", ""14"": ""fb_014_to_015"", ""15"": ""TERMINAL""}","[0, 45, 46, 47, 52, 53, 54, 59, 62, 66, 67, 68, 76, 77, 78, 80]",15450.999999999998,8010.0,64.37916666666666,33.375,1030.0666666666668,534.0,64.37916666666668,33.375,15.17917600675822,7.138264648481145,39.457451943597434,3.116902590479093,3.3874492957078575,,,0.0,23,"(3, 1)",75.04939023515003,64,"(7, 1)",57.5356515622908,79.87550156517543,22.339850002884624,,,0.0,864.5166742464221,1.0,38.72,38.72,15.48,7.58,7.02,betweenness_16,option_algorithm:bottleneck_betweenness,turn_articulation,30,0,0,100,163.0,,,,,,True,
maze,0.05,0.97,betweenness_24,0.0,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,struct_distinct,True,1.0,0.5,1.0,0.0,0.05,0.0,23.006540118833655,1.0,81,24,24,552,552,0,0.0,0.0,59.54313819230704,59.54313819230704,2.4215832102296195,0,86.19416631892214,1.2998519417789938,150.27787115363648,12.000254721891812,1354.7998381289729,5.382018699642853,48.95069095094459,1.0,0.9969211822660098,1069.7158012604577,39.86313713864835,33.790787827305344,150.27787115363648,12.000254721891812,3.8532453268251197,2819.4020392273055,210.28559181001773,93.29250661480843,3.3306690738754696e-16,0.97,20.903807573726763,1.0,49,True,-23.006540118821512,-23.006540118833655,1.2143175354140112e-11,1.2143175354140112e-11,fb_000_to_023,"{""0"": ""fb_000_to_023"", ""1"": ""fb_001_to_003"", ""2"": ""fb_002_to_001"", ""3"": ""fb_003_to_004"", ""4"": ""fb_004_to_005"", ""5"": ""fb_005_to_006"", ""6"": ""fb_006_to_007"", ""7"": ""fb_007_to_008"", ""8"": ""fb_008_to_009"", ""9"": ""fb_009_to_003"", ""10"": ""fb_010_to_003"", ""11"": ""fb_011_to_003"", ""12"": ""fb_012_to_009"", ""13"": ""fb_013_to_001"", ""14"": ""fb_014_to_003"", ""15"": ""fb_015_to_003"", ""16"": ""fb_016_to_003"", ""17"": ""fb_017_to_003"", ""18"": ""fb_018_to_003"", ""19"": ""fb_019_to_009"", ""20"": ""fb_020_to_009"", ""21"": ""fb_021_to_009"", ""22"": ""fb_022_to_009"", ""23"": ""TERMINAL""}","[0, 42, 43, 45, 46, 47, 52, 53, 54, 57, 58, 59, 62, 63, 64, 65, 66, 67, 68, 76, 77, 78, 79, 80]",35492.066666666666,18400.0,64.29722222222222,33.333333333333336,1543.1333333333337,800.0,64.29722222222223,33.333333333333336,21.32079081965351,5.172460755317165,27.74107640421404,3.3945783936250686,2.375634641770239,,,0.0,23,"(3, 1)",63.10263882022932,44,"(5, 3)",35.66986019894606,66.00971020183069,30.339850002884624,,,0.0,1480.963971177896,1.0,38.91,38.91,21.48,5.61,5.1,betweenness_24,option_algorithm:bottleneck_betweenness,turn_articulation,30,0,0,100,163.0,,,,,,True,
maze,0.05,0.97,coverage_4,0.0,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,struct_distinct,True,1.0,0.5,1.0,0.0,0.05,0.0,23.006540118833655,1.0,81,4,4,12,12,0,0.0,0.0,23.325609413509618,23.325609413509618,5.633864349512136,3,13.89608986733123,1.1832610844636067,69.10540434016416,7.00061566878479,31.0240316689721,2.6358677332401834,11.999999999999998,1.0,1.0,478.35764566378026,39.86313713864835,39.86313713864835,69.10540434016416,7.00061566878479,7.00061566878479,1831.397503088177,279.0428483295397,279.0428483295397,3.3306690738754696e-16,0.5848161875389968,14.291964756100304,1.0,12,True,-23.006540118862866,-23.006540118833655,2.921041186709772e-11,2.921041186709772e-11,fb_000_to_003,"{""0"": ""fb_000_to_003"", ""1"": ""fb_001_to_003"", ""2"": ""fb_002_to_003"", ""3"": ""TERMINAL""}","[0, 32, 47, 80]",758.6999999999999,393.0,63.224999999999994,32.75,252.90000000000003,131.0,63.22500000000001,32.75,1.9999999999999982,11.051750316472225,135.90885245676134,2.3534075406955832,4.955716316923337,,,0.0,23,"(3, 1)",13.845462992265213,34,"(3, 15)",10.577892366601713,20.917742369486337,10.339850002884624,71,"(7, 9)",1.662248546130785,172.90169928084086,1.0,38.34,38.34,2.0,11.83,11.07,coverage_4,option_algorithm:topological_coverage,turn_articulation,30,0,0,100,163.0,,,,,,True,
maze,0.05,0.97,coverage_8,0.0,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,struct_distinct,True,1.0,0.5,1.0,0.0,0.05,0.0,23.006540118833655,1.0,81,8,8,56,56,0,0.0,0.0,59.547408876440926,59.547408876440926,5.633084504517388,9,60.215469713595105,1.177158620247444,181.06737805388255,4.017543861311612,232.62778149801997,4.462152399045356,56.0,1.0,1.0,2232.3356797643087,39.86313713864835,39.86313713864835,181.06737805388255,4.017543861311612,4.017543861311612,5360.909072212669,159.478083649099,159.478083649099,3.3306690738754696e-16,0.762020194474489,13.986841545292211,1.0,56,True,-23.00654011886287,-23.006540118833655,2.921396458077652e-11,2.921396458077652e-11,fb_000_to_007,"{""0"": ""fb_000_to_007"", ""1"": ""fb_001_to_002"", ""2"": ""fb_002_to_004"", ""3"": ""fb_003_to_002"", ""4"": ""fb_004_to_002"", ""5"": ""fb_005_to_002"", ""6"": ""fb_006_to_004"", ""7"": ""TERMINAL""}","[0, 19, 22, 32, 47, 51, 58, 80]",3552.9666666666676,1841.0,63.44583333333335,32.875,507.5666666666667,263.0,63.44583333333334,32.875,3.051129607609985,11.069909755073272,171.11159290902947,3.387176782812762,4.9992589048793965,,,0.0,57,"(5, 19)",15.930465169892145,42,"(5, 1)",17.70156016858354,32.041410171468165,14.339850002884624,79,"(7, 18)",3.1011581477219017,426.5762119233693,1.0,38.36,38.36,3.06,11.96,11.1,coverage_8,option_algorithm:topological_coverage,turn_articulation,30,0,0,100,163.0,,,,,,True,
maze,0.05,0.97,coverage_12,0.0,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,struct_distinct,True,1.0,0.5,1.0,0.0,0.05,0.0,23.006540118833655,1.0,81,12,12,132,132,0,0.0,0.0,94.19993367010525,94.19993367010525,4.403576108081577,13,124.18873812877175,1.1090634728102078,257.4555531219078,4.017543861311612,735.3680571008537,8.79634812547901,120.98614854405861,1.0,1.0,4624.128429439217,39.86313713864835,39.86313713864835,257.4555531219078,4.017543861311612,4.017543859432604,6588.647890416808,159.478083649099,159.47078794687246,4.440892098500626e-16,0.8855844880018522,10.715850928621272,1.0,121,True,-23.006540118862866,-23.006540118833655,2.921041186709772e-11,2.921041186709772e-11,fb_000_to_011,"{""0"": ""fb_000_to_011"", ""1"": ""fb_001_to_002"", ""2"": ""fb_002_to_003"", ""3"": ""fb_003_to_005"", ""4"": ""fb_004_to_002"", ""5"": ""fb_005_to_007"", ""6"": ""fb_006_to_003"", ""7"": ""fb_007_to_005"", ""8"": ""fb_008_to_003"", ""9"": ""fb_009_to_007"", ""10"": ""fb_010_to_003"", ""11"": ""TERMINAL""}","[0, 4, 8, 12, 19, 22, 32, 47, 51, 58, 72, 80]",8425.633333333335,4367.0,63.83055555555557,33.083333333333336,765.9666666666667,397.0,63.830555555555556,33.083333333333336,4.068668265320367,11.035437614759154,192.8817688380742,4.261622124587723,4.772013374574755,,,0.0,57,"(5, 19)",27.913817192600064,42,"(5, 1)",29.75629552965328,48.0961455325379,18.339850002884624,52,"(5, 13)",5.165737795941606,731.6820051322103,1.0,38.59,38.59,4.1,11.76,11.07,coverage_12,option_algorithm:topological_coverage,turn_articulation,30,0,0,100,163.0,,,,,,True,
maze,0.05,0.97,coverage_16,0.0,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,struct_distinct,True,1.0,0.5,1.0,0.0,0.05,0.0,23.006540118833655,1.0,81,16,16,240,240,0,0.0,0.0,130.7275415052277,130.7275415052277,2.927824015737391,0,225.51227994514218,1.106982518053394,337.19405743130557,3.0175492544644693,1632.288583152934,8.79634862031585,224.98737931317274,1.0000000000000002,1.0,8703.771936413095,39.86313713864835,39.863137138648355,337.19405743130557,3.0175492544644693,3.0104934110542025,8012.880185408846,87.5444272098199,83.64811829079007,4.440892098500626e-16,0.8855844973175693,7.949934679458674,1.0000000000000002,225,True,-23.006540118862866,-23.006540118833655,2.921041186709772e-11,2.921041186709772e-11,fb_000_to_015,"{""0"": ""fb_000_to_015"", ""1"": ""fb_001_to_002"", ""2"": ""fb_002_to_003"", ""3"": ""fb_003_to_005"", ""4"": ""fb_004_to_002"", ""5"": ""fb_005_to_007"", ""6"": ""fb_006_to_007"", ""7"": ""fb_007_to_003"", ""8"": ""fb_008_to_003"", ""9"": ""fb_009_to_007"", ""10"": ""fb_010_to_005"", ""11"": ""fb_011_to_003"", ""12"": ""fb_012_to_007"", ""13"": ""fb_013_to_002"", ""14"": ""fb_014_to_003"", ""15"": ""TERMINAL""}","[0, 4, 8, 12, 19, 22, 25, 29, 32, 41, 47, 51, 58, 62, 72, 80]",15281.499999999998,7920.0,63.67291666666666,33.0,1018.7666666666669,528.0,63.67291666666668,33.0,6.068371292525045,10.053586628076662,206.4899194103308,6.135600333448394,5.397240653418724,,,0.0,54,"(5, 15)",20.79099162620867,64,"(7, 1)",17.08737748841108,39.4272274912957,22.339850002884624,,,0.0,1106.9931547837032,1.0,38.41,38.41,6.06,10.62,10.02,coverage_16,option_algorithm:topological_coverage,turn_articulation,30,0,0,100,163.0,,,,,,True,
maze,0.05,0.97,coverage_24,0.0,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,struct_distinct,True,1.0,0.5,1.0,0.0,0.05,0.0,23.006540118833655,1.0,81,24,24,552,552,0,0.0,0.0,198.3541286200747,198.3541286200747,2.927824015737391,0,361.97819790982766,1.042807987293199,453.23701386348876,2.017549254493126,3453.9018437007153,16.612980417825543,340.0358915380344,1.0000000000000002,1.0,10394.66214917508,39.86313713864835,39.863137138648355,453.23701386348876,2.017549254493126,2.01754780003368,8591.575251595266,58.37998576079494,55.86208956551439,5.551115123125783e-16,0.9409300723389595,4.788405059020668,1.0000000000000002,340,True,-23.00654011886278,-23.006540118833655,2.9125146738806507e-11,2.9125146738806507e-11,fb_000_to_023,"{""0"": ""fb_000_to_023"", ""1"": ""fb_001_to_002"", ""2"": ""fb_002_to_003"", ""3"": ""fb_003_to_004"", ""4"": ""fb_004_to_005"", ""5"": ""fb_005_to_006"", ""6"": ""fb_006_to_007"", ""7"": ""fb_007_to_009"", ""8"": ""fb_008_to_003"", ""9"": ""fb_009_to_013"", ""10"": ""fb_010_to_011"", ""11"": ""fb_011_to_013"", ""12"": ""fb_012_to_003"", ""13"": ""fb_013_to_006"", ""14"": ""fb_014_to_006"", ""15"": ""fb_015_to_013"", ""16"": ""fb_016_to_006"", ""17"": ""fb_017_to_005"", ""18"": ""fb_018_to_013"", ""19"": ""fb_019_to_003"", ""20"": ""fb_020_to_009"", ""21"": ""fb_021_to_006"", ""22"": ""fb_022_to_004"", ""23"": ""TERMINAL""}","[0, 2, 4, 6, 8, 10, 12, 14, 19, 22, 23, 25, 26, 29, 32, 41, 47, 51, 58, 62, 67, 72, 75, 80]",35489.76666666668,18400.0,64.29305555555557,33.333333333333336,1543.0333333333338,800.0,64.29305555555557,33.333333333333336,9.087216149197424,8.087767484352982,135.7095588897163,6.37596493793524,5.487185914336709,,,0.0,54,"(5, 15)",31.609794959824473,35,"(3, 17)",16.39879765459643,46.73864765748105,30.339850002884624,,,0.0,1895.5389931965694,1.0,38.25,38.25,9.17,8.6,8.08,coverage_24,option_algorithm:topological_coverage,turn_articulation,30,0,0,100,163.0,,,,,,False,graph_rd_joint
