suite,expected_shards,discovered_dirs,successful_shards,missing_shards,malformed_markers,source_fingerprints,rows
planner,108,108,108,0,0,e48c3cde9db84c1e5581dcd9ccb5c43355ab8d91fdd9876bc80e9885c660065a,405
abstraction,72,72,72,0,0,e48c3cde9db84c1e5581dcd9ccb5c43355ab8d91fdd9876bc80e9885c660065a,1560
solver_oracle,108,108,108,0,0,e48c3cde9db84c1e5581dcd9ccb5c43355ab8d91fdd9876bc80e9885c660065a,2520
general_env,35,35,35,0,0,e48c3cde9db84c1e5581dcd9ccb5c43355ab8d91fdd9876bc80e9885c660065a,315
end_to_end,36,36,36,0,0,e48c3cde9db84c1e5581dcd9ccb5c43355ab8d91fdd9876bc80e9885c660065a,162
budget_recovery,7,7,7,0,0,e48c3cde9db84c1e5581dcd9ccb5c43355ab8d91fdd9876bc80e9885c660065a,38
general_env_taxi,5,5,5,0,0,e48c3cde9db84c1e5581dcd9ccb5c43355ab8d91fdd9876bc80e9885c660065a,45
solver_oracle_four_rooms,9,9,9,0,0,e48c3cde9db84c1e5581dcd9ccb5c43355ab8d91fdd9876bc80e9885c660065a,72
planner_paired,135,135,135,0,0,96e5605b9decb15785911339a7b19022d2fac3c2448065c4805ee563ec51e37c,405
budget_recovery_actual,7,7,7,0,0,08da5d44d72304df0b8e50595c83686a6e126dddf5d224a6795a83c1f1d6b1c1,7
budget_recovery_actual_extended,3,3,3,0,0,f20f4cd32b8f0469a5fe09b1d7313dbc821c292c18e38fda4cec40507345b388,3
end_to_end_converged,36,36,36,0,0,7af24d59cdae4ffa07ad49099c14c9b321d6659022028061f165f56b42c36e49,81
