map_family,map_size,map,slip,method,repeat,pair_id,host,n_states,iterations,state_updates,backup_count,time_sec,bellman_residual,max_value_error,start_value_error,error
corridor,256,corridor_256,0.0,sparse_vectorized_vi,0,corridor_256|0.0|0,node006,256,256,65536,262144,0.013437979039736092,0.0,0.0,0.0,
corridor,256,corridor_256,0.0,gauss_seidel_vi,0,corridor_256|0.0|0,node006,256,256,65536,262144,0.3097543269395828,0.0,0.0,0.0,
corridor,256,corridor_256,0.0,prioritized_sweeping,0,corridor_256|0.0|0,node006,256,32640,32640,522240,0.6970128909451887,0.0,0.0,0.0,
corridor,256,corridor_256,0.0,sparse_vectorized_vi,1,corridor_256|0.0|1,node003,256,256,65536,262144,0.013428965001367033,0.0,0.0,0.0,
corridor,256,corridor_256,0.0,gauss_seidel_vi,1,corridor_256|0.0|1,node003,256,256,65536,262144,0.31928602303378284,0.0,0.0,0.0,
corridor,256,corridor_256,0.0,prioritized_sweeping,1,corridor_256|0.0|1,node003,256,32640,32640,522240,0.6548325909534469,0.0,0.0,0.0,
corridor,256,corridor_256,0.0,sparse_vectorized_vi,2,corridor_256|0.0|2,node001,256,256,65536,262144,0.013337359065189958,0.0,0.0,0.0,
corridor,256,corridor_256,0.0,gauss_seidel_vi,2,corridor_256|0.0|2,node001,256,256,65536,262144,0.3147814229596406,0.0,0.0,0.0,
corridor,256,corridor_256,0.0,prioritized_sweeping,2,corridor_256|0.0|2,node001,256,32640,32640,522240,0.6582612069323659,0.0,0.0,0.0,
corridor,256,corridor_256,0.0,sparse_vectorized_vi,3,corridor_256|0.0|3,node005,256,256,65536,262144,0.013425156008452177,0.0,0.0,0.0,
corridor,256,corridor_256,0.0,gauss_seidel_vi,3,corridor_256|0.0|3,node005,256,256,65536,262144,0.30885494698304683,0.0,0.0,0.0,
corridor,256,corridor_256,0.0,prioritized_sweeping,3,corridor_256|0.0|3,node005,256,32640,32640,522240,0.6557069140253589,0.0,0.0,0.0,
corridor,256,corridor_256,0.0,sparse_vectorized_vi,4,corridor_256|0.0|4,node001,256,256,65536,262144,0.01326356502249837,0.0,0.0,0.0,
corridor,256,corridor_256,0.0,gauss_seidel_vi,4,corridor_256|0.0|4,node001,256,256,65536,262144,0.3093218579888344,0.0,0.0,0.0,
corridor,256,corridor_256,0.0,prioritized_sweeping,4,corridor_256|0.0|4,node001,256,32640,32640,522240,0.6575942710042,0.0,0.0,0.0,
corridor,256,corridor_256,0.05,sparse_vectorized_vi,0,corridor_256|0.05|0,node005,256,307,78592,314368,0.016095826984383166,3.5711877899302635e-11,7.477041208403534e-11,7.477041208403534e-11,
corridor,256,corridor_256,0.05,gauss_seidel_vi,0,corridor_256|0.05|0,node005,256,292,74752,299008,0.36354207003023475,2.4847679469530703e-11,3.923616986867273e-11,3.923616986867273e-11,
corridor,256,corridor_256,0.05,prioritized_sweeping,0,corridor_256|0.05|0,node005,256,118219,118219,2711400,3.8558537919307128,3.4575009522086475e-11,8.702407683358615e-10,7.316032224480296e-10,
corridor,256,corridor_256,0.05,sparse_vectorized_vi,1,corridor_256|0.05|1,node006,256,307,78592,314368,0.016950838966295123,3.5711877899302635e-11,7.477041208403534e-11,7.477041208403534e-11,
corridor,256,corridor_256,0.05,gauss_seidel_vi,1,corridor_256|0.05|1,node006,256,292,74752,299008,0.36611400195397437,2.4847679469530703e-11,3.923616986867273e-11,3.923616986867273e-11,
corridor,256,corridor_256,0.05,prioritized_sweeping,1,corridor_256|0.05|1,node006,256,118219,118219,2711400,3.937372391927056,3.4575009522086475e-11,8.702407683358615e-10,7.316032224480296e-10,
corridor,256,corridor_256,0.05,sparse_vectorized_vi,2,corridor_256|0.05|2,node003,256,307,78592,314368,0.01589729404076934,3.5711877899302635e-11,7.477041208403534e-11,7.477041208403534e-11,
corridor,256,corridor_256,0.05,gauss_seidel_vi,2,corridor_256|0.05|2,node003,256,292,74752,299008,0.36323857004754245,2.4847679469530703e-11,3.923616986867273e-11,3.923616986867273e-11,
corridor,256,corridor_256,0.05,prioritized_sweeping,2,corridor_256|0.05|2,node003,256,118219,118219,2711400,3.999599762959406,3.4575009522086475e-11,8.702407683358615e-10,7.316032224480296e-10,
corridor,256,corridor_256,0.05,sparse_vectorized_vi,3,corridor_256|0.05|3,node001,256,307,78592,314368,0.015959182986989617,3.5711877899302635e-11,7.477041208403534e-11,7.477041208403534e-11,
corridor,256,corridor_256,0.05,gauss_seidel_vi,3,corridor_256|0.05|3,node001,256,292,74752,299008,0.3576159729855135,2.4847679469530703e-11,3.923616986867273e-11,3.923616986867273e-11,
corridor,256,corridor_256,0.05,prioritized_sweeping,3,corridor_256|0.05|3,node001,256,118219,118219,2711400,3.8612626389367506,3.4575009522086475e-11,8.702407683358615e-10,7.316032224480296e-10,
corridor,256,corridor_256,0.05,sparse_vectorized_vi,4,corridor_256|0.05|4,node005,256,307,78592,314368,0.016005630022846162,3.5711877899302635e-11,7.477041208403534e-11,7.477041208403534e-11,
corridor,256,corridor_256,0.05,gauss_seidel_vi,4,corridor_256|0.05|4,node005,256,292,74752,299008,0.3568511550547555,2.4847679469530703e-11,3.923616986867273e-11,3.923616986867273e-11,
corridor,256,corridor_256,0.05,prioritized_sweeping,4,corridor_256|0.05|4,node005,256,118219,118219,2711400,3.962060780962929,3.4575009522086475e-11,8.702407683358615e-10,7.316032224480296e-10,
corridor,256,corridor_256,0.1,sparse_vectorized_vi,0,corridor_256|0.1|0,node001,256,341,87296,349184,0.017639065976254642,5.026379312766949e-11,1.3950796073913807e-10,1.3950796073913807e-10,
