map_family,map_size,map,slip,method,budget_frac,n_states,n_basis,n_boundary,state_compression_ratio,n_edges_valid,group_all_feasible,n_groups_feasible,group_total_violation,group_max_violation,trace_group_all_feasible,trace_group_total_violation,trace_group_max_violation,group_test_bits_mean,group_test_bits_cvar,selection_time_sec,delta_backend,kernel_time_sec,upfront_time_sec,smdp_solve_time_sec,compressed_total_time_sec,full_vi_time_sec,full_vi_backup_count,smdp_edge_backup_count,planning_speedup,total_speedup,break_even_tasks,backup_compression_ratio,start_gap,value_gap_max,first_hit_mode,first_hit_used_steps_max,first_hit_tail_bound_max,stop_reason,probe_cache_hits,probe_cache_misses,probe_cache_hit_rate,probe_calls,unique_probe_evals,probe_context_build_time_sec,probe_green_kernel_time_sec,probe_operator_delta_time_sec,active_weight_time_sec,active_weight_cache_hit_rate,probe_call_overhead_time_sec,candidate_score_time_sec,beam_expansion_time_sec,profiled_selection_time_sec,uncached_probe_eval_time_sec,boundary,error,maze_seed
random_maze,11,random_maze_11_seed0,0.0,endpoints,0.25,49,24,2,24.5,2,False,1,155.45261238473825,77.72630619236912,,,,0.0,0.0,0.0,,0.018192236020695418,0.018192236020695418,0.00014197500422596931,0.018334211024921387,0.042616508988430724,6468,4,300.1690982209919,2.3244255741631212,1,1617.0,7.105427357601002e-15,7.105427357601002e-15,adaptive,31,0.0,,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 48]",,0
random_maze,11,random_maze_11_seed4,0.0,endpoints,0.25,49,22,2,24.5,2,False,1,155.45261238473825,77.72630619236912,,,,0.0,0.0,0.0,,0.014930570992873982,0.014930570992873982,0.0001513230090495199,0.015081894001923501,0.03689352099900134,5684,4,243.80641933262157,2.446212723302262,1,1421.0,7.105427357601002e-15,7.105427357601002e-15,adaptive,27,0.0,,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 48]",,4
random_maze,11,random_maze_11_seed8,0.0,endpoints,0.25,49,24,2,24.5,2,False,1,155.45261238473825,77.72630619236912,,,,0.0,0.0,0.0,,0.01671232600347139,0.01671232600347139,0.00013063702499493957,0.01684296302846633,0.03181706499890424,4900,4,243.5531963479475,1.889042025748685,1,1225.0,7.105427357601002e-15,7.105427357601002e-15,adaptive,23,0.0,,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 48]",,8
random_maze,13,random_maze_13_seed0,0.0,endpoints,0.25,71,33,2,35.5,2,False,1,155.45261238473825,77.72630619236912,,,,0.0,0.0,0.0,,0.028312220005318522,0.028312220005318522,0.00017146801110357046,0.028483688016422093,0.05520200601313263,8236,4,321.9376352350025,1.93802171900304,1,2059.0,7.105427357601002e-15,7.105427357601002e-15,adaptive,23,0.0,,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 70]",,0
random_maze,13,random_maze_13_seed4,0.0,endpoints,0.25,71,31,2,35.5,2,False,1,155.45261238473825,77.72630619236912,,,,0.0,0.0,0.0,,0.029996250988915563,0.029996250988915563,0.00017073500202968717,0.03016698599094525,0.06317551102256402,9372,4,370.02085261684744,2.094193667260177,1,2343.0,7.105427357601002e-15,7.105427357601002e-15,adaptive,23,0.0,,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 70]",,4
random_maze,13,random_maze_13_seed8,0.0,endpoints,0.25,71,34,2,35.5,2,False,1,155.45261238473825,77.72630619236912,,,,0.0,0.0,0.0,,0.026524561981204897,0.026524561981204897,0.00015327098662965,0.026677832967834547,0.0822736059781164,12212,4,536.785257192314,3.0839688544910544,1,3053.0,7.105427357601002e-15,7.105427357601002e-15,adaptive,23,0.0,,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 70]",,8
random_maze,15,random_maze_15_seed0,0.0,endpoints,0.25,97,31,2,48.5,2,False,1,155.45261238473825,77.72630619236912,,,,0.0,0.0,0.0,,0.04778304698993452,0.04778304698993452,0.00016592600150033832,0.04794897299143486,0.1447305599867832,22116,4,872.2596740601147,3.0184287787068236,1,5529.0,1.4210854715202004e-14,1.4210854715202004e-14,adaptive,55,0.0,,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 96]",,0
random_maze,15,random_maze_15_seed4,0.0,endpoints,0.25,97,37,2,48.5,2,False,1,155.45261238473825,77.72630619236912,,,,0.0,0.0,0.0,,0.059185359015828,0.059185359015828,0.00016705199959687889,0.05935241101542488,0.11628680001012981,17460,4,696.1113922057025,1.9592599191953375,1,4365.0,7.105427357601002e-15,7.105427357601002e-15,adaptive,43,0.0,,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 96]",,4
random_maze,15,random_maze_15_seed8,0.0,endpoints,0.25,97,41,2,48.5,2,False,1,155.45261238473825,77.72630619236912,,,,0.0,0.0,0.0,,0.06835868998314254,0.06835868998314254,0.00016005500219762325,0.06851874498534016,0.15501329701510258,22116,4,968.5001711080821,2.2623487492111574,1,5529.0,1.4210854715202004e-14,1.4210854715202004e-14,adaptive,55,0.0,,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 96]",,8
random_maze,17,random_maze_17_seed0,0.0,endpoints,0.25,127,51,2,63.5,2,False,1,155.45261238473825,77.72630619236912,,,,0.0,0.0,0.0,,0.10743879599613138,0.10743879599613138,0.0001703539746813476,0.10760914997081272,0.16150734599796124,23876,4,948.0691383929593,1.5008700100481005,1,5969.0,7.105427357601002e-15,7.105427357601002e-15,adaptive,43,0.0,,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 126]",,0
