map,slip,step,mode,rank,n_boundary,candidate_batch_size,candidate_states,candidate_state,candidate_coords,base_rate_bits,candidate_rate_bits,rate_delta,base_objective,candidate_objective,gain,base_violation,candidate_violation,violation_gain,base_struct,candidate_struct,struct_delta,base_model,candidate_model,model_delta,base_value,candidate_value,value_delta,base_start_gap,candidate_start_gap,start_gap_delta,struct_break_even_lambda,selected
open_room,0.0,0,single,1,2,1,[6],6,"[(1, 7)]",10.0,20.844394119358462,10.844394119358462,10.0,20.844394119358462,-10.844394119358462,0.0,0.0,0.0,1.0,0.0,1.0,0.9838719320700477,0.0,0.9838719320700477,0.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,0.0,0.0,10.844394119358462,False
open_room,0.0,0,single,2,2,1,[28],28,"[(5, 1)]",10.0,21.744394119358464,11.744394119358464,10.0,21.744394119358464,-11.744394119358464,0.0,0.0,0.0,1.0,0.0,1.0,0.9838719320700477,0.0,0.9838719320700477,0.0,8.881784197001252e-16,-8.881784197001252e-16,0.0,0.0,0.0,11.744394119358464,False
open_room,0.0,0,batch_prefix,2,2,2,"[6, 28]",,"[(1, 7), (5, 1)]",10.0,32.214319120800766,22.214319120800766,10.0,32.214319120800766,-22.214319120800766,0.0,0.0,0.0,1.0,0.0,1.0,0.9838719320700477,0.0,0.9838719320700477,0.0,8.881784197001252e-16,-8.881784197001252e-16,0.0,0.0,0.0,22.214319120800766,False
open_room,0.05,0,single,1,2,1,[6],6,"[(1, 7)]",9.68,20.377727452691797,10.697727452691797,9.68,20.377727452691797,-10.697727452691797,0.0,0.0,0.0,0.935836467677969,0.9358364614538938,6.224075255190087e-09,0.9134444674604748,0.9134444668661016,5.943732173108174e-10,0.07879917849422391,0.07879917849422391,0.0,0.07879917849422391,0.07879917849422391,0.0,1718765762.636185,False
open_room,0.05,0,single,2,2,1,[28],28,"[(5, 1)]",9.68,21.25106078602513,11.571060786025129,9.68,21.25106078602513,-11.571060786025129,0.0,0.0,0.0,0.935836467677969,4.3417287375003915e-10,0.9358364672437961,0.9134444674604748,0.10015693516401229,0.8132875322964626,0.07879917849422391,0.0787991784942168,7.105427357601002e-15,0.07879917849422391,0.0787991784942168,7.105427357601002e-15,12.364404670085094,False
open_room,0.05,0,batch_prefix,2,2,2,"[6, 28]",,"[(1, 7), (5, 1)]",9.68,31.574319120800766,21.894319120800766,9.68,31.574319120800766,-21.894319120800766,0.0,0.0,0.0,0.935836467677969,0.0,0.935836467677969,0.9134444674604748,0.10015693546948196,0.8132875319909929,0.07879917849422391,0.0787991784942168,7.105427357601002e-15,0.07879917849422391,0.0787991784942168,7.105427357601002e-15,23.39545409586969,False
four_rooms,0.0,1,single,1,3,1,[46],46,"[(5, 7)]",38.214709844115234,57.49198976761516,19.277279923499925,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,nan,inf,inf,nan,inf,False
four_rooms,0.0,1,single,2,3,1,[4],4,"[(1, 5)]",38.214709844115234,56.59198976761515,18.37727992349992,nan,56.59198976761515,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2204460492503132e-17,-2.2204460492503132e-17,inf,24.580804229059396,inf,inf,21.761209247915374,inf,inf,False
four_rooms,0.0,1,single,3,3,1,[5],5,"[(1, 7)]",38.214709844115234,56.59198976761515,18.37727992349992,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,nan,inf,inf,nan,inf,False
four_rooms,0.0,1,single,4,3,1,[9],9,"[(1, 11)]",38.214709844115234,56.59198976761515,18.37727992349992,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,nan,inf,inf,nan,inf,False
