map,step,candidate_state,n_boundary,n_basis,score_mode,operator_score,violation_before,violation_after,violation_reduction,groups_improved,max_after_violation,max_after_group_risk,approx_rate_delta,group_risks_before,group_risks_after,group_violations_after,rank,beam_id,path,budget_frac
maze_9,0,1,2,17,reduction,-0.000808746284125034,174.8841889328305,174.8841889328305,0.0,0,58.29472964427684,77.72630619236912,8.087462841250339,"{""stochastic"": 77.72630619236912, ""topology"": 77.72630619236912, ""value"": 77.72630619236912}","{""stochastic"": 77.72630619236912, ""topology"": 77.72630619236912, ""value"": 77.72630619236912}","{""stochastic"": 58.29472964427684, ""topology"": 58.29472964427684, ""value"": 58.29472964427684}",1,0,[],0.25
maze_9,0,2,2,17,reduction,-0.000808746284125034,174.8841889328305,174.8841889328305,0.0,0,58.29472964427684,77.72630619236912,8.087462841250339,"{""stochastic"": 77.72630619236912, ""topology"": 77.72630619236912, ""value"": 77.72630619236912}","{""stochastic"": 77.72630619236912, ""topology"": 77.72630619236912, ""value"": 77.72630619236912}","{""stochastic"": 58.29472964427684, ""topology"": 58.29472964427684, ""value"": 58.29472964427684}",2,0,[],0.25
maze_9,0,3,2,17,reduction,-0.000808746284125034,174.8841889328305,174.8841889328305,0.0,0,58.29472964427684,77.72630619236912,8.087462841250339,"{""stochastic"": 77.72630619236912, ""topology"": 77.72630619236912, ""value"": 77.72630619236912}","{""stochastic"": 77.72630619236912, ""topology"": 77.72630619236912, ""value"": 77.72630619236912}","{""stochastic"": 58.29472964427684, ""topology"": 58.29472964427684, ""value"": 58.29472964427684}",3,0,[],0.25
maze_9,0,4,2,17,reduction,-0.000808746284125034,174.8841889328305,174.8841889328305,0.0,0,58.29472964427684,77.72630619236912,8.087462841250339,"{""stochastic"": 77.72630619236912, ""topology"": 77.72630619236912, ""value"": 77.72630619236912}","{""stochastic"": 77.72630619236912, ""topology"": 77.72630619236912, ""value"": 77.72630619236912}","{""stochastic"": 58.29472964427684, ""topology"": 58.29472964427684, ""value"": 58.29472964427684}",4,0,[],0.25
maze_9,0,5,2,17,reduction,-0.000808746284125034,174.8841889328305,174.8841889328305,0.0,0,58.29472964427684,77.72630619236912,8.087462841250339,"{""stochastic"": 77.72630619236912, ""topology"": 77.72630619236912, ""value"": 77.72630619236912}","{""stochastic"": 77.72630619236912, ""topology"": 77.72630619236912, ""value"": 77.72630619236912}","{""stochastic"": 58.29472964427684, ""topology"": 58.29472964427684, ""value"": 58.29472964427684}",5,0,[],0.25
maze_9,0,6,2,17,reduction,-0.000808746284125034,174.8841889328305,174.8841889328305,0.0,0,58.29472964427684,77.72630619236912,8.087462841250339,"{""stochastic"": 77.72630619236912, ""topology"": 77.72630619236912, ""value"": 77.72630619236912}","{""stochastic"": 77.72630619236912, ""topology"": 77.72630619236912, ""value"": 77.72630619236912}","{""stochastic"": 58.29472964427684, ""topology"": 58.29472964427684, ""value"": 58.29472964427684}",6,0,[],0.25
maze_9,0,7,2,17,reduction,-0.000808746284125034,174.8841889328305,174.8841889328305,0.0,0,58.29472964427684,77.72630619236912,8.087462841250339,"{""stochastic"": 77.72630619236912, ""topology"": 77.72630619236912, ""value"": 77.72630619236912}","{""stochastic"": 77.72630619236912, ""topology"": 77.72630619236912, ""value"": 77.72630619236912}","{""stochastic"": 58.29472964427684, ""topology"": 58.29472964427684, ""value"": 58.29472964427684}",7,0,[],0.25
maze_9,0,8,2,17,reduction,-0.000808746284125034,174.8841889328305,174.8841889328305,0.0,0,58.29472964427684,77.72630619236912,8.087462841250339,"{""stochastic"": 77.72630619236912, ""topology"": 77.72630619236912, ""value"": 77.72630619236912}","{""stochastic"": 77.72630619236912, ""topology"": 77.72630619236912, ""value"": 77.72630619236912}","{""stochastic"": 58.29472964427684, ""topology"": 58.29472964427684, ""value"": 58.29472964427684}",8,0,[],0.25
maze_9,0,9,2,17,reduction,-0.000808746284125034,174.8841889328305,174.8841889328305,0.0,0,58.29472964427684,77.72630619236912,8.087462841250339,"{""stochastic"": 77.72630619236912, ""topology"": 77.72630619236912, ""value"": 77.72630619236912}","{""stochastic"": 77.72630619236912, ""topology"": 77.72630619236912, ""value"": 77.72630619236912}","{""stochastic"": 58.29472964427684, ""topology"": 58.29472964427684, ""value"": 58.29472964427684}",9,0,[],0.25
maze_9,0,11,2,17,reduction,-0.000808746284125034,174.8841889328305,174.8841889328305,0.0,0,58.29472964427684,77.72630619236912,8.087462841250339,"{""stochastic"": 77.72630619236912, ""topology"": 77.72630619236912, ""value"": 77.72630619236912}","{""stochastic"": 77.72630619236912, ""topology"": 77.72630619236912, ""value"": 77.72630619236912}","{""stochastic"": 58.29472964427684, ""topology"": 58.29472964427684, ""value"": 58.29472964427684}",10,0,[],0.25
maze_9,0,13,2,17,reduction,-0.000808746284125034,174.8841889328305,174.8841889328305,0.0,0,58.29472964427684,77.72630619236912,8.087462841250339,"{""stochastic"": 77.72630619236912, ""topology"": 77.72630619236912, ""value"": 77.72630619236912}","{""stochastic"": 77.72630619236912, ""topology"": 77.72630619236912, ""value"": 77.72630619236912}","{""stochastic"": 58.29472964427684, ""topology"": 58.29472964427684, ""value"": 58.29472964427684}",11,0,[],0.25
