map,step,risk_kind,candidate_state,n_boundary,n_basis,n_train_probes,risk_before,risk_after,risk_delta,rate_delta,operator_score,mean_probe_delta,max_probe_delta,min_probe_delta,probe_details,rank,basis_mode,probe,n_candidates,distortion_before_bits,top_probe_state
maze_9,0,single,21,2,17,2,77.72630619236912,-2.8848035071860068e-12,77.72630619237201,5.857980995127573,615.9524685438485,58.294729644257984,77.72630619237201,38.863153096143954,"{""bottleneck"": {""after_bits"": 38.86315309622517, ""before_bits"": 77.72630619236912, ""delta_bits"": 38.863153096143954, ""rate_delta"": 5.857980995127573}, ""junction"": {""after_bits"": -2.8848035071860068e-12, ""before_bits"": 77.72630619236912, ""delta_bits"": 77.72630619237201, ""rate_delta"": 5.857980995127573}}",1,fixed,,,,
maze_9,0,single,1,2,17,2,77.72630619236912,77.72630619236912,0.0,5.857980995127573,-5.857980995127573,0.0,0.0,0.0,"{""bottleneck"": {""after_bits"": 77.72630619236912, ""before_bits"": 77.72630619236912, ""delta_bits"": 0.0, ""rate_delta"": 5.857980995127573}, ""junction"": {""after_bits"": 77.72630619236912, ""before_bits"": 77.72630619236912, ""delta_bits"": 0.0, ""rate_delta"": 5.857980995127573}}",2,fixed,,,,
maze_9,0,single,2,2,17,2,77.72630619236912,77.72630619236912,0.0,5.857980995127573,-5.857980995127573,19.431576548093002,38.863153096186004,0.0,"{""bottleneck"": {""after_bits"": 38.86315309618312, ""before_bits"": 77.72630619236912, ""delta_bits"": 38.863153096186004, ""rate_delta"": 5.857980995127573}, ""junction"": {""after_bits"": 77.72630619236912, ""before_bits"": 77.72630619236912, ""delta_bits"": 0.0, ""rate_delta"": 5.857980995127573}}",3,fixed,,,,
maze_9,0,single,3,2,17,2,77.72630619236912,77.72630619236912,0.0,5.857980995127573,-5.857980995127573,0.0,0.0,0.0,"{""bottleneck"": {""after_bits"": 77.72630619236912, ""before_bits"": 77.72630619236912, ""delta_bits"": 0.0, ""rate_delta"": 5.857980995127573}, ""junction"": {""after_bits"": 77.72630619236912, ""before_bits"": 77.72630619236912, ""delta_bits"": 0.0, ""rate_delta"": 5.857980995127573}}",4,fixed,,,,
maze_9,0,single,4,2,17,2,77.72630619236912,77.72630619236912,0.0,5.857980995127573,-5.857980995127573,0.0,0.0,0.0,"{""bottleneck"": {""after_bits"": 77.72630619236912, ""before_bits"": 77.72630619236912, ""delta_bits"": 0.0, ""rate_delta"": 5.857980995127573}, ""junction"": {""after_bits"": 77.72630619236912, ""before_bits"": 77.72630619236912, ""delta_bits"": 0.0, ""rate_delta"": 5.857980995127573}}",5,fixed,,,,
maze_9,0,single,5,2,17,2,77.72630619236912,77.72630619236912,0.0,5.857980995127573,-5.857980995127573,0.0,0.0,0.0,"{""bottleneck"": {""after_bits"": 77.72630619236912, ""before_bits"": 77.72630619236912, ""delta_bits"": 0.0, ""rate_delta"": 5.857980995127573}, ""junction"": {""after_bits"": 77.72630619236912, ""before_bits"": 77.72630619236912, ""delta_bits"": 0.0, ""rate_delta"": 5.857980995127573}}",6,fixed,,,,
maze_9,0,single,6,2,17,2,77.72630619236912,77.72630619236912,0.0,5.857980995127573,-5.857980995127573,0.0,0.0,0.0,"{""bottleneck"": {""after_bits"": 77.72630619236912, ""before_bits"": 77.72630619236912, ""delta_bits"": 0.0, ""rate_delta"": 5.857980995127573}, ""junction"": {""after_bits"": 77.72630619236912, ""before_bits"": 77.72630619236912, ""delta_bits"": 0.0, ""rate_delta"": 5.857980995127573}}",7,fixed,,,,
maze_9,0,single,7,2,17,2,77.72630619236912,77.72630619236912,0.0,5.857980995127573,-5.857980995127573,0.0,0.0,0.0,"{""bottleneck"": {""after_bits"": 77.72630619236912, ""before_bits"": 77.72630619236912, ""delta_bits"": 0.0, ""rate_delta"": 5.857980995127573}, ""junction"": {""after_bits"": 77.72630619236912, ""before_bits"": 77.72630619236912, ""delta_bits"": 0.0, ""rate_delta"": 5.857980995127573}}",8,fixed,,,,
maze_9,0,single,8,2,17,2,77.72630619236912,77.72630619236912,0.0,5.857980995127573,-5.857980995127573,0.0,0.0,0.0,"{""bottleneck"": {""after_bits"": 77.72630619236912, ""before_bits"": 77.72630619236912, ""delta_bits"": 0.0, ""rate_delta"": 5.857980995127573}, ""junction"": {""after_bits"": 77.72630619236912, ""before_bits"": 77.72630619236912, ""delta_bits"": 0.0, ""rate_delta"": 5.857980995127573}}",9,fixed,,,,
maze_9,0,single,9,2,17,2,77.72630619236912,77.72630619236912,0.0,5.857980995127573,-5.857980995127573,0.0,0.0,0.0,"{""bottleneck"": {""after_bits"": 77.72630619236912, ""before_bits"": 77.72630619236912, ""delta_bits"": 0.0, ""rate_delta"": 5.857980995127573}, ""junction"": {""after_bits"": 77.72630619236912, ""before_bits"": 77.72630619236912, ""delta_bits"": 0.0, ""rate_delta"": 5.857980995127573}}",10,fixed,,,,
