map,method,goal_variant,residual_probe,residual_kind_eval,n_boundary_selected,selected_boundary,selection_time_sec,n_states,n_boundary_eval,endpoint_augmented_by,n_edges_valid,state_compression_ratio,rate_bits,hidden_linear,hidden_bits,uniform_hidden_linear,uniform_hidden_bits,start_gap,value_gap_max,occupancy_struct_hidden_distinct,struct_hidden_distinct_cvar95
maze_9,rd_fd,train_goal,train_recipe,turn_articulation,4,"[0, 2, 17, 30]",0.09176254598423839,31,4,0,8,7.75,45.083631751239636,0.999999993505853,1.4426646304981534,1.8946567080983878e-07,2.7332965423000114e-07,22.546522666611725,27.39925342439163,0.0,0.0
maze_9,rd_fd,train_goal,all,all,4,"[0, 2, 17, 30]",0.09176254598423839,31,4,0,8,7.75,45.083631751239636,21118504.8634691,820731687.6715178,8.0,310.9052247694765,22.546522666611725,27.39925342439163,0.0,0.0
maze_9,rd_fd,train_goal,turn_articulation,turn_articulation,4,"[0, 2, 17, 30]",0.09176254598423839,31,4,0,8,7.75,45.083631751239636,0.999999993505853,1.4426646304981534,1.8946567080983878e-07,2.7332965423000114e-07,22.546522666611725,27.39925342439163,0.0,0.0
maze_9,rd_fd,train_goal,value_gradient,value_gradient,4,"[0, 2, 17, 30]",0.09176254598423839,31,4,0,8,7.75,45.083631751239636,21118504.8634691,820731687.6715178,8.0,310.9052247694765,22.546522666611725,27.39925342439163,0.0,0.0
maze_9,rd_fd,heldout_goal_1_state_23,train_recipe,turn_articulation,4,"[0, 2, 17, 30]",0.09176254598423839,31,5,1,14,6.2,58.19526091862747,0.999999993505853,1.4426646304981534,1.895802548229546e-07,2.734863075522076e-07,23.293427227841093,28.306915668321807,0.0,0.0
maze_9,rd_fd,heldout_goal_1_state_23,all,all,4,"[0, 2, 17, 30]",0.09176254598423839,31,5,1,14,6.2,58.19526091862747,21118504.8634691,820731687.6715178,10.06896551724138,388.73189488569096,23.293427227841093,28.306915668321807,0.0,0.0
maze_9,rd_fd,heldout_goal_1_state_23,turn_articulation,turn_articulation,4,"[0, 2, 17, 30]",0.09176254598423839,31,5,1,14,6.2,58.19526091862747,0.999999993505853,1.4426646304981534,1.895802548229546e-07,2.734863075522076e-07,23.293427227841093,28.306915668321807,0.0,0.0
maze_9,rd_fd,heldout_goal_1_state_23,value_gradient,value_gradient,4,"[0, 2, 17, 30]",0.09176254598423839,31,5,1,14,6.2,58.19526091862747,21118504.8634691,820731687.6715178,10.06896551724138,388.73189488569096,23.293427227841093,28.306915668321807,0.0,0.0
maze_9,raw_hidden,train_goal,train_recipe,turn_articulation,4,"[0, 2, 17, 30]",0.10553898598300293,31,4,0,8,7.75,45.083631751239636,0.999999993505853,1.4426646304981534,1.8946567080983878e-07,2.7332965423000114e-07,22.546522666611725,27.39925342439163,0.0,0.0
maze_9,raw_hidden,train_goal,all,all,4,"[0, 2, 17, 30]",0.10553898598300293,31,4,0,8,7.75,45.083631751239636,21118504.8634691,820731687.6715178,8.0,310.9052247694765,22.546522666611725,27.39925342439163,0.0,0.0
maze_9,raw_hidden,train_goal,turn_articulation,turn_articulation,4,"[0, 2, 17, 30]",0.10553898598300293,31,4,0,8,7.75,45.083631751239636,0.999999993505853,1.4426646304981534,1.8946567080983878e-07,2.7332965423000114e-07,22.546522666611725,27.39925342439163,0.0,0.0
maze_9,raw_hidden,train_goal,value_gradient,value_gradient,4,"[0, 2, 17, 30]",0.10553898598300293,31,4,0,8,7.75,45.083631751239636,21118504.8634691,820731687.6715178,8.0,310.9052247694765,22.546522666611725,27.39925342439163,0.0,0.0
maze_9,raw_hidden,heldout_goal_1_state_23,train_recipe,turn_articulation,4,"[0, 2, 17, 30]",0.10553898598300293,31,5,1,14,6.2,58.19526091862747,0.999999993505853,1.4426646304981534,1.895802548229546e-07,2.734863075522076e-07,23.293427227841093,28.306915668321807,0.0,0.0
maze_9,raw_hidden,heldout_goal_1_state_23,all,all,4,"[0, 2, 17, 30]",0.10553898598300293,31,5,1,14,6.2,58.19526091862747,21118504.8634691,820731687.6715178,10.06896551724138,388.73189488569096,23.293427227841093,28.306915668321807,0.0,0.0
maze_9,raw_hidden,heldout_goal_1_state_23,turn_articulation,turn_articulation,4,"[0, 2, 17, 30]",0.10553898598300293,31,5,1,14,6.2,58.19526091862747,0.999999993505853,1.4426646304981534,1.895802548229546e-07,2.734863075522076e-07,23.293427227841093,28.306915668321807,0.0,0.0
maze_9,raw_hidden,heldout_goal_1_state_23,value_gradient,value_gradient,4,"[0, 2, 17, 30]",0.10553898598300293,31,5,1,14,6.2,58.19526091862747,21118504.8634691,820731687.6715178,10.06896551724138,388.73189488569096,23.293427227841093,28.306915668321807,0.0,0.0
maze_9,random,train_goal,train_recipe,turn_articulation,4,"[0, 5, 21, 30]",0.09240670601138845,31,4,0,5,7.75,43.35696508457298,1.8949480144252483e-07,2.733760100459431e-07,1.8949480144252483e-07,2.733760100459431e-07,nan,nan,0.0,0.0
maze_9,random,train_goal,all,all,4,"[0, 5, 21, 30]",0.09240670601138845,31,4,0,5,7.75,43.35696508457298,5.0,194.3157654809228,5.0,194.3157654809228,nan,nan,0.0,0.0
