map,step,n_boundary,n_candidates,n_edges_valid,n_active_edges,top_fd_state,top_fd_coord,top_fd_score,fd_margin,epsilon_adapt_observed,margin_stability_condition,margin_stability_correct,top_grad_state,top_grad_match_fd,top_frozen_state,top_frozen_match_fd,top_rate_only_state,top_rate_only_match_fd,top_occupancy_only_state,top_occupancy_only_match_fd,top_edge_only_state,top_edge_only_match_fd,top_edge_option_uniform_state,top_edge_option_uniform_match_fd,top_actual_state,top_actual_match_fd,top_raw_hidden_state,top_raw_hidden_match_fd,tau_raw_hidden_vs_fd,actual_regret_raw_hidden,top_random_state,top_random_match_fd,tau_random_vs_fd,actual_regret_random,top_spectral_state,top_spectral_match_fd,tau_spectral_vs_fd,actual_regret_spectral,top_betweenness_state,top_betweenness_match_fd,tau_betweenness_vs_fd,actual_regret_betweenness,top_value_gradient_state,top_value_gradient_match_fd,tau_value_gradient_vs_fd,actual_regret_value_gradient,top_degree_state,top_degree_match_fd,tau_degree_vs_fd,actual_regret_degree,time_base_eval_sec,time_operator_score_sec,time_recompute_total_sec,recompute_speedup_proxy,tau_rate_only_vs_fd,tau_occupancy_only_vs_fd,tau_edge_only_vs_fd,tau_edge_option_uniform_vs_fd,tau_actual_vs_fd,actual_regret_of_fd,mean_grad_abs_error,max_grad_error_to_bound_ratio,max_abs_fd_minus_frozen,mean_abs_fd_minus_frozen,max_abs_adaptive_drift,mean_abs_adaptive_drift,selected_sequence
maze_13,0,2,16,0,2,13,"(3, 1)",303.7967003127099,0.0,,False,,57,False,13,True,,,,,,,,,,,57,False,1.0,,5,False,0.2857142857142857,,19,False,0.0,,57,False,0.07692307692307693,,57,False,0.14285714285714285,,3,False,0.7142857142857143,,0.06386973400367424,0.10298577498178929,0.0,nan,,,,,,,90169437402.23123,3.99995575634426e-12,7.993605777301127e-15,6.994405055138486e-15,,,[]
maze_13,1,3,15,3,2,17,"(3, 5)",4.369135477521513,11.541560819493098,,False,,17,True,17,True,,,,,,,,,,,17,True,1.0,,3,False,0.5714285714285714,,19,False,0.5714285714285714,,57,False,-0.38461538461538464,,57,False,-0.5714285714285714,,3,False,-1.0,,0.11822030501207337,0.08681325102224946,0.0,nan,,,,,,,4.391126795511013e-09,0.9641746912496187,1.865174681370263e-14,1.853332302440928e-14,,,[13]
maze_13,2,4,14,6,6,3,"(1, 5)",-6.896164189015405,0.0,,False,,3,True,3,True,,,,,,,,,,,3,True,,,5,False,,,19,False,,,57,False,,,57,False,,,3,True,,,0.13215133297489956,0.11611640895716846,0.0,nan,,,,,,,0.0,0.0,3.552713678800501e-15,3.552713678800501e-15,,,"[13, 17]"
maze_13,3,5,13,12,12,5,"(1, 7)",-6.866322214245802,0.0,,False,,5,True,5,True,,,,,,,,,,,5,True,,,8,False,,,19,False,,,57,False,,,57,False,,,30,False,,,0.1374793350114487,0.11325676902197301,0.0,nan,,,,,,,0.0,0.0,3.552713678800501e-15,3.552713678800501e-15,,,"[13, 17, 3]"
maze_13,4,6,12,24,5,8,"(1, 11)",-6.963474123974873,0.0,,False,,8,True,53,False,,,,,,,,,,,8,True,,,19,False,,,19,False,,,57,False,,,57,False,,,30,False,,,0.1803702280158177,0.11574466398451477,0.0,nan,,,,,,,0.0,0.0,3.9399594697897555e-12,3.8896293593400815e-12,,,"[13, 17, 3, 5]"
four_rooms_13,0,2,14,2,1,61,"(6, 1)",55.00869111849972,28.42103967174264,,False,,61,True,61,True,,,,,,,,,,,61,True,1.0,,141,False,0.03296703296703297,,81,False,0.25274725274725274,,66,False,0.525,,86,False,0.06976744186046512,,5,False,,,1.4434171859757043,0.27128758799517527,0.0,nan,,,,,,,25.627433659531018,0.9999246757668108,8.881784197001252e-15,2.0301221021717147e-15,,,[]
four_rooms_13,1,3,13,6,2,142,"(13, 8)",24.666024731203823,32.79593479318004,,False,,142,True,142,True,,,,,,,,,,,142,True,1.0,,5,False,0.05128205128205128,,81,False,0.38461538461538464,,66,False,0.6571428571428571,,86,False,0.24324324324324326,,5,False,,,0.992476851970423,0.1692942869849503,0.0,nan,,,,,,,1.6706076414179891,0.9999253158893557,5.3290705182007514e-14,8.608498529401213e-15,,,[61]
four_rooms_13,2,4,12,12,3,80,"(8, 6)",-7.992791189070441,0.0006151347885197112,,False,,80,True,80,True,,,,,,,,,,,80,True,1.0,,6,False,-0.09090909090909091,,81,False,0.42424242424242425,,66,False,0.7666666666666667,,86,False,0.16129032258064516,,5,False,,,4.666441084991675,0.16250971000408754,0.0,nan,,,,,,,4.971573278517548e-08,0.9999946693427509,5.509370737399877e-12,4.707345624410664e-13,,,"[61, 142]"
four_rooms_13,3,5,11,20,4,67,"(6, 8)",-7.975209540045156,0.00309038238178605,,False,,67,True,67,True,,,,,,,,,,,67,True,1.0,,141,False,-0.09090909090909091,,81,False,0.38181818181818183,,66,False,0.7959183673469388,,86,False,0.07692307692307693,,5,False,,,2.2532288460060954,0.15183902002172545,0.0,nan,,,,,,,3.046914465224794e-08,0.9999987867065109,1.092459456231154e-13,1.501828964220212e-14,,,"[61, 142, 80]"
four_rooms_13,4,6,10,30,5,66,"(6, 6)",-8.087355757483628,6.212749347866975e-05,,False,,66,True,66,True,,,,,,,,,,,66,True,1.0,,136,False,0.1111111111111111,,81,False,0.4666666666666667,,66,True,0.85,,86,False,0.14285714285714285,,5,False,,,10.236554182018153,0.18516476795775816,0.0,nan,,,,,,,1.2067657696059531e-08,1.000009923538973,9.414691248821327e-14,1.7053025658242404e-14,,,"[61, 142, 80, 67]"
