map,k_steps,n_steps,top1_match_rate,mean_abs_score_error,max_abs_score_error,mean_time_truncated_green_sec
four_rooms_13,1,5,0.0,0.028924330082244994,0.9491530603721017,0.004054515401367098
four_rooms_13,2,5,0.0,0.028924330082244994,0.9491530603721017,0.0038881117943674326
four_rooms_13,4,5,0.4,0.01785491054763577,0.9491530603721017,0.004219439195003361
four_rooms_13,8,5,0.4,0.015749947344426758,0.9491530603721017,0.004473208577837795
four_rooms_13,16,5,1.0,0.003547000448727014,0.16069495043313198,0.005303026805631816
four_rooms_13,32,5,1.0,1.8962169332715305e-08,6.648338813919352e-07,0.004850784409791231
maze_13,1,5,0.4,0.015770833248193658,0.9999999936143584,0.0030656005954369904
maze_13,2,5,0.4,0.014078645748193657,0.9999999936143584,0.0029856826062314213
maze_13,4,5,0.6,0.0010512904459401607,0.0766087083585405,0.0029864883981645107
maze_13,8,5,0.8,4.33713078073065e-06,0.0003192578452637651,0.0043138889945112165
maze_13,16,5,0.8,6.836831511108008e-11,5.017984250343943e-09,0.003985431813634932
maze_13,32,5,0.8,8.604228440878648e-18,3.3306690738754696e-16,0.003664856997784227
open_room_9,1,3,0.6666666666666666,0.14656937215741603,0.8794162329444527,0.0013242133427411318
open_room_9,2,3,0.6666666666666666,0.14656937215741603,0.8794162329444527,0.0013186886596182983
open_room_9,4,3,0.6666666666666666,0.14656937215741603,0.8794162329444527,0.0013033730016710858
open_room_9,8,3,1.0,0.019413789493675695,0.11648273696203115,0.0012561523083907862
open_room_9,16,3,1.0,9.548939440074486e-07,5.729363662942966e-06,0.0014995303354226053
open_room_9,32,3,1.0,2.442541570114092e-15,1.4654943925052066e-14,0.0027039473255475364
