map,step,candidate_state,candidate_coord,n_boundary,n_candidates_considered,n_active_edges,contributing_edges,lambda_struct,edge_weight,linear_delta,bits_fd_delta,bits_grad_delta,grad_minus_fd,grad_abs_error,grad_abs_error_bound,rate_delta,linear_operator_score,bits_fd_operator_score,bits_grad_operator_score,actual_recompute_score,actual_rate_delta,actual_objective_before,actual_objective_after,actual_linear_before,actual_linear_after,actual_bits_before,actual_bits_after,linear_rank,bits_fd_rank,bits_grad_rank,actual_rank
maze_9,0,2,"(1, 3)",2,6,2,1,8.0,occupancy_or_uniform,0.9999999999999997,38.863153096186004,721355499256.7129,721355499217.8497,721355499217.8497,1.803408695392994e+23,5.857980995127573,2.1420190048724246,305.0472437743605,5770843994047.845,596.8844848197975,13.38464766179424,639.2171162056196,42.33263138582204,1.9999999999999996,0.9999999936143584,77.72630619236912,1.4426646321701417,1,1,1,3
maze_9,0,21,"(5, 7)",2,6,2,1,8.0,occupancy_or_uniform,0.9999999999708512,38.863153096143954,721355499235.6865,721355499196.8234,721355499196.8234,1.8034086952878612e+23,5.857980995127573,2.142019004639237,305.0472437740241,5770843993879.634,608.4057996904638,13.40464766179424,639.2171162056196,30.811316515155752,1.9999999999999996,1.8946565287778487e-07,77.72630619236912,2.7333685581050604e-07,2,2,2,2
maze_9,0,24,"(7, 1)",2,6,2,1,8.0,occupancy_or_uniform,2.9148564739975196e-11,3.9140443690040385,21.026477470621433,17.112433101617395,17.112433101617395,153.2246047474207,5.857980995127573,-5.857980994894384,25.454373956904735,162.3538387698439,608.4258018771818,13.38464766179424,639.2171162056196,30.79131432843782,1.9999999999999996,0.0,77.72630619236912,-2.885646594635035e-12,3,3,3,1
maze_9,0,3,"(1, 5)",2,6,2,0,8.0,occupancy_or_uniform,0.0,0.0,0.0,0.0,0.0,0.0,5.857980995127573,-5.857980995127573,-5.857980995127573,-5.857980995127573,-1256.132213406367,12.511314328460905,639.2171162056196,1895.3493296119866,1.9999999999999996,5.999999999999999,77.72630619236912,233.17891857710737,4,4,4,4
maze_9,0,5,"(1, 7)",2,6,2,0,8.0,occupancy_or_uniform,0.0,0.0,0.0,0.0,0.0,0.0,5.857980995127573,-5.857980995127573,-5.857980995127573,-5.857980995127573,-1256.132213406367,12.511314328460905,639.2171162056196,1895.3493296119866,1.9999999999999996,5.999999999999997,77.72630619236912,233.17891857710737,5,5,5,5
maze_9,0,17,"(5, 3)",2,6,2,0,8.0,occupancy_or_uniform,0.0,0.0,0.0,0.0,0.0,0.0,5.857980995127573,-5.857980995127573,-5.857980995127573,-5.857980995127573,-1257.8788800730335,14.257980995127575,639.2171162056196,1897.0959962786533,1.9999999999999996,5.999999999999998,77.72630619236912,233.17891857710737,6,6,6,6
maze_9,1,17,"(5, 3)",3,5,2,1,8.0,occupancy_or_uniform,0.9999999936143584,1.4426951024366372,1.4426951683035392,6.58669019326652e-08,6.58669019326652e-08,6.831428218396647e-08,5.892317422778735,2.1076825261361325,5.649243396714363,5.649243923649578,-14.292317409402827,14.29231742277873,42.33263138582204,56.62494879522487,0.9999999936143584,0.999999993505853,1.4426646321701417,1.4426646304981534,1,1,1,5
maze_9,1,3,"(1, 5)",3,5,2,0,8.0,occupancy_or_uniform,0.0,0.0,0.0,0.0,0.0,0.0,5.892317422778735,-5.892317422778735,-5.892317422778735,-5.892317422778735,-1.004334791733129,12.545650756112067,42.33263138582204,43.33696617755517,0.9999999936143584,9.470368684293987e-08,1.4426646321701417,1.3662277477027397e-07,2,2,2,1
maze_9,1,5,"(1, 7)",3,5,2,0,8.0,occupancy_or_uniform,0.0,0.0,0.0,0.0,0.0,0.0,5.892317422778735,-5.892317422778735,-5.892317422778735,-5.892317422778735,-1.004334791733129,12.545650756112067,42.33263138582204,43.33696617755517,0.9999999936143584,9.470368684293987e-08,1.4426646321701417,1.3662277477027397e-07,3,3,3,2
maze_9,1,21,"(5, 7)",3,5,2,0,8.0,occupancy_or_uniform,0.0,0.0,0.0,0.0,0.0,0.0,5.892317422778735,-5.892317422778735,-5.892317422778735,-5.892317422778735,-13.438984089445405,13.438984089445405,42.33263138582204,55.771615475267446,0.9999999936143584,0.9999999936143584,1.4426646321701417,1.4426646321701417,4,4,4,4
maze_9,1,24,"(7, 1)",3,5,2,0,8.0,occupancy_or_uniform,0.0,0.0,0.0,0.0,0.0,0.0,5.892317422778735,-5.892317422778735,-5.892317422778735,-5.892317422778735,-13.418984089445402,13.418984089445402,42.33263138582204,55.75161547526744,0.9999999936143584,0.9999999936143584,1.4426646321701417,1.4426646321701417,5,5,5,3
