map,step,method,n_candidates,time_sec,time_per_candidate_sec,relative_to_fd_grad,top1_match_rate,mean_abs_score_error
maze_9,0,fd_grad_operator,6,0.01641531102359295,0.002735885170598825,1.0,,
maze_9,0,full_actual_recompute,6,0.15044107695575804,0.02507351282595967,9.16468026341604,,
maze_9,1,fd_grad_operator,5,0.0165153929265216,0.00330307858530432,1.0,,
maze_9,1,full_actual_recompute,5,0.19995671603828669,0.039991343207657334,12.107293900176114,,
maze_9,2,fd_grad_operator,4,0.01678990200161934,0.004197475500404835,1.0,,
maze_9,2,full_actual_recompute,4,0.1753457260201685,0.04383643150504213,10.443522898659975,,
four_rooms_9,0,fd_grad_operator,12,0.04733782808762044,0.003944819007301703,1.0,,
four_rooms_9,0,full_actual_recompute,12,0.7350810509524308,0.061256754246035904,15.528406786889864,,
four_rooms_9,1,fd_grad_operator,12,0.04822049709036946,0.004018374757530789,1.0,,
four_rooms_9,1,full_actual_recompute,12,0.926006302877795,0.07716719190648291,19.203582682741274,,
four_rooms_9,2,fd_grad_operator,12,0.05041912104934454,0.004201593420778711,1.0,,
four_rooms_9,2,full_actual_recompute,12,1.153919281961862,0.0961599401634885,22.886541017494853,,
open_room_7,0,fd_grad_operator,2,0.02771515096537769,0.013857575482688844,1.0,,
open_room_7,0,full_actual_recompute,2,0.07994116703048348,0.03997058351524174,2.8843850473824793,,
open_room_7,1,fd_grad_operator,1,0.027574954961892217,0.027574954961892217,1.0,,
open_room_7,1,full_actual_recompute,1,0.05068739003036171,0.05068739003036171,1.8381676452567268,,
open_room_7,2,fd_grad_operator,0,0.0,0.0,1.0,,
four_rooms_9,all,truncated_green_K1,,0.0008707926608622074,,,0.0,0.05053437727985675
four_rooms_9,all,truncated_green_K2,,0.0007872140073838333,,,0.3333333333333333,0.02935595192208253
four_rooms_9,all,truncated_green_K4,,0.000852699993023028,,,0.3333333333333333,0.026432412522055967
four_rooms_9,all,truncated_green_K8,,0.0008201003268671533,,,0.6666666666666666,0.02459617247185526
four_rooms_9,all,truncated_green_K16,,0.0008418776754600307,,,1.0,4.835740641024521e-05
four_rooms_9,all,truncated_green_K32,,0.000948949328934153,,,1.0,2.6889192511771598e-12
maze_9,all,truncated_green_K1,,0.0005890260023685793,,,0.3333333333333333,0.16083333236644495
maze_9,all,truncated_green_K2,,0.0005320473380076388,,,0.3333333333333333,0.15331249903311162
maze_9,all,truncated_green_K4,,0.0004954400161902109,,,1.0,0.011647609622276157
maze_9,all,truncated_green_K8,,0.0005407209973782301,,,1.0,5.23250433596148e-05
maze_9,all,truncated_green_K16,,0.0005221986793912947,,,1.0,1.0784846434988877e-09
maze_9,all,truncated_green_K32,,0.0005956933406802515,,,1.0,9.313537595502494e-17
open_room_7,all,truncated_green_K1,,0.0006710133166052401,,,0.6666666666666666,0.15111743506749456
open_room_7,all,truncated_green_K2,,0.0006798740165928999,,,0.6666666666666666,0.15111743506749456
open_room_7,all,truncated_green_K4,,0.0006074266663442055,,,0.6666666666666666,0.15111743506749456
open_room_7,all,truncated_green_K8,,0.0006695443298667669,,,1.0,0.0010651012749191959
open_room_7,all,truncated_green_K16,,0.0006780773207234839,,,1.0,2.4190809847394544e-08
open_room_7,all,truncated_green_K32,,0.0007818323210813105,,,1.0,1.4808271072791444e-16
