map,step,candidate_state,candidate_coord,n_boundary,n_candidates_considered,n_active_edges,contributing_edges,lambda_struct,edge_weight,linear_delta,raw_hidden_score,random_score,spectral_score,betweenness_score,value_gradient_score,degree_score,bits_fd_delta,bits_grad_delta,grad_minus_fd,grad_abs_error,grad_abs_error_bound,rate_delta,linear_operator_score,bits_fd_operator_score,bits_grad_operator_score,frozen_recompute_score,fd_minus_frozen,frozen_objective_before,frozen_objective_after,frozen_linear_before,frozen_linear_after,frozen_bits_before,frozen_bits_after,rate_only_score,rate_only_drift,occupancy_only_score,occupancy_drift,edge_only_score,edge_drift,edge_option_uniform_score,edge_option_uniform_drift,actual_recompute_score,actual_rate_delta,adaptive_drift,adaptive_drift_rate,adaptive_drift_bits,adaptive_drift_linear,actual_objective_before,actual_objective_after,actual_linear_before,actual_linear_after,actual_bits_before,actual_bits_after,time_base_eval_sec,time_operator_score_sec,time_recompute_total_sec,recompute_speedup_proxy,linear_rank,bits_fd_rank,bits_grad_rank,raw_hidden_rank,random_rank,spectral_rank,betweenness_rank,value_gradient_rank,degree_rank,frozen_rank,rate_only_rank,occupancy_only_rank,edge_only_rank,edge_option_uniform_rank,actual_rank
maze_9,0,2,"(1, 3)",2,6,2,1,8.0,occupancy_or_uniform,0.9999999999999997,0.9999999999999997,0.9899250392113765,0.48075425179822046,0.1891891891891892,0.745231485555704,0.6666666666666666,38.863153096186004,721355499256.7129,721355499217.8497,721355499217.8497,1.803408695392994e+23,5.857980995127573,2.1420190048724246,305.0472437743605,5770843994047.845,305.0472437743604,5.684341886080802e-14,639.2171162056196,334.1698724312592,1.9999999999999996,0.9999999999999998,77.72630619236912,38.86315309618312,297.5205771076938,-7.526666666666642,615.9524685438254,310.90522476946495,305.0472437743604,0.0,615.9524674508316,310.90522367647117,596.8844848197975,13.38464766179424,291.8372410454371,-7.526666666666667,299.36390771210387,6.385641460049385e-09,639.2171162056196,42.33263138582204,1.9999999999999996,0.9999999936143584,77.72630619236912,1.4426646321701417,0.019406544044613838,0.017832209879998118,0.15461464010877535,8.670526039635849,1,1,1,1,3,3,5,6,2,1,1,1,1,2,3
maze_9,0,21,"(5, 7)",2,6,2,1,8.0,occupancy_or_uniform,0.9999999999708512,0.9999999999708512,0.1386613187858094,1.0,1.0,0.9835707769680974,1.0,38.863153096143954,721355499235.6865,721355499196.8234,721355499196.8234,1.8034086952878612e+23,5.857980995127573,2.142019004639237,305.0472437740241,5770843993879.634,305.047243774024,5.684341886080802e-14,639.2171162056196,334.1698724315956,1.9999999999999996,1.0000000000291482,77.72630619236912,38.86315309622517,297.5005771073574,-7.546666666666624,615.9524685435005,310.90522476947643,305.047243774024,0.0,615.9524663571306,310.90522258310654,608.4057996904638,13.40464766179424,303.3585559164398,-7.546666666666667,310.90522258310654,0.9999998105634954,639.2171162056196,30.811316515155752,1.9999999999999996,1.8946565287778487e-07,77.72630619236912,2.7333685581050604e-07,0.019406544044613838,0.017832209879998118,0.15461464010877535,8.670526039635849,2,2,2,2,4,1,1,1,1,2,2,3,2,3,2
maze_9,0,24,"(7, 1)",2,6,2,1,8.0,occupancy_or_uniform,2.9148564739975196e-11,2.9148564739975196e-11,0.1386610207625854,0.4212543511446474,0.35135135135135137,0.8494407361500572,0.6666666666666666,3.9140443690040385,21.026477470621433,17.112433101617395,17.112433101617395,153.2246047474207,5.857980995127573,-5.857980994894384,25.454373956904735,162.3538387698439,25.45437395690476,-2.4868995751603507e-14,639.2171162056196,613.7627422487149,1.9999999999999996,1.9999999999708509,77.72630619236912,73.81226182336508,17.927707290238068,-7.526666666666692,615.9524685438254,590.4980945869206,25.45437395690476,0.0,615.9524685438485,590.4980945869437,608.4258018771818,13.38464766179424,582.971427920277,-7.526666666666667,590.4980945869438,1.999999999970851,639.2171162056196,30.79131432843782,1.9999999999999996,0.0,77.72630619236912,-2.885646594635035e-12,0.019406544044613838,0.017832209879998118,0.15461464010877535,8.670526039635849,3,3,3,3,5,5,4,2,6,3,3,2,3,1,1
maze_9,0,3,"(1, 5)",2,6,2,0,8.0,occupancy_or_uniform,0.0,0.0,0.9899250988160213,0.9930264028847086,0.1891891891891892,0.7954100222129866,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,5.857980995127573,-5.857980995127573,-5.857980995127573,-5.857980995127573,-5.857980995127605,3.197442310920451e-14,639.2171162056196,645.0750972007472,1.9999999999999996,1.9999999999999996,77.72630619236912,77.72630619236912,-12.511314328460905,-6.6533333333333005,-5.857980995127605,0.0,-5.857980995127605,0.0,-1249.4788800730335,-1243.620899077906,-1256.132213406367,12.511314328460905,-1250.2742324112396,-6.653333333333332,-1243.620899077906,-3.9999999999999996,639.2171162056196,1895.3493296119866,1.9999999999999996,5.999999999999999,77.72630619236912,233.17891857710737,0.019406544044613838,0.017832209879998118,0.15461464010877535,8.670526039635849,4,4,4,4,2,2,6,5,3,4,4,4,4,4,4
maze_9,0,5,"(1, 7)",2,6,2,0,8.0,occupancy_or_uniform,0.0,0.0,0.989925218025311,0.4688896344095924,0.35135135135135137,0.8489709904096633,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,5.857980995127573,-5.857980995127573,-5.857980995127573,-5.857980995127573,-5.857980995127605,3.197442310920451e-14,639.2171162056196,645.0750972007472,1.9999999999999996,1.9999999999999996,77.72630619236912,77.72630619236912,-12.511314328460905,-6.6533333333333005,-5.857980995127605,0.0,-5.857980995127605,0.0,-1249.4788800730335,-1243.620899077906,-1256.132213406367,12.511314328460905,-1250.2742324112396,-6.653333333333332,-1243.620899077906,-3.999999999999998,639.2171162056196,1895.3493296119866,1.9999999999999996,5.999999999999997,77.72630619236912,233.17891857710737,0.019406544044613838,0.017832209879998118,0.15461464010877535,8.670526039635849,5,5,5,5,1,4,3,4,4,5,5,5,5,5,5
maze_9,0,17,"(5, 3)",2,6,2,0,8.0,occupancy_or_uniform,0.0,0.0,0.13860755539621097,0.12908665731563762,0.4864864864864865,0.8489709914280253,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,5.857980995127573,-5.857980995127573,-5.857980995127573,-5.857980995127573,-5.857980995127605,3.197442310920451e-14,639.2171162056196,645.0750972007472,1.9999999999999996,1.9999999999999996,77.72630619236912,77.72630619236912,-14.257980995127575,-8.39999999999997,-5.857980995127605,0.0,-5.857980995127605,0.0,-1249.4788800730335,-1243.620899077906,-1257.8788800730335,14.257980995127575,-1252.020899077906,-8.400000000000002,-1243.620899077906,-3.9999999999999987,639.2171162056196,1897.0959962786533,1.9999999999999996,5.999999999999998,77.72630619236912,233.17891857710737,0.019406544044613838,0.017832209879998118,0.15461464010877535,8.670526039635849,6,6,6,6,6,6,2,3,5,6,6,6,6,6,6
maze_9,1,17,"(5, 3)",3,5,2,1,8.0,occupancy_or_uniform,0.9999999936143584,0.9999999936143584,0.979865248880917,0.12908665731563762,0.4864864864864865,0.8489709914280253,0.6666666666666666,1.4426951024366372,1.4426951683035392,6.58669019326652e-08,6.58669019326652e-08,6.831428218396647e-08,5.892317422778735,2.1076825261361325,5.649243396714363,5.649243923649578,5.649243396714361,1.7763568394002505e-15,42.33263138582204,36.68338798910768,0.9999999936143584,0.0,1.4426646321701417,-3.04702664954744e-05,-2.750756603285632,-8.399999999999993,5.648999672107344,-0.0002437246070172705,5.649243396714361,0.0,-5.892318516422229,-11.54156191313659,-14.292317409402827,14.29231742277873,-19.941560806117188,-8.399999999999995,-11.541560806117191,-0.999999993505853,42.33263138582204,56.62494879522487,0.9999999936143584,0.999999993505853,1.4426646321701417,1.4426646304981534,0.0351732230046764,0.01710896799340844,0.2001544070080854,11.698800715811657,1,1,1,1,3,5,2,3,4,1,1,1,1,4,5
maze_9,1,3,"(1, 5)",3,5,2,0,8.0,occupancy_or_uniform,0.0,0.0,0.025625956460164776,0.9930264028847086,0.1891891891891892,0.7954100222129866,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,5.892317422778735,-5.892317422778735,-5.892317422778735,-5.892317422778735,-5.8923174227787385,3.552713678800501e-15,42.33263138582204,48.22494880860078,0.9999999936143584,0.9999999936143584,1.4426646321701417,1.4426646321701417,-12.545650756112067,-6.653333333333329,5.6489985415771145,11.541315964355853,-5.8923174227787385,0.0,-5.892317422767192,1.1546319456101628e-11,-1.004334791733129,12.545650756112067,4.88798263104561,-6.653333333333332,11.541315964378935,0.9999998989106715,42.33263138582204,43.33696617755517,0.9999999936143584,9.470368684293987e-08,1.4426646321701417,1.3662277477027397e-07,0.0351732230046764,0.01710896799340844,0.2001544070080854,11.698800715811657,2,2,2,2,4,2,5,5,2,2,2,2,2,2,1
maze_9,1,5,"(1, 7)",3,5,2,0,8.0,occupancy_or_uniform,0.0,0.0,0.02562559883229598,0.4688896344095924,0.35135135135135137,0.8489709904096633,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,5.892317422778735,-5.892317422778735,-5.892317422778735,-5.892317422778735,-5.8923174227787385,3.552713678800501e-15,42.33263138582204,48.22494880860078,0.9999999936143584,0.9999999936143584,1.4426646321701417,1.4426646321701417,-12.545650756112067,-6.653333333333329,5.6489985415771145,11.541315964355853,-5.8923174227787385,0.0,-5.892317422767192,1.1546319456101628e-11,-1.004334791733129,12.545650756112067,4.88798263104561,-6.653333333333332,11.541315964378935,0.9999998989106715,42.33263138582204,43.33696617755517,0.9999999936143584,9.470368684293987e-08,1.4426646321701417,1.3662277477027397e-07,0.0351732230046764,0.01710896799340844,0.2001544070080854,11.698800715811657,3,3,3,3,5,3,3,4,3,3,3,3,3,3,2
maze_9,1,21,"(5, 7)",3,5,2,0,8.0,occupancy_or_uniform,0.0,0.0,0.9800170023065443,1.0,1.0,0.9835707769680974,1.0,0.0,0.0,0.0,0.0,0.0,5.892317422778735,-5.892317422778735,-5.892317422778735,-5.892317422778735,-5.8923174227787385,3.552713678800501e-15,42.33263138582204,48.22494880860078,0.9999999936143584,0.9999999936143584,1.4426646321701417,1.4426646321701417,-13.438984089445405,-7.546666666666667,-5.8923174227787385,0.0,-5.8923174227787385,0.0,-5.892319609786917,-2.1870081781116824e-06,-13.438984089445405,13.438984089445405,-7.546666666666667,-7.54666666666667,0.0,0.0,42.33263138582204,55.771615475267446,0.9999999936143584,0.9999999936143584,1.4426646321701417,1.4426646321701417,0.0351732230046764,0.01710896799340844,0.2001544070080854,11.698800715811657,4,4,4,4,1,1,1,1,1,4,5,4,4,5,4
