map_family,map_size,map,method_spec,method,task_count,goal_source,n_states,n_boundary,state_compression_ratio,transition_nnz_proxy,kernel_nnz,construction_time_sec,kernel_time_sec,upfront_time_sec,full_total_time_sec,graph_replan_time_sec,graph_total_time_sec,amortized_speedup_vs_full_vi,planning_only_speedup_vs_full_vi,break_even_task_count_estimate,full_backup_count,smdp_edge_backup_count,backup_compression_ratio,start_gap_mean,start_gap_max
maze,13,maze_13,graph_rd_joint,graph_rd_joint,1,boundary,71,8,8.875,844,92,21.641032702988014,0.09073799004545435,21.731770693033468,0.052997146965935826,0.0067107450449839234,21.738481438078452,0.0024379415423702406,7.897356643812533,469.50658921700307,15052,1008,14.932539682539682,1.1475265182525618e-12,1.1475265182525618e-12
maze,13,maze_13,graph_rd_joint,graph_rd_joint,5,boundary,71,8,8.875,844,92,21.641032702988014,0.09073799004545435,21.731770693033468,0.3513454239582643,0.027864826028235257,21.759635519061703,0.016146659425911866,12.608922216210793,335.9053190839933,99684,4088,24.38454011741683,2.3154811401582264e-13,1.1475265182525618e-12
maze,13,maze_13,graph_rd_joint,graph_rd_joint,7,boundary,71,8,8.875,844,92,21.641032702988014,0.09073799004545435,21.731770693033468,0.4681992149562575,0.040043226967100054,21.771813920000568,0.021504832655498154,11.692344758851103,355.29666551127764,132912,5880,22.60408163265306,5.107660326432649e-13,1.2221335055073723e-12
maze,13,maze_13,graph_rd_surrogate_joint,graph_rd_surrogate_joint,1,boundary,71,8,8.875,844,92,1.553693191963248,0.09155692899366841,1.6452501209569164,0.06512823502998799,0.006974872027058154,1.6522249929839745,0.039418502508162756,9.337552685888866,28.291573109435248,15052,1008,14.932539682539682,1.1475265182525618e-12,1.1475265182525618e-12
maze,13,maze_13,graph_rd_surrogate_joint,graph_rd_surrogate_joint,5,boundary,71,8,8.875,844,92,1.553693191963248,0.09155692899366841,1.6452501209569164,0.428795516025275,0.028233342978637666,1.673483463935554,0.2562293116520379,15.18755736257363,20.536763474734798,99684,4088,24.38454011741683,2.3154811401582264e-13,1.1475265182525618e-12
maze,13,maze_13,graph_rd_surrogate_joint,graph_rd_surrogate_joint,7,boundary,71,8,8.875,844,92,1.553693191963248,0.09155692899366841,1.6452501209569164,0.571116300066933,0.04039879498304799,1.6856489159399644,0.3388109437655129,14.136963746235079,21.70034102206235,132912,5880,22.60408163265306,5.107660326432649e-13,1.2221335055073723e-12
maze,13,maze_13,betweenness_sqrt,betweenness_9,1,boundary,71,9,7.888888888888889,844,121,0.005149428034201264,0.11398599302629009,0.11913542106049135,0.06504785997094586,0.00916685804259032,0.12830227910308167,0.5069891230746149,7.095982033181459,2.1319485504793496,15052,1368,11.002923976608187,4.192202140984591e-13,4.192202140984591e-13
maze,13,maze_13,betweenness_sqrt,betweenness_9,5,boundary,71,9,7.888888888888889,844,121,0.005149428034201264,0.11398599302629009,0.11913542106049135,0.33780779293738306,0.051939682103693485,0.17107510316418484,1.9746169178877004,6.503847910793454,2.083748003809371,77816,7776,10.007201646090534,1.2924772363476223e-12,6.036060540282051e-12
maze,13,maze_13,betweenness_sqrt,betweenness_9,8,boundary,71,9,7.888888888888889,844,121,0.005149428034201264,0.11398599302629009,0.11913542106049135,0.5289264259627089,0.0823460430256091,0.20148146408610046,2.6251865319813197,6.423216059066931,2.134181000552752,121836,12312,9.89571150097466,3.771649659256582e-12,1.0690115459510707e-11
maze,13,maze_13,turn_articulation,turn_articulation,1,boundary,71,18,3.9444444444444446,844,546,0.0007036949973553419,0.38989826396573335,0.3906019589630887,0.06585643900325522,0.03543690801598132,0.42603886697907,0.1545784765371901,1.8584138033023456,12.840499057217487,15052,5508,2.7327523602033406,1.1475265182525618e-12,1.1475265182525618e-12
maze,13,maze_13,turn_articulation,turn_articulation,5,boundary,71,18,3.9444444444444446,844,546,0.0007036949973553419,0.38989826396573335,0.3906019589630887,0.43007201206637546,0.2514192469534464,0.6420212059165351,0.669871973235548,1.7105771227849114,10.931875549650279,98548,38862,2.535844784107869,2.3439028495886303e-13,1.1475265182525618e-12
maze,13,maze_13,turn_articulation,turn_articulation,10,boundary,71,18,3.9444444444444446,844,546,0.0007036949973553419,0.38989826396573335,0.3906019589630887,0.8543500410742126,0.503793635929469,0.8943955948925577,0.955226128072382,1.6958333336188103,11.142342665278372,197948,78948,2.507321274763135,6.1694205300000246e-12,3.3427483003833913e-11
maze,13,maze_13,turn_articulation,turn_articulation,17,boundary,71,18,3.9444444444444446,844,546,0.0007036949973553419,0.38989826396573335,0.3906019589630887,1.4126937441178598,0.8335907878936268,1.2241927468567155,1.1539798350751111,1.6947089202935521,11.466412372796384,328588,130968,2.5089182090281597,8.201517896195047e-12,3.3427483003833913e-11
