map_family,map_size,map,planner,method_spec,method,iteration,n_states,n_boundary,state_compression_ratio,planning_backup_count,total_backup_count_proxy,planning_time_sec,total_time_sec,start_value_estimate,start_value_optimal,start_value_error,final_start_gap_floor,occupancy_struct_hidden_distinct,struct_hidden_distinct_cvar95,edge_count,kernel_nnz
corridor,64,corridor_64,full_vi,full_mdp,full_mdp,1,64,64,1.0,256,256,0.0009194629965350032,0.0009194629965350032,-1.0,-29.05106896270878,28.05106896270878,0.0,0.0,0.0,,
corridor,64,corridor_64,full_vi,full_mdp,full_mdp,2,64,64,1.0,512,512,0.0017624719766899943,0.0017624719766899943,-1.97,-29.05106896270878,27.08106896270878,0.0,0.0,0.0,,
corridor,64,corridor_64,full_vi,full_mdp,full_mdp,3,64,64,1.0,768,768,0.0026275740237906575,0.0026275740237906575,-2.9109,-29.05106896270878,26.140168962708778,0.0,0.0,0.0,,
corridor,64,corridor_64,full_vi,full_mdp,full_mdp,5,64,64,1.0,1280,1280,0.004323024011682719,0.004323024011682719,-4.708865809999999,-29.05106896270878,24.34220315270878,0.0,0.0,0.0,,
corridor,64,corridor_64,full_vi,full_mdp,full_mdp,8,64,64,1.0,2048,2048,0.00685695098945871,0.00685695098945871,-7.208554685410128,-29.05106896270878,21.84251427729865,0.0,0.0,0.0,,
corridor,64,corridor_64,full_vi,full_mdp,full_mdp,13,64,64,1.0,3328,3328,0.011128080019261688,0.011128080019261688,-10.899096994480832,-29.05106896270878,18.151971968227947,0.0,0.0,0.0,,
corridor,64,corridor_64,full_vi,full_mdp,full_mdp,21,64,64,1.0,5376,5376,0.017980660020839423,0.017980660020839423,-15.750649578701829,-29.05106896270878,13.30041938400695,0.0,0.0,0.0,,
corridor,64,corridor_64,full_vi,full_mdp,full_mdp,34,64,64,1.0,8704,8704,0.029044691007584333,0.029044691007584333,-21.499710848652164,-29.05106896270878,7.551358114056615,0.0,0.0,0.0,,
corridor,64,corridor_64,full_vi,full_mdp,full_mdp,55,64,64,1.0,14080,14080,0.04672414599917829,0.04672414599917829,-27.091328078737945,-29.05106896270878,1.9597408839708343,0.0,0.0,0.0,,
corridor,64,corridor_64,full_vi,full_mdp,full_mdp,89,64,64,1.0,22784,22784,0.0755651980289258,0.0755651980289258,-29.051068951195138,-29.05106896270878,1.1513641595684021e-08,0.0,0.0,0.0,,
corridor,64,corridor_64,full_vi,full_mdp,full_mdp,95,64,64,1.0,24320,24320,0.08068421500502154,0.08068421500502154,-29.05106896270878,-29.05106896270878,0.0,0.0,0.0,0.0,,
corridor,64,corridor_64,graph_smdp,endpoints,endpoints,1,64,2,32.0,2,4,5.613698158413172e-05,0.008447480911854655,-29.05106896274253,-29.05106896270878,3.375077994860476e-11,3.375077994860476e-11,0.0,0.0,2,2
corridor,64,corridor_64,graph_smdp,endpoints,endpoints,2,64,2,32.0,4,6,8.728395914658904e-05,0.008478627889417112,-29.05106896274253,-29.05106896270878,3.375077994860476e-11,3.375077994860476e-11,0.0,0.0,2,2
corridor,64,corridor_64,graph_smdp,betweenness_sqrt,betweenness_8,1,64,8,8.0,56,142,0.000413188012316823,0.09022134600672871,-20.368374095005834,-29.05106896270878,8.682694867702946,1.829647544582258e-11,0.0,0.0,56,86
corridor,64,corridor_64,graph_smdp,betweenness_sqrt,betweenness_8,2,64,8,8.0,112,198,0.0007841490441933274,0.09059230703860521,-20.783983563785686,-29.05106896270878,8.267085398923093,1.829647544582258e-11,0.0,0.0,56,86
corridor,64,corridor_64,graph_smdp,betweenness_sqrt,betweenness_8,3,64,8,8.0,168,254,0.0011498130043037236,0.09095797099871561,-21.173043666871905,-29.05106896270878,7.878025295836874,1.829647544582258e-11,0.0,0.0,56,86
corridor,64,corridor_64,graph_smdp,betweenness_sqrt,betweenness_8,5,64,8,8.0,280,366,0.0019320340361446142,0.0917401920305565,-21.91556653545405,-29.05106896270878,7.135502427254728,1.829647544582258e-11,0.0,0.0,56,86
corridor,64,corridor_64,graph_smdp,betweenness_sqrt,betweenness_8,8,64,8,8.0,448,534,0.003047534031793475,0.09285569202620536,-22.944932441874396,-29.05106896270878,6.106136520834383,1.829647544582258e-11,0.0,0.0,56,86
corridor,64,corridor_64,graph_smdp,betweenness_sqrt,betweenness_8,13,64,8,8.0,728,814,0.004950563015881926,0.09475872101029381,-24.458473948936067,-29.05106896270878,4.592595013772712,1.829647544582258e-11,0.0,0.0,56,86
corridor,64,corridor_64,graph_smdp,betweenness_sqrt,betweenness_8,21,64,8,8.0,1176,1262,0.007956000044941902,0.09776415803935379,-26.435035701494982,-29.05106896270878,2.616033261213797,1.829647544582258e-11,0.0,0.0,56,86
corridor,64,corridor_64,graph_smdp,betweenness_sqrt,betweenness_8,34,64,8,8.0,1904,1990,0.012743158033117652,0.10255131602752954,-28.75259846319035,-29.05106896270878,0.2984704995184302,1.829647544582258e-11,0.0,0.0,56,86
corridor,64,corridor_64,graph_smdp,betweenness_sqrt,betweenness_8,51,64,8,8.0,2856,2942,0.019011514028534293,0.10881967202294618,-29.051068962727076,-29.05106896270878,1.829647544582258e-11,1.829647544582258e-11,0.0,0.0,56,86
corridor,64,corridor_64,graph_smdp,turn_articulation,turn_articulation,1,64,2,32.0,2,4,5.212100222706795e-05,0.009629701031371951,-29.05106896274253,-29.05106896270878,3.375077994860476e-11,3.375077994860476e-11,0.0,0.0,2,2
corridor,64,corridor_64,graph_smdp,turn_articulation,turn_articulation,2,64,2,32.0,4,6,8.305296069011092e-05,0.009660632989834994,-29.05106896274253,-29.05106896270878,3.375077994860476e-11,3.375077994860476e-11,0.0,0.0,2,2
maze,13,maze_13,full_vi,full_mdp,full_mdp,1,71,71,1.0,284,284,0.0010118610225617886,0.0010118610225617886,-1.0,-18.091389851581777,17.091389851581777,0.0,0.0,0.0,,
maze,13,maze_13,full_vi,full_mdp,full_mdp,2,71,71,1.0,568,568,0.001950402045622468,0.001950402045622468,-1.97,-18.091389851581777,16.121389851581778,0.0,0.0,0.0,,
maze,13,maze_13,full_vi,full_mdp,full_mdp,3,71,71,1.0,852,852,0.0029121010447852314,0.0029121010447852314,-2.9109,-18.091389851581777,15.180489851581777,0.0,0.0,0.0,,
maze,13,maze_13,full_vi,full_mdp,full_mdp,5,71,71,1.0,1420,1420,0.0048390000010840595,0.0048390000010840595,-4.708865809999999,-18.091389851581777,13.382524041581778,0.0,0.0,0.0,,
maze,13,maze_13,full_vi,full_mdp,full_mdp,8,71,71,1.0,2272,2272,0.0077136020408943295,0.0077136020408943295,-7.208554685410128,-18.091389851581777,10.882835166171649,0.0,0.0,0.0,,
maze,13,maze_13,full_vi,full_mdp,full_mdp,13,71,71,1.0,3692,3692,0.012444838997907937,0.012444838997907937,-10.899096994480832,-18.091389851581777,7.192292857100945,0.0,0.0,0.0,,
maze,13,maze_13,full_vi,full_mdp,full_mdp,21,71,71,1.0,5964,5964,0.02004504803335294,0.02004504803335294,-15.750649578701829,-18.091389851581777,2.3407402728799482,0.0,0.0,0.0,,
maze,13,maze_13,full_vi,full_mdp,full_mdp,34,71,71,1.0,9656,9656,0.03275044803740457,0.03275044803740457,-18.09116352796662,-18.091389851581777,0.00022632361515562138,0.0,0.0,0.0,,
