map_family,map_size,map,planner,method_spec,method,iteration,n_states,n_boundary,state_compression_ratio,planning_backup_count,total_backup_count_proxy,planning_time_sec,total_time_sec,start_value_estimate,start_value_optimal,start_value_error,final_start_gap_floor,occupancy_struct_hidden_distinct,struct_hidden_distinct_cvar95,edge_count,kernel_nnz
corridor,64,corridor_64,full_vi,full_mdp,full_mdp,1,64,64,1.0,256,256,0.0008851750171743333,0.0008851750171743333,-1.0,-29.05106896270878,28.05106896270878,0.0,0.0,0.0,,
corridor,64,corridor_64,full_vi,full_mdp,full_mdp,2,64,64,1.0,512,512,0.0017603650339879096,0.0017603650339879096,-1.97,-29.05106896270878,27.08106896270878,0.0,0.0,0.0,,
corridor,64,corridor_64,full_vi,full_mdp,full_mdp,3,64,64,1.0,768,768,0.0026389710255898535,0.0026389710255898535,-2.9109,-29.05106896270878,26.140168962708778,0.0,0.0,0.0,,
corridor,64,corridor_64,full_vi,full_mdp,full_mdp,5,64,64,1.0,1280,1280,0.004363660991657525,0.004363660991657525,-4.708865809999999,-29.05106896270878,24.34220315270878,0.0,0.0,0.0,,
corridor,64,corridor_64,full_vi,full_mdp,full_mdp,8,64,64,1.0,2048,2048,0.006918300990946591,0.006918300990946591,-7.208554685410128,-29.05106896270878,21.84251427729865,0.0,0.0,0.0,,
corridor,64,corridor_64,full_vi,full_mdp,full_mdp,13,64,64,1.0,3328,3328,0.011240260035265237,0.011240260035265237,-10.899096994480832,-29.05106896270878,18.151971968227947,0.0,0.0,0.0,,
corridor,64,corridor_64,full_vi,full_mdp,full_mdp,21,64,64,1.0,5376,5376,0.01816357602365315,0.01816357602365315,-15.750649578701829,-29.05106896270878,13.30041938400695,0.0,0.0,0.0,,
corridor,64,corridor_64,full_vi,full_mdp,full_mdp,34,64,64,1.0,8704,8704,0.029475593008100986,0.029475593008100986,-21.499710848652164,-29.05106896270878,7.551358114056615,0.0,0.0,0.0,,
corridor,64,corridor_64,full_vi,full_mdp,full_mdp,55,64,64,1.0,14080,14080,0.0475010119844228,0.0475010119844228,-27.091328078737945,-29.05106896270878,1.9597408839708343,0.0,0.0,0.0,,
corridor,64,corridor_64,full_vi,full_mdp,full_mdp,89,64,64,1.0,22784,22784,0.07692000200040638,0.07692000200040638,-29.051068951195138,-29.05106896270878,1.1513641595684021e-08,0.0,0.0,0.0,,
corridor,64,corridor_64,full_vi,full_mdp,full_mdp,95,64,64,1.0,24320,24320,0.08210872998461127,0.08210872998461127,-29.05106896270878,-29.05106896270878,0.0,0.0,0.0,0.0,,
corridor,64,corridor_64,graph_smdp,endpoints,endpoints,1,64,2,32.0,2,4,6.0184975154697895e-05,0.008763648918829858,-29.05106896274253,-29.05106896270878,3.375077994860476e-11,3.375077994860476e-11,0.0,0.0,2,2
corridor,64,corridor_64,graph_smdp,endpoints,endpoints,2,64,2,32.0,4,6,0.00010434596333652735,0.008807809907011688,-29.05106896274253,-29.05106896270878,3.375077994860476e-11,3.375077994860476e-11,0.0,0.0,2,2
corridor,64,corridor_64,graph_smdp,betweenness_sqrt,betweenness_8,1,64,8,8.0,56,142,0.0004272029618732631,0.09044428495690227,-20.368374095005834,-29.05106896270878,8.682694867702946,1.829647544582258e-11,0.0,0.0,56,86
corridor,64,corridor_64,graph_smdp,betweenness_sqrt,betweenness_8,2,64,8,8.0,112,198,0.0008010859601199627,0.09081816795514897,-20.783983563785686,-29.05106896270878,8.267085398923093,1.829647544582258e-11,0.0,0.0,56,86
corridor,64,corridor_64,graph_smdp,betweenness_sqrt,betweenness_8,3,64,8,8.0,168,254,0.0011671779793687165,0.09118425997439772,-21.173043666871905,-29.05106896270878,7.878025295836874,1.829647544582258e-11,0.0,0.0,56,86
corridor,64,corridor_64,graph_smdp,betweenness_sqrt,betweenness_8,5,64,8,8.0,280,366,0.00195968896150589,0.09197677095653489,-21.91556653545405,-29.05106896270878,7.135502427254728,1.829647544582258e-11,0.0,0.0,56,86
corridor,64,corridor_64,graph_smdp,betweenness_sqrt,betweenness_8,8,64,8,8.0,448,534,0.0030917419935576618,0.09310882398858666,-22.944932441874396,-29.05106896270878,6.106136520834383,1.829647544582258e-11,0.0,0.0,56,86
corridor,64,corridor_64,graph_smdp,betweenness_sqrt,betweenness_8,13,64,8,8.0,728,814,0.005000348959583789,0.09501743095461279,-24.458473948936067,-29.05106896270878,4.592595013772712,1.829647544582258e-11,0.0,0.0,56,86
corridor,64,corridor_64,graph_smdp,betweenness_sqrt,betweenness_8,21,64,8,8.0,1176,1262,0.007905981969088316,0.09792306396411732,-26.435035701494982,-29.05106896270878,2.616033261213797,1.829647544582258e-11,0.0,0.0,56,86
corridor,64,corridor_64,graph_smdp,betweenness_sqrt,betweenness_8,34,64,8,8.0,1904,1990,0.012717046949546784,0.10273412894457579,-28.75259846319035,-29.05106896270878,0.2984704995184302,1.829647544582258e-11,0.0,0.0,56,86
corridor,64,corridor_64,graph_smdp,betweenness_sqrt,betweenness_8,51,64,8,8.0,2856,2942,0.019097738957498223,0.10911482095252723,-29.051068962727076,-29.05106896270878,1.829647544582258e-11,1.829647544582258e-11,0.0,0.0,56,86
corridor,64,corridor_64,graph_smdp,graph_rd_joint,graph_rd_joint,1,64,2,32.0,2,4,6.294000195339322e-05,0.22693817398976535,-29.05106896274253,-29.05106896270878,3.375077994860476e-11,3.375077994860476e-11,0.0,0.0,2,2
corridor,64,corridor_64,graph_smdp,graph_rd_joint,graph_rd_joint,2,64,2,32.0,4,6,9.748002048581839e-05,0.22697271400829777,-29.05106896274253,-29.05106896270878,3.375077994860476e-11,3.375077994860476e-11,0.0,0.0,2,2
corridor,64,corridor_64,graph_smdp,turn_articulation,turn_articulation,1,64,2,32.0,2,4,6.647803820669651e-05,0.00917503604432568,-29.05106896274253,-29.05106896270878,3.375077994860476e-11,3.375077994860476e-11,0.0,0.0,2,2
corridor,64,corridor_64,graph_smdp,turn_articulation,turn_articulation,2,64,2,32.0,4,6,0.00010000402107834816,0.009208562027197331,-29.05106896274253,-29.05106896270878,3.375077994860476e-11,3.375077994860476e-11,0.0,0.0,2,2
maze,13,maze_13,full_vi,full_mdp,full_mdp,1,71,71,1.0,284,284,0.0010358520084992051,0.0010358520084992051,-1.0,-18.091389851581777,17.091389851581777,0.0,0.0,0.0,,
maze,13,maze_13,full_vi,full_mdp,full_mdp,2,71,71,1.0,568,568,0.002007200033403933,0.002007200033403933,-1.97,-18.091389851581777,16.121389851581778,0.0,0.0,0.0,,
maze,13,maze_13,full_vi,full_mdp,full_mdp,3,71,71,1.0,852,852,0.0030281960498541594,0.0030281960498541594,-2.9109,-18.091389851581777,15.180489851581777,0.0,0.0,0.0,,
maze,13,maze_13,full_vi,full_mdp,full_mdp,5,71,71,1.0,1420,1420,0.005012207024265081,0.005012207024265081,-4.708865809999999,-18.091389851581777,13.382524041581778,0.0,0.0,0.0,,
maze,13,maze_13,full_vi,full_mdp,full_mdp,8,71,71,1.0,2272,2272,0.007970630016643554,0.007970630016643554,-7.208554685410128,-18.091389851581777,10.882835166171649,0.0,0.0,0.0,,
maze,13,maze_13,full_vi,full_mdp,full_mdp,13,71,71,1.0,3692,3692,0.012996658042538911,0.012996658042538911,-10.899096994480832,-18.091389851581777,7.192292857100945,0.0,0.0,0.0,,
maze,13,maze_13,full_vi,full_mdp,full_mdp,21,71,71,1.0,5964,5964,0.020869058032985777,0.020869058032985777,-15.750649578701829,-18.091389851581777,2.3407402728799482,0.0,0.0,0.0,,
maze,13,maze_13,full_vi,full_mdp,full_mdp,34,71,71,1.0,9656,9656,0.033765404019504786,0.033765404019504786,-18.09116352796662,-18.091389851581777,0.00022632361515562138,0.0,0.0,0.0,,
maze,13,maze_13,full_vi,full_mdp,full_mdp,53,71,71,1.0,15052,15052,0.05256145802559331,0.05256145802559331,-18.091389851581777,-18.091389851581777,0.0,0.0,0.0,0.0,,
maze,13,maze_13,graph_smdp,endpoints,endpoints,1,71,2,35.5,2,4,6.052700337022543e-05,0.01928587700240314,-18.091389851581944,-18.091389851581777,1.6697754290362354e-13,1.6697754290362354e-13,6.000000094732837,6.000000094762004,2,2
maze,13,maze_13,graph_smdp,endpoints,endpoints,2,71,2,35.5,4,6,9.26189823076129e-05,0.019317968981340528,-18.091389851581944,-18.091389851581777,1.6697754290362354e-13,1.6697754290362354e-13,6.000000094732837,6.000000094762004,2,2
maze,13,maze_13,graph_smdp,betweenness_sqrt,betweenness_9,1,71,9,7.888888888888889,72,193,0.0005654150154441595,0.3876694109640084,-16.517036060823543,-18.091389851581777,1.5743537907582343,4.192202140984591e-13,5.000005494476323,4.999999999999995,72,121
maze,13,maze_13,graph_smdp,betweenness_sqrt,betweenness_9,2,71,9,7.888888888888889,144,265,0.0011083480203524232,0.3882123439689167,-17.056105428323804,-18.091389851581777,1.0352844232579734,4.192202140984591e-13,5.000005494476323,4.999999999999995,72,121
maze,13,maze_13,graph_smdp,betweenness_sqrt,betweenness_9,3,71,9,7.888888888888889,216,337,0.0016646820004098117,0.3887686779489741,-17.56918140832061,-18.091389851581777,0.5222084432611673,4.192202140984591e-13,5.000005494476323,4.999999999999995,72,121
maze,13,maze_13,graph_smdp,betweenness_sqrt,betweenness_9,5,71,9,7.888888888888889,360,481,0.0025942270294763148,0.3896982229780406,-18.07464580969903,-18.091389851581777,0.016744041882745364,4.192202140984591e-13,5.000005494476323,4.999999999999995,72,121
maze,13,maze_13,graph_smdp,betweenness_sqrt,betweenness_9,8,71,9,7.888888888888889,576,697,0.004112638998776674,0.39121663494734094,-18.09135572373294,-18.091389851581777,3.41278488384944e-05,4.192202140984591e-13,5.000005494476323,4.999999999999995,72,121
maze,13,maze_13,graph_smdp,betweenness_sqrt,betweenness_9,13,71,9,7.888888888888889,936,1057,0.006606696988455951,0.3937106929370202,-18.09138983388387,-18.091389851581777,1.7697907139790914e-08,4.192202140984591e-13,5.000005494476323,4.999999999999995,72,121
maze,13,maze_13,graph_smdp,betweenness_sqrt,betweenness_9,19,71,9,7.888888888888889,1368,1489,0.009544830012600869,0.39664882596116513,-18.091389851581358,-18.091389851581777,4.192202140984591e-13,4.192202140984591e-13,5.000005494476323,4.999999999999995,72,121
maze,13,maze_13,graph_smdp,graph_rd_joint,graph_rd_joint,1,71,8,8.875,56,148,0.0004335230332799256,21.52625092602102,-2.085547560189942,-18.091389851581777,16.005842291391836,1.1475265182525618e-12,9.473284438199232e-08,9.47328354104429e-08,56,92
maze,13,maze_13,graph_smdp,graph_rd_joint,graph_rd_joint,2,71,8,8.875,112,204,0.0007988030556589365,21.5266162060434,-4.056817412413025,-18.091389851581777,14.034572439168752,1.1475265182525618e-12,9.473284438199232e-08,9.47328354104429e-08,56,92
maze,13,maze_13,graph_smdp,graph_rd_joint,graph_rd_joint,3,71,8,8.875,168,260,0.0011559920385479927,21.52697339502629,-5.88854440425256,-18.091389851581777,12.202845447329217,1.1475265182525618e-12,9.473284438199232e-08,9.47328354104429e-08,56,92
maze,13,maze_13,graph_smdp,graph_rd_joint,graph_rd_joint,5,71,8,8.875,280,372,0.0019312030053697526,21.52774860599311,-9.228699335944219,-18.091389851581777,8.862690515637558,1.1475265182525618e-12,9.473284438199232e-08,9.47328354104429e-08,56,92
maze,13,maze_13,graph_smdp,graph_rd_joint,graph_rd_joint,8,71,8,8.875,448,540,0.003051003033760935,21.528868406021502,-13.497916506937079,-18.091389851581777,4.593473344644698,1.1475265182525618e-12,9.473284438199232e-08,9.47328354104429e-08,56,92
maze,13,maze_13,graph_smdp,graph_rd_joint,graph_rd_joint,13,71,8,8.875,728,820,0.004978907003533095,21.530796309991274,-18.091094654943575,-18.091389851581777,0.00029519663820209985,1.1475265182525618e-12,9.473284438199232e-08,9.47328354104429e-08,56,92
maze,13,maze_13,graph_smdp,graph_rd_joint,graph_rd_joint,18,71,8,8.875,1008,1100,0.006851484009530395,21.53266888699727,-18.09138985158063,-18.091389851581777,1.1475265182525618e-12,1.1475265182525618e-12,9.473284438199232e-08,9.47328354104429e-08,56,92
maze,13,maze_13,graph_smdp,turn_articulation,turn_articulation,1,71,18,3.9444444444444446,306,852,0.002393250004388392,0.4246677660266869,-2.085547560189942,-18.091389851581777,16.005842291391836,1.1475265182525618e-12,0.0,0.0,306,546
maze,13,maze_13,graph_smdp,turn_articulation,turn_articulation,2,71,18,3.9444444444444446,612,1158,0.004502052033785731,0.4267765680560842,-4.056817412413025,-18.091389851581777,14.034572439168752,1.1475265182525618e-12,0.0,0.0,306,546
maze,13,maze_13,graph_smdp,turn_articulation,turn_articulation,3,71,18,3.9444444444444446,918,1464,0.006579714012332261,0.42885423003463075,-5.88854440425256,-18.091389851581777,12.202845447329217,1.1475265182525618e-12,0.0,0.0,306,546
maze,13,maze_13,graph_smdp,turn_articulation,turn_articulation,5,71,18,3.9444444444444446,1530,2076,0.010588049015495926,0.4328625650377944,-9.228699335944219,-18.091389851581777,8.862690515637558,1.1475265182525618e-12,0.0,0.0,306,546
maze,13,maze_13,graph_smdp,turn_articulation,turn_articulation,8,71,18,3.9444444444444446,2448,2994,0.016453860036563128,0.4387283760588616,-13.497916506937079,-18.091389851581777,4.593473344644698,1.1475265182525618e-12,0.0,0.0,306,546
maze,13,maze_13,graph_smdp,turn_articulation,turn_articulation,13,71,18,3.9444444444444446,3978,4524,0.026284437044523656,0.44855895306682214,-18.091094654943554,-18.091389851581777,0.00029519663822341613,1.1475265182525618e-12,0.0,0.0,306,546
