method,map,slip,sample_rollouts_per_option,n_boundary,replicates,policy_value_loss_exact_mean,policy_value_loss_exact_std,estimated_model_start_error_mean,estimated_model_start_error_std,policy_disagreement_mean,policy_disagreement_std,kernel_gamma_l1_mean_mean,kernel_gamma_l1_mean_std,kernel_hit_l1_mean_mean,kernel_hit_l1_mean_std,kernel_reward_abs_mean_mean,kernel_reward_abs_mean_std,success_rate_mean,success_rate_std,primitive_steps_mean_mean,primitive_steps_mean_std,hidden_audit_distinct_mean_mean,hidden_audit_distinct_mean_std,mc_timeout_rate_mean,mc_timeout_rate_std
betweenness_12,maze,0.05,1,12,3,2.7058316975722434,3.810475916270935,0.5881173500590317,0.3102004352580401,0.24242424242424243,0.15451574283614497,0.04660478774112902,0.006402566583831537,0.04581298621574129,0.006896199874715304,0.24780024113433052,0.05171539129573,0.9966666666666667,0.004714045207910321,83.76666666666667,63.599598705931754,7.039999999999999,0.028284271247462134,0.0,0.0
betweenness_12,maze,0.05,2,12,3,0.01141833762902896,1.8422418190964515e-14,0.5864472117496575,0.15628118375309794,0.27272727272727276,0.1484539238050411,0.045842061905756314,0.0032392955513359826,0.04494215680460212,0.003324990777820924,0.17335872580411008,0.022088628449114238,1.0,0.0,38.36000000000001,0.13140268896284682,7.046666666666667,0.03771236166328257,0.0,0.0
betweenness_12,maze,0.05,5,12,3,0.007612225089021744,0.0053826559739873015,0.5233921392899497,0.18648095038451518,0.21212121212121213,0.042854956435548326,0.03541598526895102,0.00578032283669697,0.03647804886160627,0.006142727373166415,0.15183646439185258,0.015155302311497086,1.0,0.0,38.74,0.08286535263103845,7.013333333333333,0.009428090415820432,0.0,0.0
betweenness_12,maze,0.05,10,12,3,0.01141833762902896,1.8422418190964515e-14,0.4689222742333759,0.06042662727364943,0.5454545454545454,0.1484539238050411,0.034311827160719864,0.0010713404380676007,0.03485550686507776,0.0010842084212360499,0.09916389375642916,0.0058075805895593455,1.0,0.0,38.48333333333333,0.08730533902472466,7.013333333333333,0.009428090415820432,0.0,0.0
betweenness_12,maze,0.05,20,12,3,0.007612225057039031,0.005382655951372109,0.3477574960826478,0.041039105511251193,0.5454545454545454,0.07422696190252055,0.029211486656585364,0.004202166586490265,0.030231418957623834,0.004474269623525224,0.07900772089953707,0.0022980516412411146,1.0,0.0,38.803333333333335,0.15839472494022339,7.033333333333332,0.024944382578492807,0.0,0.0
betweenness_12,maze,0.05,50,12,3,0.011418263821232935,1.0437997693352586e-07,0.26229893629062556,0.0292784312496931,0.6666666666666666,0.04285495643554835,0.01576812881529007,0.000776902808721136,0.016314999945860973,0.0009850315747457722,0.04831340069454599,0.00357801333618439,1.0,0.0,38.73333333333334,0.3318969050105087,7.039999999999999,0.016329931618554536,0.0,0.0
graph_rd_joint,maze,0.05,1,24,3,0.0313051964681641,0.014062036833841312,0.8074621813658567,0.0,0.2608695652173913,0.03549985134468375,0.010659397313959379,0.001731467911184192,0.0028590220821327205,0.0016491090866604476,0.2753952490953219,0.011801923673331879,1.0,0.0,38.690000000000005,0.23423634787681213,2.03,0.021602468994692956,0.0,0.0
graph_rd_joint,maze,0.05,2,24,3,0.04124855724228856,4.688103483621487e-10,0.8074621813658567,0.0,0.2608695652173913,0.03549985134468375,0.009654091059801665,0.0007407938950830577,0.002817376238387927,0.0007951064849596375,0.24315816407373156,0.011173480761772582,1.0,0.0,38.59333333333333,0.08653836657164828,2.0533333333333332,0.018856180831641284,0.0,0.0
graph_rd_joint,maze,0.05,5,24,3,0.024664920243443095,0.01248336137173414,0.8074621813658697,3.3497350114090054e-15,0.4202898550724637,0.07389883353033021,0.00787581647295021,0.0009936111752477151,0.0032566044502325155,0.0011326724924378224,0.1769801252070509,0.0035068294002915234,1.0,0.0,38.61666666666667,0.15062831370259985,0.6866666666666666,0.9710933128295253,0.0,0.0
graph_rd_joint,maze,0.05,10,24,3,0.018121982445043965,0.00494138303038541,0.7851936705741936,0.015746214987718256,0.5797101449275363,0.04099169746008974,0.005929494547170899,0.0006204240059348637,0.0028469885204556113,0.0006322357806167272,0.12367359242105863,0.002880844992804548,1.0,0.0,38.73666666666667,0.3843898484033572,0.0,0.0,0.0,0.0
graph_rd_joint,maze,0.05,20,24,3,0.014620403914988126,0.004948966252136775,0.6639539792547247,0.020228401528758887,0.8550724637681159,0.04099169746008968,0.004444877949079544,0.00013796457692494978,0.0023293291482736947,0.0001282805387184121,0.08734636055587199,0.001514510804991954,1.0,0.0,38.370000000000005,0.24055491403558366,0.006666666666666667,0.009428090415820633,0.0,0.0
graph_rd_joint,maze,0.05,50,24,3,0.03794904304898239,0.030816945817402307,0.43728516808912116,0.020018338321934438,0.8695652173913043,0.0,0.0030784832674835352,0.00024421504113090835,0.001804493399911508,0.00025096279970067013,0.05497003394579597,0.001216265258349158,1.0,0.0,38.606666666666676,0.1027402333828162,0.0,0.0,0.0,0.0
