map,slip,budget_frac,subset_size,candidate_subset,n_boundary,boundary,objective_tuple,total_violation,max_violation,all_groups_feasible,test_bits_mean,test_bits_cvar,group_risks,group_violations,map_family,map_size,n_states,n_basis,n_start_boundary,candidate_pool,is_oracle_best
open_room_5,0.0,0.1,0,[],2,"[0, 24]","[139.90735114626443, 69.95367557313222, 2, 77.72630619236912]",139.90735114626443,69.95367557313222,False,51.81753746157941,77.72630619236912,"{""stochastic"": 0.0, ""topology"": 77.72630619236912, ""value"": 77.72630619236912}","{""stochastic"": 0.0, ""topology"": 69.95367557313222, ""value"": 69.95367557313222}",open_room,5,25,5,2,"[4, 12, 20]",False
open_room_5,0.0,0.1,1,[4],3,"[0, 4, 24]","[101.04419805007842, 69.95367557313222, 3, 38.86315309618312]",101.04419805007842,69.95367557313222,False,25.908768730788747,38.86315309618312,"{""stochastic"": 0.0, ""topology"": 77.72630619236912, ""value"": 38.86315309618312}","{""stochastic"": 0.0, ""topology"": 69.95367557313222, ""value"": 31.090522476946205}",open_room,5,25,5,2,"[4, 12, 20]",True
open_room_5,0.0,0.1,1,[12],3,"[0, 12, 24]","[101.04419805007842, 69.95367557313222, 3, 38.86315309618312]",101.04419805007842,69.95367557313222,False,25.908768730788747,38.86315309618312,"{""stochastic"": 0.0, ""topology"": 77.72630619236912, ""value"": 38.86315309618312}","{""stochastic"": 0.0, ""topology"": 69.95367557313222, ""value"": 31.090522476946205}",open_room,5,25,5,2,"[4, 12, 20]",False
open_room_5,0.0,0.1,1,[20],3,"[0, 20, 24]","[101.04419805007842, 69.95367557313222, 3, 38.86315309618312]",101.04419805007842,69.95367557313222,False,25.908768730788747,38.86315309618312,"{""stochastic"": 0.0, ""topology"": 77.72630619236912, ""value"": 38.86315309618312}","{""stochastic"": 0.0, ""topology"": 69.95367557313222, ""value"": 31.090522476946205}",open_room,5,25,5,2,"[4, 12, 20]",False
open_room_5,0.0,0.1,2,"[4, 12]",4,"[0, 4, 12, 24]","[101.04419805007842, 69.95367557313222, 4, 38.86315309618312]",101.04419805007842,69.95367557313222,False,25.908768730788747,38.86315309618312,"{""stochastic"": 0.0, ""topology"": 77.72630619236912, ""value"": 38.86315309618312}","{""stochastic"": 0.0, ""topology"": 69.95367557313222, ""value"": 31.090522476946205}",open_room,5,25,5,2,"[4, 12, 20]",False
open_room_5,0.0,0.1,2,"[4, 20]",4,"[0, 4, 20, 24]","[101.04419805007842, 69.95367557313222, 4, 38.86315309618312]",101.04419805007842,69.95367557313222,False,25.908768730788747,38.86315309618312,"{""stochastic"": 0.0, ""topology"": 77.72630619236912, ""value"": 38.86315309618312}","{""stochastic"": 0.0, ""topology"": 69.95367557313222, ""value"": 31.090522476946205}",open_room,5,25,5,2,"[4, 12, 20]",False
open_room_5,0.0,0.1,2,"[12, 20]",4,"[0, 12, 20, 24]","[101.04419805007842, 69.95367557313222, 4, 38.86315309618312]",101.04419805007842,69.95367557313222,False,25.908768730788747,38.86315309618312,"{""stochastic"": 0.0, ""topology"": 77.72630619236912, ""value"": 38.86315309618312}","{""stochastic"": 0.0, ""topology"": 69.95367557313222, ""value"": 31.090522476946205}",open_room,5,25,5,2,"[4, 12, 20]",False
random_maze_5_seed9,0.0,0.1,0,[],2,"[0, 6]","[69.95367557313222, 69.95367557313222, 2, 77.72630619236912]",69.95367557313222,69.95367557313222,False,25.908768730789706,77.72630619236912,"{""stochastic"": 0.0, ""topology"": 77.72630619236912, ""value"": 0.0}","{""stochastic"": 0.0, ""topology"": 69.95367557313222, ""value"": 0.0}",random_maze,5,7,4,2,"[2, 4]",False
random_maze_5_seed9,0.0,0.1,1,[2],3,"[0, 2, 6]","[31.090522476946205, 31.090522476946205, 3, 0.0]",31.090522476946205,31.090522476946205,False,0.0,0.0,"{""stochastic"": 0.0, ""topology"": 38.86315309618312, ""value"": 0.0}","{""stochastic"": 0.0, ""topology"": 31.090522476946205, ""value"": 0.0}",random_maze,5,7,4,2,"[2, 4]",True
random_maze_5_seed9,0.0,0.1,1,[4],3,"[0, 4, 6]","[116.58945928855368, 116.58945928855368, 3, 116.58945928855368]",116.58945928855368,116.58945928855368,False,38.86315309618456,116.58945928855368,"{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 116.58945928855368}","{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 116.58945928855368}",random_maze,5,7,4,2,"[2, 4]",False
