map,slip,gamma,candidate_kind,candidate_top_fraction,residual_kind,residual_top_fraction,soft_kind,soft_top_fraction,local_horizon,hidden_threshold,soft_threshold,residual_threshold,residual_threshold_mode,compute_struct_distinct,residual_reward_weight,residual_hit_weight,value_scale_task,soft_cost_weight,n_states,n_boundary,n_candidate_boundary,n_pair_options,n_edges_valid,invalid_hidden_count,hidden_mass_total,hidden_mass_max,soft_cost_all_total,soft_cost_valid_total,soft_cost_max,soft_over_threshold_count,model_residual_valid_total,model_residual_max,residual_threshold_metric_valid_total,residual_threshold_metric_max,residual_backup_value_norm_valid_total,residual_backup_value_norm_max,struct_hidden_prob_valid_total,struct_hidden_prob_max,struct_hidden_bits_valid_total,struct_hidden_bits_max,struct_hidden_distinct_valid_total,struct_hidden_distinct_max,struct_nohit_prob_max,beta_global,l_gamma_row_max,residual_hidden_mass_max,residual_over_threshold_count,feasible,start_value_smdp,start_value_primitive,start_gap,value_gap_max,start_best_option,policy_tv_total,policy_regions_total,policy_tv_mean,policy_regions_mean,target_policy_tv_total,target_policy_regions_total,target_policy_tv_mean,target_policy_regions_mean,hard_split_candidate_state,hard_split_candidate_coord,hard_split_candidate_score,residual_split_candidate_state,residual_split_candidate_coord,residual_split_candidate_score,soft_split_candidate_state,soft_split_candidate_coord,soft_split_candidate_score,description_length_proxy,step,split_candidate_state,split_candidate_score,split_candidate_source,split_candidate_coord,stop_reason
open_room,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,struct_bits,False,0.05,0.0,8.75252910350239,1.0,35,2,2,2,2,0,0.0,0.0,2.4904621173091304,2.4904621173091304,1.5204621173091302,2,1.9677438641400955,0.9838719320700477,79.7262742772967,39.86313713864835,9.906246209127714,4.953123104563857,2.0,1.0,79.7262742772967,39.86313713864835,0.0,0.0,0.0,0.7374241268949282,8.752529103502386,1.0,2,True,-8.75252910350239,-8.75252910350239,0.0,0.0,fb_000_to_001,30.0,5.0,15.0,2.5,30.0,5.0,15.0,2.5,,,0.0,6,"(1, 7)",39.86313713864835,27,"(4, 7)",0.97,18.058205981449227,0,6,39.86313713864835,model_residual,"(1, 7)",continue
open_room,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,struct_bits,False,0.05,0.0,8.75252910350239,1.0,35,3,3,6,6,0,0.0,0.0,4.37313511730913,4.37313511730913,1.5204621173091302,4,0.9838719320700477,0.9838719320700477,39.86313713864835,39.86313713864835,4.953123104563857,4.953123104563857,1.0,1.0,39.86313713864835,39.86313713864835,0.0,0.0,0.0,0.8852928099999999,8.752529103502386,1.0,1,True,-8.75252910350239,-8.75252910350239,0.0,4.440892098500626e-16,fb_000_to_001,88.0,14.0,14.666666666666666,2.3333333333333335,44.0,7.0,14.666666666666666,2.3333333333333335,,,0.0,28,"(5, 1)",39.86313713864835,27,"(4, 7)",2.852673,28.95700704937918,1,28,39.86313713864835,model_residual,"(5, 1)",continue
open_room,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,struct_bits,False,0.05,0.0,8.75252910350239,1.0,35,4,4,12,12,0,0.0,0.0,7.3654870514,7.3654870514,1.882673,6,8.881784197001253e-17,2.2204460492503132e-17,0.0,-0.0,1.769318457215217e-15,4.4232961430380427e-16,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.8852928099999999,5.567599835699998,0.0,0,True,-8.75252910350239,-8.75252910350239,0.0,8.881784197001252e-16,fb_000_to_001,180.0,30.0,15.0,2.5,60.0,10.0,15.0,2.5,,,0.0,,,0.0,27,"(4, 7)",3.7653459999999996,43.965487051400004,2,,0.0,none,,hybrid_threshold
four_rooms,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,struct_bits,False,0.05,0.0,11.57212408464641,1.0,51,2,4,2,0,2,2.0,1.0,1.2329439104767141,0.0,1.2329439104767141,0,0.0,0.953062489907928,0.0,39.86313713864835,0.0,3.3751066619041907,0.0,1.0,0.0,39.86313713864835,0.0,0.0,0.0,0.6528362774606075,11.572124084646408,1.0,0,False,nan,-11.57212408464641,inf,inf,INFEASIBLE,66.0,11.0,33.0,5.5,66.0,11.0,33.0,5.5,26,"(3, 7)",1.0,,,0.0,,,0.0,22.8,0,26,1.0,hard_hidden,"(3, 7)",continue
four_rooms,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,struct_bits,False,0.05,0.0,11.57212408464641,1.0,51,3,4,6,3,3,3.0,1.0,3.5906406460122344,3.5906406460122344,1.2329439104767141,3,1.012851996714,1.0456710937082025,39.86313713864835,39.86313713864835,6.8482951487782024,6.8482951487782024,1.0,1.0,39.86313713864835,39.86313713864835,0.0,0.0,0.0,0.8329720049289999,7.208554685410126,1.0,1,False,nan,-11.57212408464641,inf,inf,INFEASIBLE,216.0,34.0,36.0,5.666666666666667,108.0,17.0,36.0,5.666666666666667,24,"(3, 5)",3.0,46,"(5, 7)",39.86313713864835,40,"(4, 11)",1.2704867952771541,45.003492642726236,1,24,3.0,hard_hidden,"(3, 5)",continue
four_rooms,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,struct_bits,False,0.05,0.0,11.57212408464641,1.0,51,4,4,12,12,0,0.0,0.0,4.823584556488949,4.823584556488949,1.2329439104767141,4,2.025703993428,1.012851996714,79.7262742772967,39.86313713864835,13.696590297556405,6.8482951487782024,2.0,1.0,79.7262742772967,39.86313713864835,0.0,0.0,0.0,0.9409,5.567599835699998,1.0,2,True,-11.572124084646411,-11.57212408464641,1.7763568394002505e-15,1.7763568394002505e-15,fb_000_to_001,450.0,69.0,37.5,5.75,150.0,23.0,37.5,5.75,,,0.0,4,"(1, 5)",39.86313713864835,40,"(4, 11)",1.905730192915731,67.94928854991694,2,4,39.86313713864835,model_residual,"(1, 5)",continue
four_rooms,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,struct_bits,False,0.05,0.0,11.57212408464641,1.0,51,5,5,20,20,0,0.0,0.0,6.056528466965663,6.056528466965663,1.2329439104767141,5,1.012851996714,1.012851996714,39.86313713864835,39.86313713864835,6.848295148778203,6.8482951487782024,1.0,1.0,39.86313713864835,39.86313713864835,0.0,0.0,0.0,0.9409,5.567599835699998,1.0,1,True,-11.572124084646411,-11.57212408464641,1.7763568394002505e-15,1.7763568394002505e-15,fb_000_to_001,728.0,112.0,36.4,5.6,182.0,28.0,36.4,5.6,,,0.0,46,"(5, 7)",39.86313713864835,40,"(4, 11)",2.5409735905543083,87.46938046367967,3,46,39.86313713864835,model_residual,"(5, 7)",continue
four_rooms,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,struct_bits,False,0.05,0.0,11.57212408464641,1.0,51,6,6,30,30,0,0.0,0.0,7.3601205780598455,7.3601205780598455,1.2329439104767141,6,4.4408920985006264e-17,2.2204460492503132e-17,0.0,-0.0,6.691084185092072e-16,3.345542092546036e-16,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.9409,5.567599835699998,0.0,0,True,-11.572124084646411,-11.57212408464641,1.7763568394002505e-15,1.7763568394002505e-15,fb_000_to_001,1080.0,170.0,36.0,5.666666666666667,216.0,34.0,36.0,5.666666666666667,,,0.0,,,0.0,40,"(4, 11)",2.5409735905543083,110.06012057805985,4,,0.0,none,,hybrid_threshold
maze,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,struct_bits,False,0.05,0.0,22.199077937496824,1.0,81,2,2,2,2,0,0.0,0.0,6.375771414961022,6.375771414961022,4.309620929135694,2,2.690963117499872,1.3454815587499362,79.7262742772967,39.86313713864835,3.7397506352407786,1.8698753176203895,2.0,1.0,79.7262742772967,39.86313713864835,0.0,0.0,0.0,0.33402766187509486,22.19907793749682,1.0,2,True,-22.199077937496824,-22.199077937496824,0.0,0.0,fb_000_to_001,134.0,65.0,67.0,32.5,134.0,65.0,67.0,32.5,,,0.0,57,"(5, 19)",39.86313713864835,63,"(6, 19)",0.97,73.4667345324609,0,57,39.86313713864835,model_residual,"(5, 19)",continue
maze,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,struct_bits,False,0.05,0.0,22.199077937496824,1.0,81,3,3,6,6,0,0.0,0.0,8.588615599219121,8.588615599219121,2.579389870481129,6,3.9157913426960222,1.3454815587499362,119.58941141594505,39.86313713864835,5.56919032750624,1.9143853113550462,3.0,1.0,119.58941141594505,39.86313713864835,0.0,0.0,0.0,0.9409,22.19907793749682,1.0,3,True,-22.199077937496824,-22.199077937496824,0.0,0.0,fb_000_to_001,400.0,194.0,66.66666666666667,32.333333333333336,200.0,97.0,66.66666666666667,32.333333333333336,,,0.0,55,"(5, 17)",39.86313713864835,63,"(6, 19)",2.91,112.30440694191515,1,55,39.86313713864835,model_residual,"(5, 17)",continue
maze,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,struct_bits,False,0.05,0.0,22.199077937496824,1.0,81,4,4,12,12,0,0.0,0.0,11.14429334013377,11.14429334013377,2.0661504858253283,12,5.110009157165421,1.3454815587499362,159.4525485545934,39.86313713864835,7.496629482073386,1.9649790363502813,4.0,1.0,159.4525485545934,39.86313713864835,0.0,0.0,0.0,0.9409,22.19907793749682,1.0,4,True,-22.199077937496824,-22.199077937496824,0.0,0.0,fb_000_to_001,804.0,390.0,67.0,32.5,268.0,130.0,67.0,32.5,,,0.0,4,"(1, 5)",79.7262742772967,63,"(6, 19)",3.88,154.45430249729918,2,4,79.7262742772967,model_residual,"(1, 5)",continue
maze,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,struct_bits,False,0.05,0.0,22.199077937496824,1.0,81,5,5,20,20,0,0.0,0.0,14.363914106685915,14.363914106685915,2.0661504858253283,16,7.765664208187856,1.3454815587499362,239.17882283189007,39.86313713864835,12.318178804818487,2.0896606974396197,6.0,1.0,239.17882283189007,39.86313713864835,0.0,0.0,0.0,0.9409,22.19907793749682,1.0,6,True,-22.199077937496824,-22.199077937496824,0.0,3.552713678800501e-15,fb_000_to_004,1336.0,648.0,66.8,32.4,334.0,162.0,66.8,32.4,,,0.0,26,"(3, 5)",119.58941141594505,63,"(6, 19)",4.85,199.92957831487377,3,26,119.58941141594505,model_residual,"(3, 5)",continue
maze,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,struct_bits,False,0.05,0.0,22.199077937496824,1.0,81,6,6,30,30,0,0.0,0.0,17.17861860996602,17.17861860996602,2.0661504858253283,19,8.942619702362972,1.3454815587499362,279.0419599705384,39.86313713864835,14.874140189370582,2.167377478625032,7.0,1.0,279.0419599705384,39.86313713864835,0.0,0.0,0.0,0.9409,22.19907793749682,1.0,7,True,-22.19907793749682,-22.199077937496824,3.552713678800501e-15,3.552713678800501e-15,fb_000_to_001,2010.0,975.0,67.0,32.5,402.0,195.0,67.0,32.5,,,0.0,35,"(3, 17)",119.58941141594505,63,"(6, 19)",5.819999999999999,246.521238312329,4,35,119.58941141594505,model_residual,"(3, 17)",continue
maze,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,struct_bits,False,0.05,0.0,22.199077937496824,1.0,81,7,7,42,42,0,0.0,0.0,21.25599966572532,21.25599966572532,2.0661504858253283,22,10.076034523161889,1.3454815587499362,318.9050971091868,39.86313713864835,17.68127527646964,2.258771422692751,8.0,1.0,318.9050971091868,39.86313713864835,0.0,0.0,0.0,0.9409,22.19907793749682,1.0,8,True,-22.19907793749682,-22.199077937496824,3.552713678800501e-15,3.552713678800501e-15,fb_000_to_001,2808.0,1362.0,66.85714285714286,32.42857142857143,468.0,227.0,66.85714285714286,32.42857142857143,,,0.0,28,"(3, 7)",159.4525485545934,63,"(6, 19)",6.789999999999999,295.5320341888872,5,28,159.4525485545934,model_residual,"(3, 7)",continue
maze,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,struct_bits,False,0.05,0.0,22.199077937496824,1.0,81,8,8,56,56,0,0.0,0.0,23.99740669142532,23.99740669142532,2.0661504858253283,25,11.161982373364461,1.3454815587499362,358.76823424783515,39.86313713864835,20.810514906662398,2.3675799486302513,9.0,1.0,358.76823424783515,39.86313713864835,0.0,0.0,0.0,0.9409,22.19907793749682,1.0,9,True,-22.199077937496824,-22.199077937496824,0.0,3.552713678800501e-15,fb_000_to_001,3752.0,1820.0,67.0,32.5,536.0,260.0,67.0,32.5,,,0.0,37,"(3, 19)",159.4525485545934,63,"(6, 19)",7.759999999999999,346.1593890647898,6,37,159.4525485545934,model_residual,"(3, 19)",continue
maze,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,struct_bits,False,0.05,0.0,22.199077937496824,1.0,81,9,9,72,72,0,0.0,0.0,26.738813717125318,26.738813717125318,2.0661504858253283,28,12.19621550118945,1.3454815587499362,398.6313713864835,39.86313713864835,24.361189235204144,2.4990348797315276,10.0,1.0,398.6313713864835,39.86313713864835,0.0,0.0,0.0,0.9409,22.19907793749682,1.0,10,True,-22.19907793749682,-22.199077937496824,3.552713678800501e-15,3.552713678800501e-15,fb_000_to_001,4832.0,2344.0,67.11111111111111,32.55555555555556,604.0,293.0,67.11111111111111,32.55555555555556,,,0.0,5,"(1, 7)",199.31568569324173,63,"(6, 19)",8.729999999999999,398.83502921831473,7,5,199.31568569324173,model_residual,"(1, 7)",continue
maze,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,struct_bits,False,0.05,0.0,22.199077937496824,1.0,81,10,10,90,90,0,0.0,0.0,29.480220742825317,29.480220742825317,2.0661504858253283,31,12.274739849537998,1.3454815587499362,438.4945085251319,39.86313713864835,26.556872133275792,2.660692647494335,11.0,1.0,438.4945085251319,39.86313713864835,0.0,0.0,0.0,0.9409,22.19907793749682,1.0,11,True,-22.19907793749682,-22.199077937496824,3.552713678800501e-15,3.552713678800501e-15,fb_000_to_001,6012.0,2916.0,66.8,32.4,668.0,324.0,66.8,32.4,,,0.0,16,"(1, 19)",199.31568569324173,63,"(6, 19)",9.7,450.85496059236334,8,16,199.31568569324173,model_residual,"(1, 19)",continue
maze,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,struct_bits,False,0.05,0.0,22.199077937496824,1.0,81,11,11,110,110,0,0.0,0.0,32.221627768525316,32.221627768525316,2.0661504858253283,34,12.548114899313571,1.3454815587499362,478.35764566378026,39.86313713864835,29.7696098166359,2.647429501000032,12.0,1.0,478.35764566378026,39.86313713864835,0.0,0.0,0.0,0.9409,22.19907793749682,1.0,12,True,-22.19907793749682,-22.199077937496824,3.552713678800501e-15,3.552713678800501e-15,fb_000_to_001,7340.0,3560.0,66.72727272727273,32.36363636363637,734.0,356.0,66.72727272727273,32.36363636363637,,,0.0,11,"(1, 13)",239.17882283189007,63,"(6, 19)",10.67,506.0697426678389,9,11,239.17882283189007,model_residual,"(1, 13)",continue
maze,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,struct_bits,False,0.05,0.0,22.199077937496824,1.0,81,12,12,132,132,0,0.0,0.0,34.963034794225315,34.963034794225315,2.0661504858253283,37,13.708016643590511,1.3454815587499362,518.2207828024286,39.86313713864835,47.626125218094685,3.9720181965731154,13.0,1.0,518.2207828024286,39.86313713864835,0.0,0.0,0.0,0.9409,22.19907793749682,1.0,13,True,-22.19907793749682,-22.199077937496824,3.552713678800501e-15,3.552713678800501e-15,fb_000_to_001,8778.0,4257.0,66.5,32.25,798.0,387.0,66.5,32.25,,,0.0,12,"(1, 15)",239.17882283189007,63,"(6, 19)",11.64,563.3710514378159,10,12,239.17882283189007,model_residual,"(1, 15)",continue
maze,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,struct_bits,False,0.05,0.0,22.199077937496824,1.0,81,13,13,156,156,0,0.0,0.0,37.704441819925314,37.704441819925314,2.0661504858253283,40,14.512557516031935,1.3454815587499362,558.0839199410769,39.86313713864835,79.31453463488573,5.957281485943489,14.0,1.0,558.0839199410769,39.86313713864835,0.0,0.0,0.0,0.9409,22.19907793749682,1.0,14,True,-22.19907793749682,-22.199077937496824,3.552713678800501e-15,3.552713678800501e-15,fb_000_to_001,10368.0,5028.0,66.46153846153847,32.23076923076923,864.0,419.0,66.46153846153847,32.23076923076923,,,0.0,32,"(3, 13)",279.0419599705384,63,"(6, 19)",12.610000000000001,623.3169993359573,11,32,279.0419599705384,model_residual,"(3, 13)",continue
maze,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,struct_bits,False,0.05,0.0,22.199077937496824,1.0,81,14,14,182,182,0,0.0,0.0,40.445848845625314,40.445848845625314,2.0661504858253283,43,15.037081998749931,1.3454815587499362,597.9470570797253,39.86313713864835,120.1106569308011,8.445770115227196,15.0,1.0,597.9470570797253,39.86313713864835,0.0,0.0,0.0,0.9409,22.19907793749682,1.0,15,True,-22.19907793749682,-22.199077937496824,3.552713678800501e-15,3.552713678800501e-15,fb_000_to_001,12116.0,5876.0,66.57142857142857,32.285714285714285,932.0,452.0,66.57142857142857,32.285714285714285,,,0.0,34,"(3, 15)",558.0839199410769,63,"(6, 19)",13.580000000000002,685.9829308443752,12,34,558.0839199410769,model_residual,"(3, 15)",max_splits
